"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","Subject_ID"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"age_days_dot_to_edc","Integer","","Recommended","Age in days obtained by subtracting the Estimated Date of Confinement (Due Date) from the date of test","","","PLS3_Age_Days_DOT_to_EDC"
"admin_status","String","20","Recommended","Instrument administration status","Complete;Partial;Not Administered;Not Applicable","","PLS3_Administration_Status"
"pls3_auditory_comp_q_1","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 1 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_1"
"pls3_auditory_comp_q_2","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 2 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_2"
"pls3_auditory_comp_q_3","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 3 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_3"
"pls3_auditory_comp_q_4","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 4 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_4"
"pls3_auditory_comp_q_5","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 5 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_5"
"pls3_auditory_comp_q_6","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 6 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_6"
"pls3_auditory_comp_q_7","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 7 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_7"
"pls3_auditory_comp_q_8","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 8 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_8"
"pls3_auditory_comp_q_9","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 9 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_9"
"pls3_auditory_comp_q_10","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 10 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_10"
"pls3_auditory_comp_q_11","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 11 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_11"
"pls3_auditory_comp_q_12","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 12 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_12"
"pls3_auditory_comp_q_13","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 13 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_13"
"pls3_auditory_comp_q_14","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 14 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_14"
"pls3_auditory_comp_q_15","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 15 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_15"
"pls3_auditory_comp_q_16","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 16 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_16"
"pls3_auditory_comp_q_17","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 17 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_17"
"pls3_auditory_comp_q_18","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 18 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_18"
"pls3_auditory_comp_q_19","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 19 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_19"
"pls3_auditory_comp_q_20","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 20 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_20"
"pls3_auditory_comp_q_21","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 21 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_21"
"pls3_auditory_comp_q_22","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 22 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_22"
"pls3_auditory_comp_q_23","String","2","Recommended","""Preschool Language Scale-3: Auditory Comprehension subtest item 23 (0, 1, NA= Not Provided) ""","0;1;NA","0 = Fail; 1 = Pass; NA = Not provided","PLS3_Auditory_Comprehension_Q_23"
