"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","Subject_ID"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"admin_status","String","20","Recommended","Instrument administration status","Complete;Partial;Not Administered;Not Applicable","","Parenting_Stress_Index_Administration_Status"
"psi_acceptability_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Acceptability (AC) Raw Score","","",""
"psi_adaptability_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Adaptability (AD) Raw Score","","",""
"psi_attachment_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Attachment (AT) Raw Score","","",""
"psi_child_domain_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Child Domain Raw Score","","",""
"psi_competence_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Competence (CO) Raw Score","","",""
"psi_demandingness_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Demandingness (DE) Raw Score","","",""
"psi_depression_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Depression (DP) Raw Score","","",""
"psi_distract_hyper_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Distractibility/Hyperactivity (DI) Raw Score","","","PSI_Distractibility_Hyperactivity_Raw_Score"
"psi_health_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Health (HE) Raw Score","","",""
"psi_isolation_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Isolation (IS) Raw Score","","",""
"psi_life_stress_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Life Stress (LS) Raw Score","","",""
"psi_mood_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Mood (MO) Raw Score","","",""
"psi_parent_domain_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Parent Domain Raw Score","","",""
"psi_reinforces_parent_raw_scr","Integer","","Recommended","Parenting Stress Index (PSI): Reinforces Parent (RE) Raw Score","","","PSI_Reinforces_Parent_Raw_Score"
"psi_role_restriction_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Role Restriction (RO) Raw Score","","",""
"psi_spouse_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Spouse (SP) Raw Score","","",""
"psi_total_stress_raw_score","Integer","","Recommended","Parenting Stress Index (PSI): Total Stress Raw Score","","",""
"psi_validity_score","Integer","","Recommended","Parenting Stress Index (PSI): Validity","","",""
