"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pf_anger1","Integer","","Recommended","My child felt mad","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anger1r"
"pf_anger2","Integer","","Recommended","My child was so angry he/she felt like yelling at somebody","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anger5r"
"pf_anger3","Integer","","Recommended","My child was so angry he/she felt like throwing something","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anger3r"
"pf_anger4","Integer","","Recommended","My child felt upset","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anger10r"
"pf_anger5","Integer","","Recommended","When my child got mad, he/she stayed mad","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anger8r"
"pf_anx1","Integer","","Recommended","My child felt nervous","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anxiety8r"
"pf_anx2","Integer","","Recommended","My child felt scared","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2anxiety2r"
"pf_anx3","Integer","","Recommended","My child felt worried","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2anxiety9r"
"pf_anx4","Integer","","Recommended","My child felt like something awful might happen","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2anxiety1r"
"pf_anx5","Integer","","Recommended","My child worried when he/she was at home","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2anxiety5r"
"pf_anx6","Integer","","Recommended","My child got scared really easy","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anxiety1r"
"pf_anx7","Integer","","Recommended","My child worried about what could happen to him/her","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1anxiety3r"
"pf_anx8","Integer","","Recommended","My child worried when he/she went to bed at night","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2anxiety4r"
"pf_dep1","Integer","","Recommended","My child could not stop feeling sad","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2depr7r"
"pf_dep2","Integer","","Recommended","My child felt everything in his/her life went wrong","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1depr7r"
"pf_dep3","Integer","","Recommended","My child felt like he/she couldn't do anything right","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf1depr5r"
"pf_dep4","Integer","","Recommended","My child felt lonely","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2depr10r"
"pf_dep5","Integer","","Recommended","My child felt sad","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2depr3r"
"pf_dep6","Integer","","Recommended","It was hard for my child to have fun","1 :: 5; -99","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always; -99= Missing","pf2depr6r"
"pf_anger_raw","Float","","Recommended","Anger Raw Score","","Sum of (all pf_anger elements)",""
"pf_dep_raw","Float","","Recommended","Depression Raw Score","","Sum of (all pf_dep elements)",""
"pf_anx_raw","Float","","Recommended","Anxiety raw score","","Sum of (all pf_anx elements)",""
"promis_p13","Integer","","Recommended","My child wanted to be by himself/herself","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p6","Integer","","Recommended","My child felt unhappy","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p7","Integer","","Recommended","It was hard for my child to do school work because he/she felt sad","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p8","Integer","","Recommended","It was hard for my child to have fun","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p9","Integer","","Recommended","My child felt alone","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p10","Integer","","Recommended","My child felt too sad to eat","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p11","Integer","","Recommended","My child felt stressed","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_p12","Integer","","Recommended","My child didn''t care about anything","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
