"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"father_alc_problem_drinker","Integer","","Recommended","Has/Was your blood or natural father been an alcoholic or problem drinker at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mother_alc_problem_drinker","Integer","","Recommended","Has/Was your blood or natural mother been an alcoholic or problem drinker at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_full_bros","Integer","","Recommended","How many full brothers have you had who lived to be at least 10 years old, including those who are still living? By full brothers, I mean brothers who have the same natural mother AND the same natural father as you do.","","0 = None;- 9 = REFUSED OR DON'T KNOW",""
"brother_alc_problem_drinker","Integer","","Recommended","Were any of your full brother(s) an alcoholic or problem drinker at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_bros_alc_problem_drinker","Integer","","Recommended","How many of your full brothers are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_full_sis","Integer","","Recommended","How many full sisters have you had who lived to be at least 10 years old, including those who are still living? By full sisters, I mean sisters who have the same natural mother AND the same natural father as you do.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"sister_alc_problem_drinker","Integer","","Recommended","Were any of your full sister(s) an alcoholic or problem drinker at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_sis_alc_problem_drinker","Integer","","Recommended","How many of your full sisters are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_sons","Integer","","Recommended","How many natural sons have you had who lived to be at least 10 years old, including those who are still living? By natural, I mean those who you (biologically fathered/gave birth to.)","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"son_alc_problem_drinker","Integer","","Recommended","Were any of your natural son(s) an alcoholic or problem drinker at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_sons_alc_problem_drinker","Integer","","Recommended","How many of your natural sons are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_dau","Integer","","Recommended","How many natural daughters have you had who lived to be at least 10 years old, including those who are still living? By natural, I mean those who you (biologically fathered/gave birth to.)","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"dau_alc_problem_drinker","Integer","","Recommended","Was your natural daughter an alcoholic or problem drinker at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_dau_alc_problem_drinker","Integer","","Recommended","How many of your natural daughters are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_pat_uncles","Integer","","Recommended","How many full brothers did your natural father have who lived to be at least 10 years old, including those who are still alive? By full brothers, I mean those who had the SAME TWO natural or blood parents as your father.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"pat_uncle_alc_problem_drinker","Integer","","Recommended","Were any of your natural father's full brother(s) an alcoholic or problem drinker at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_pat_uncles_alc","Integer","","Recommended","How many of your natural father's full brothers are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_pat_aunts","Integer","","Recommended","How many full sisters did your natural father have who lived to be at least 10 years old, including those who are still living? By full sisters, I mean those who had the SAME TWO natural or blood parents as your father.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"pat_aunt_alc_problem_drinker","Integer","","Recommended","Were any of your natural father's full sister(s) an alcoholic or problem drinker at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_pat_aunts_alc","Integer","","Recommended","How many of your natural father's full sisters are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_mat_uncles","Integer","","Recommended","How many full brothers did your natural mother have who lived to be at least 10 years old, including those who are still living? By full brothers, I mean those who had the SAME TWO natural or blood parents as your mother.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"mat_uncle_alc_problem_drinker","Integer","","Recommended","Were any of your natural mother's full brother(s) an alcoholic or problem drinker at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_mat_uncles_alc","Integer","","Recommended","How many of your natural mother's full brothers are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_mat_aunts","Integer","","Recommended","How many full sisters did your natural mother have who lived to be at least 10 years old, including those who are still alive? By full sisters, I mean those who had the SAME TWO natural or blood parents as your mother.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"mat_aunt_alc_problem_drinker","Integer","","Recommended","Were any of your natural mother's full sister(s) an alcoholic or problem drinker at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_mat_aunts_alc","Integer","","Recommended","How many of your natural mother's full brothers are now, or were in the past, alcoholics or problem drinkers?","","-9 = REFUSED OR DON'T KNOW",""
"pat_grandfather_alc","Integer","","Recommended","Was your natural grandfather on your father's side an alcoholic or problem drinker at ANY time in his life? By natural grandfather on your father's side, I mean your father's natural or blood father.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"pat_grandmother_alc","Integer","","Recommended","Was your natural grandmother on your father's side an alcoholic or problem drinker at ANY time in her life? By natural grandmother on your father's side, I mean your father's natural or blood mother.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mat_grandfather_alc","Integer","","Recommended","Was your natural grandfather on your mother's side an alcoholic or problem drinker at ANY time in his life? By natural grandfather on your mother's side, I mean your mother's natural or blood father.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mat_grandmother_alc","Integer","","Recommended","Was your natural grandmother on your mother's side an alcoholic or problem drinker at ANY time in her life? By natural grandmother on your mother's side, I mean your mother's natural or blood mother.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"married_to_alc","Integer","","Recommended","Were you EVER married to an alcoholic or problem drinker?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"current_spouse_alc","Integer","","Recommended","Is that your current (husband/wife)?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"current_spouse_alc_now","Integer","","Recommended","Would you say that (he/she) is an alcoholic or problem drinker at this time?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_with_some1_asif","Integer","","Recommended","Did you EVER live with someone as if you were married?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_with_some1_alcholic","Integer","","Recommended","Did you EVER live as if married with someone who was an alcoholic or problem drinker?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_with_some1_now_alcholic","Integer","","Recommended","Is that the person you live with now?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_with_some1_alc_currently","Integer","","Recommended","Would you say that (he/she) is an alcoholic or problem drinker at this time?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
