"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"session","Integer","","Recommended","Session","","",""
"visit","String","60","Recommended","Visit name","","",""
"task","String","4000","Recommended","Cognitive process being studied","","",""
"stimcorss3","Float","","Recommended","Set size 3 stimuli correct per trial","0::3","","ph_stimcorss3"
"stimcorss4","Float","","Recommended","Set size 4 stimuli correct per trial","0::4","","ph_stimcorss4"
"stimcorss5","Float","","Recommended","Set size 5 stimuli correct per trial","0::5","","ph_stimcorss5"
"stimcorss6","Float","","Recommended","Set size 6 stimuli correct per trial","0::6","","ph_stimcorss6"
"total_rs","Float","","Recommended","Total raw score","","",""
"dtttest_percor","Float","","Recommended","Percent correct","","",""
"isidur","Float","","Recommended","Interstimulus Interval Duration (ms)","","","interstimulus"
"pictureslide_duration_1","Integer","","Recommended","Trial stimulus duration","","","trialdur"
"phwm_set4_score","Float","","Recommended","Set 4 - Proportion of Correct Responses","0::1","",""
"phwm_set5_score","Float","","Recommended","Set 5 - Proportion of Correct Responses","0::1","",""
"phwm_set6_score","Float","","Recommended","Set 6 - Proportion of Correct Responses","0::1","",""
"phwm_total_score","Float","","Recommended","Total Phonological Working Memory Score (Proportion of Correct Responses) Across Sets","0::1","",""
"timepoint_wave","Integer","","Recommended","Timepoint Wave data collected","1::3","1 = Wave 1; 2 = Wave 2; 3 = Wave 3",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"trialnumber","String","20","Recommended","Trial number","","",""
"phwm_stimulus_set","Integer","","Recommended","Stimulus Set (1 of 4 counterbalancing conditions)","1::4","",""
"phwm_trial_set_size","Integer","","Recommended","Trial Set Size","3::6","",""
"trial_acc","Integer","","Recommended","Trial Accuracy","0;1","0= Incorrect; 1= Correct",""
"phwm_set3_score","Float","","Recommended","Set 3 - Proportion of Correct Responses","0::1","",""
