"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","pseduo_guids,pseudo_guids"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","interview_dt_t1,interview_dt_t2,interview_dt_t4"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_t1_mos,age_t2_mos,age_t3_mos,age_t4_mos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,gender_t1,gender_t2,gender_t3,gender_t4"
"pid1","Integer","","Recommended","People would describe me as reckless.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_1,dsm5_pt_pid_bf_1_spa,dsm5_pt_pid_bf_1_spa_1,dsm5_sp_pid_bf_1,pid5_003,pid5_3"
"pid2","Integer","","Recommended","I feel like I act totally on impulse.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_2,dsm5_pt_pid_bf_2_spa,dsm5_pt_pid_bf_2_spa_1,dsm5_sp_pid_bf_2,pid100_2,pid5_004,pid5_4"
"pid3","Integer","","Recommended","Even though I know better, I can't stop making rash decisions.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_3,dsm5_pt_pid_bf_3_spa,dsm5_pt_pid_bf_3_spa_1,dsm5_sp_pid_bf_3,pid100_6,pid5_017,pid5_17"
"pid4","Integer","","Recommended","I often feel like nothing I do really matters.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_4,dsm5_pt_pid_bf_4_spa,dsm5_pt_pid_bf_4_spa_1,dsm5_sp_pid_bf_4,pid5_027,pid5_27"
"pid5","Integer","","Recommended","Others see me as irresponsible.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_5,dsm5_pt_pid_bf_5_spa,dsm5_pt_pid_bf_5_spa_1,dsm5_sp_pid_bf_5,pid5_031,pid5_31"
"pid6","Integer","","Recommended","I'm not good at planning ahead.","0 :: 3","0= Very False or Often False; 1= Sometimes or Somewhat False; 2= Sometimes or Somewhat True; 3= Very True or Often True","dsm5_pt_pid_bf_6,dsm5_pt_pid_bf_6_spa,dsm5_pt_pid_bf_6_spa_1,dsm5_sp_pid_bf_6,pid5_047,pid5_47"
