"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"tra_q1","Integer","","Recommended","Trail A. Recognition (Riconoscimento). Turtle (Tartaruga)","0;1","1=Yes; 0=No",""
"tra_q2","Integer","","Recommended","Broom (Scopa)","0;1","1=Yes; 0=No",""
"tra_q3","Integer","","Recommended","Ant (Formica)","0;1","1=Yes; 0=No",""
"tra_q4","Integer","","Recommended","Dog (Cane)","0;1","1=Yes; 0=No",""
"tra_q5","Integer","","Recommended","Ax (Ascia)","0;1","1=Yes; 0=No",""
"tra_q6","Integer","","Recommended","Flag (Bandiera)","0;1","1=Yes; 0=No",""
"tra_q7","Integer","","Recommended","Leaf (Foglia)","0;1","1=Yes; 0=No",""
"tra_q8","Integer","","Recommended","Clock (Orologio)","0;1","1=Yes; 0=No",""
"tra_q9","Integer","","Recommended","Toe (Dito piede)","0;1","1=Yes; 0=No",""
"tra_q10","Integer","","Recommended","Knife (Coltello)","0;1","1=Yes; 0=No",""
"tra_q11","Integer","","Recommended","Star (Stella)","0;1","1=Yes; 0=No",""
"tra_q12","Integer","","Recommended","Moon (Luna)","0;1","1=Yes; 0=No",""
"tra_q13","Integer","","Recommended","Frog (Rana)","0;1","1=Yes; 0=No",""
"tra_q14","Integer","","Recommended","Hand (Mano)","0;1","1=Yes; 0=No",""
"tra_q15","Integer","","Recommended","Pear (Pera)","0;1","1=Yes; 0=No",""
"tra_q16","Integer","","Recommended","Shoe (Scarpa)","0;1","1=Yes; 0=No",""
"tra_q17","Integer","","Recommended","Jug (Bricco)","0;1","1=Yes; 0=No",""
"tra_q18","Integer","","Recommended","Bird (Uccello)","0;1","1=Yes; 0=No",""
"tra_q19","Integer","","Recommended","Window (Finestra)","0;1","1=Yes; 0=No",""
"tra_q20","Integer","","Recommended","Sun (Sole )","0;1","1=Yes; 0=No",""
"tra_q21","Integer","","Recommended","Bed (Letto)","0;1","1=Yes; 0=No",""
"tra_q22","Integer","","Recommended","Cat (Gatto)","0;1","1=Yes; 0=No",""
"tra_q23","Integer","","Recommended","Book (Libro)","0;1","1=Yes; 0=No",""
"tra_q24","Integer","","Recommended","Scissors (Forbici)","0;1","1=Yes; 0=No",""
"tra_q25","Integer","","Recommended","Needle (Ago)","0;1","1=Yes; 0=No",""
"tra_q26","Integer","","Recommended","Glass (Bicchiere)","0;1","1=Yes; 0=No",""
"tra_q27","Integer","","Recommended","Tree (Albero)","0;1","1=Yes; 0=No",""
"tra_q28","Integer","","Recommended","Lips (Labbra)","0;1","1=Yes; 0=No",""
"tra_q29","Integer","","Recommended","Cock (Gallo)","0;1","1=Yes; 0=No",""
"tra_q30","Integer","","Recommended","Sail boat (Barca a vela)","0;1","1=Yes; 0=No",""
"tra_q31","Integer","","Recommended","Fly (Mosca)","0;1","1=Yes; 0=No",""
"tra_q32","Integer","","Recommended","Table (Tavolo)","0;1","1=Yes; 0=No",""
"tra_q33","Integer","","Recommended","Pan (Padella)","0;1","1=Yes; 0=No",""
"tra_q34","Integer","","Recommended","Foot (Piede)","0;1","1=Yes; 0=No",""
"tra_q35","Integer","","Recommended","Airplane (Aeroplano)","0;1","1=Yes; 0=No",""
"tra_q36","Integer","","Recommended","Shirt (Camicia)","0;1","1=Yes; 0=No",""
"tra_q37","Integer","","Recommended","Car (Automobile)","0;1","1=Yes; 0=No",""
"tra_q38","Integer","","Recommended","Hammer (Martello)","0;1","1=Yes; 0=No",""
"tra_q39","Integer","","Recommended","Snake (Serpente)","0;1","1=Yes; 0=No",""
"tra_q40","Integer","","Recommended","Leg (Gamba)","0;1","1=Yes; 0=No",""
"tra_q41","Integer","","Recommended","Cloud (Nuvola)","0;1","1=Yes; 0=No",""
"tra_q42","Integer","","Recommended","Key (Chiave)","0;1","1=Yes; 0=No",""
"tra_q43","Integer","","Recommended","Pitcher (Brocca)","0;1","1=Yes; 0=No",""
"tra_q44","Integer","","Recommended","Donkey (Asino)","0;1","1=Yes; 0=No",""
"tra_q45","Integer","","Recommended","Thumb (Pollice)","0;1","1=Yes; 0=No",""
"tra_q46","Integer","","Recommended","Drawers (Cassetiera)","0;1","1=Yes; 0=No",""
"tra_q47","Integer","","Recommended","Fork (Forchetta)","0;1","1=Yes; 0=No",""
"tra_q48","Integer","","Recommended","Glasses (Occhiali)","0;1","1=Yes; 0=No",""
"tra_q49","Integer","","Recommended","Wheel (Ruota)","0;1","1=Yes; 0=No",""
"tra_q50","Integer","","Recommended","Eye (Occhio)","0;1","1=Yes; 0=No",""
"tra_cor","Integer","","Recommended","Correct identifications (Identificazioni corrette) Trial A","","",""
"tra_ncor","Integer","","Recommended","Incorrect identifications (Identificazioni non corrette) Trial A","","",""
"tra_int","Integer","","Recommended","Interference (Interferenze) Trial A","","",""
"tra_te","Integer","","Recommended","Total Errors (Totale Errori) Trial A","","",""
"trb_q1","Integer","","Recommended","Trial B. Recognition and Interference (Riconoscimento ed Interferenza). Ear (Orecchio)","0;1","1=Yes; 0=No",""
"trb_q2","Integer","","Recommended","Chair (Sedia)","0;1","1=Yes; 0=No",""
"trb_q3","Integer","","Recommended","Spider (Ragno)","0;1","1=Yes; 0=No",""
"trb_q4","Integer","","Recommended","Ladder (Scala)","0;1","1=Yes; 0=No",""
"trb_q5","Integer","","Recommended","Cup (Tazza)","0;1","1=Yes; 0=No",""
"trb_q6","Integer","","Recommended","Shirt (Camicia)","0;1","1=Yes; 0=No",""
"trb_q7","Integer","","Recommended","Apple (Mela)","0;1","1=Yes; 0=No",""
"trb_q8","Integer","","Recommended","Alligator (Alligatore)","0;1","1=Yes; 0=No",""
"trb_q9","Integer","","Recommended","Hand (Mano)","0;1","1=Yes; 0=No",""
"trb_q10","Integer","","Recommended","Pitcher (Brocca)","0;1","1=Yes; 0=No",""
"trb_q11","Integer","","Recommended","Gun (Pistola)","0;1","1=Yes; 0=No",""
"trb_q12","Integer","","Recommended","Cock (Gallo)","0;1","1=Yes; 0=No",""
"trb_q13","Integer","","Recommended","Dress (Vestito)","0;1","1=Yes; 0=No",""
"trb_q14","Integer","","Recommended","Trousers (Pantaloni)","0;1","1=Yes; 0=No",""
"trb_q15","Integer","","Recommended","Chain (Catena)","0;1","1=Yes; 0=No",""
"trb_q16","Integer","","Recommended","Drawers (Cassetiera)","0;1","1=Yes; 0=No",""
"trb_q17","Integer","","Recommended","Arm (Braccio)","0;1","1=Yes; 0=No",""
"trb_q18","Integer","","Recommended","Bicycle (Bicicletta)","0;1","1=Yes; 0=No",""
"trb_q19","Integer","","Recommended","Sofa (Divano)","0;1","1=Yes; 0=No",""
"trb_q20","Integer","","Recommended","Cloud (Nuvola)","0;1","1=Yes; 0=No",""
"trb_q21","Integer","","Recommended","Ax (Ascia)","0;1","1=Yes; 0=No",""
"trb_q22","Integer","","Recommended","Broom (Scopa)","0;1","1=Yes; 0=No",""
"trb_q23","Integer","","Recommended","Lips (Labbra)","0;1","1=Yes; 0=No",""
"trb_q24","Integer","","Recommended","Barrel (Barile)","0;1","1=Yes; 0=No",""
"trb_q25","Integer","","Recommended","Leaf (Foglia)","0;1","1=Yes; 0=No",""
"trb_q26","Integer","","Recommended","Bus (Autobus)","0;1","1=Yes; 0=No",""
"trb_q27","Integer","","Recommended","Dog (Cane)","0;1","1=Yes; 0=No",""
"trb_q28","Integer","","Recommended","Nose (Naso)","0;1","1=Yes; 0=No",""
"trb_q29","Integer","","Recommended","Grasshopper (Cavaletta)","0;1","1=Yes; 0=No",""
"trb_q30","Integer","","Recommended","Boot (Stivale)","0;1","1=Yes; 0=No",""
"trb_q31","Integer","","Recommended","Needle (Ago)","0;1","1=Yes; 0=No",""
"trb_q32","Integer","","Recommended","Horse (Cavallo)","0;1","1=Yes; 0=No",""
"trb_q33","Integer","","Recommended","Flag (Bandiera)","0;1","1=Yes; 0=No",""
"trb_q34","Integer","","Recommended","Nail (Chiodo)","0;1","1=Yes; 0=No",""
"trb_q35","Integer","","Recommended","Elephant (Elefante)","0;1","1=Yes; 0=No",""
"trb_q36","Integer","","Recommended","Camion (Truck)","0;1","1=Yes; 0=No",""
"trb_q37","Integer","","Recommended","Shoe (Scarpa)","0;1","1=Yes; 0=No",""
"trb_q38","Integer","","Recommended","Pear (Pera)","0;1","1=Yes; 0=No",""
"trb_q39","Integer","","Recommended","Bulb (Lampadina)","0;1","1=Yes; 0=No",""
"trb_q40","Integer","","Recommended","House (Casa)","0;1","1=Yes; 0=No",""
"trb_q41","Integer","","Recommended","Bird (Uccello)","0;1","1=Yes; 0=No",""
"trb_q42","Integer","","Recommended","Duck (Anatra)","0;1","1=Yes; 0=No",""
"trb_q43","Integer","","Recommended","Clock (Orologio)","0;1","1=Yes; 0=No",""
"trb_q44","Integer","","Recommended","Flower (Fiore)","0;1","1=Yes; 0=No",""
"trb_q45","Integer","","Recommended","Toe (Dito piede)","0;1","1=Yes; 0=No",""
"trb_q46","Integer","","Recommended","Candle (Candela)","0;1","1=Yes; 0=No",""
"trb_q47","Integer","","Recommended","Star (Stella)","0;1","1=Yes; 0=No",""
"trb_q48","Integer","","Recommended","Finger (Dito)","0;1","1=Yes; 0=No",""
"trb_q49","Integer","","Recommended","Turtle (Tartaruga)","0;1","1=Yes; 0=No",""
"trb_q50","Integer","","Recommended","Bee (Ape)","0;1","1=Yes; 0=No",""
"trb_cor","Integer","","Recommended","Correct identifications (Identificazioni corrette) Trial B","","",""
"trb_ncor","Integer","","Recommended","Incorrect identifications (Identificazioni non corrette) Trial B","","",""
"trb_int","Integer","","Recommended","Interference, previous target (Interferenze, precedenti target) Trial B","","",""
"trb_intd","Integer","","Recommended","Interference, previous distractor (Interferenze, precdenti distrattori) Trial B","","",""
"trb_ni","Integer","","Recommended","New Interference (Nuove Interferenze) Trial B","","",""
"trb_ti","Integer","","Recommended","Total interference (Totale Interferenze) Trial B","","",""
"trb_te","Integer","","Recommended","Total Errors (Totale Errori) Trial B","","",""
"trc_q1","Integer","","Recommended","Trial C. Recognition and Interference (Riconoscimento ed Interferenza). Jar (Vaso)","0;1","1=Yes; 0=No",""
"trc_q2","Integer","","Recommended","Airplane (Aeroplano)","0;1","1=Yes; 0=No",""
"trc_q3","Integer","","Recommended","Stool (Sgabelo)","0;1","1=Yes; 0=No",""
"trc_q4","Integer","","Recommended","Box (Scatola)","0;1","1=Yes; 0=No",""
"trc_q5","Integer","","Recommended","Car (Automobile)","0;1","1=Yes; 0=No",""
"trc_q6","Integer","","Recommended","Motorcycle (Motocicletta)","0;1","1=Yes; 0=No",""
"trc_q7","Integer","","Recommended","Spider (Ragno)","0;1","1=Yes; 0=No",""
"trc_q8","Integer","","Recommended","Door (Porta)","0;1","1=Yes; 0=No",""
