"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"about_whom","String","100","Recommended","Description of person or group of people about whom participant is answering questions","","e.g., Partner 1, Friend 2, neighbors",""
"playparentstyle_question1","Integer","","Recommended","I have fun with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question2","Integer","","Recommended","I tickle my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question3","Integer","","Recommended","I tease my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question4","Integer","","Recommended","I play tag, or run after my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question5","Integer","","Recommended","I am sarcastic when I interact with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question6","Integer","","Recommended","I tell jokes or funny stories to make my child laugh.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question7","Integer","","Recommended","I engage in play-fighting with my child or lift him/her up in the air.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question8","Integer","","Recommended","My child and I follow the rules when playing a board game.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question9","Integer","","Recommended","I feel the need to apologize to my child after making a joke that made him/her sad or frustrated.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question10","Integer","","Recommended","I build things with my child (e.g., playing with Lego blocks, building a fort, or building a snowman).","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question11","Integer","","Recommended","I think that my child has fun when playing with me.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question12","Integer","","Recommended","My child and I have fun without toys.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question13","Integer","","Recommended","I like to laugh with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question14","Integer","","Recommended","I act silly (e.g., clowning around, dancing, making funny faces) to make my child laugh.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question15","Integer","","Recommended","I suggest mixing elements from different games (e.g., building a Lego house for stuffed animals) when playing with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question16","Integer","","Recommended","I am confident in my ability to entertain my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question17","Integer","","Recommended","I suggest switching games without having to be asked by my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question18","Integer","","Recommended","I have to explain a joke that I made to my child because he/she did not understand it.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question19","Integer","","Recommended","My child and I have fun playing ritualized games such as peek-a-boo, patty cake, itsy bitsy spider, etc.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question20","Integer","","Recommended","I answer my child's questions with a joke.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question21","Integer","","Recommended","I could make more of an effort when playing with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question22","Integer","","Recommended","My child and I have fun doing what would be considered impolite activities (e.g., farting contests).","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question23","Integer","","Recommended","I feel like I should play more often with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question24","Integer","","Recommended","I break the rules to entertain my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question25","Integer","","Recommended","When reading stories, I make changes to story elements to surprise and/or make my child laugh.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question26","Integer","","Recommended","I break the rules of a game and explain to my child that it's okay.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question27","Integer","","Recommended","I challenge my child to competitions (e.g., ''The last one to the car loses!'').","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question28","Integer","","Recommended","I give my child false information, and then explain to him/her that it was a joke.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question29","Integer","","Recommended","I voluntarily break a rule in the presence of my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question30","Integer","","Recommended","I enjoy playing with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question31","Integer","","Recommended","When playing, I encourage my child's initiatives.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question32","Integer","","Recommended","I explain the rules of games to my child and make sure he/she understands them well.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question33","Integer","","Recommended","I use funny voices when I read stories to my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question34","Integer","","Recommended","I diversify my child's games by proposing a different use for them.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question35","Integer","","Recommended","When playing with my child, I suggest unconventional uses for his/her toys (e.g., using blocks as dominoes, or using a ball as a planet for his/her figurines).","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question36","Integer","","Recommended","I play tricks on my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question37","Integer","","Recommended","When playing games, I let my child win.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question38","Integer","","Recommended","I have pillow fights with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question39","Integer","","Recommended","I pretend I'm going to eat my child's dessert or snacks.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question40","Integer","","Recommended","I engage in roughhousing (e.g., play fighting) with my child.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question41","Integer","","Recommended","As a prank, I sometimes scare my child, for example, by jumping out from a hiding spot.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question42","Integer","","Recommended","My child laughs easily.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question43","Integer","","Recommended","When playing, my child likes to take the lead.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question44","Integer","","Recommended","My child enjoys jokes and funny stories.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question45","Integer","","Recommended","My child holds back or suppresses his/her laughter.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question46","Integer","","Recommended","My child likes when games are physically intense (exciting).","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question47","Integer","","Recommended","My child likes to make his/her friends or younger children laugh.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question48","Integer","","Recommended","My child easily gets offended or hurt by jokes.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question49","Integer","","Recommended","My child invents new rules to ensure that he/she wins a game.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question50","Integer","","Recommended","My child clearly expresses when he/she wants a game to stop.","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
"playparentstyle_question51","Integer","","Recommended","My child enjoys physical games (tickling, play-fighting, etc.).","1::6;-9","1= Almost never; 2= Rarely; 3= Not often; 4= Sometimes; 5= Often; 6= Very often; -9= Missing",""
