"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"pmi01","Integer","","Recommended","My child's behavior has to improve soon.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi02","Integer","","Recommended","I am willing to work on changing my own behavior as it relates to managing my child.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi03","Integer","","Recommended","It is very important for the well-being of my family that my child changes his/her behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi04","Integer","","Recommended","I am prepared to come to the clinic every week for several months in order to change my child's behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi05","Integer","","Recommended","Although the main problem is with my child's behavior, I believe I should come to sessions every week.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi06","Integer","","Recommended","It is very important for the well-being of my child that he changes his/her behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi07","Integer","","Recommended","I am willing to change my current parenting techniques and try new ones.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi08","Integer","","Recommended","I think the benefits of this program will be greater than the costs.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi09","Integer","","Recommended","I would like my child's behavior to change.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi10","Integer","","Recommended","I am willing to try parenting techniques even if I think they might not work.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi11","Integer","","Recommended","I want to be involved in my child's program at this point in time.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi12","Integer","","Recommended","My child will experience many negative outcomes in life if his/her behavior does not change.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi13","Integer","","Recommended","I am motivated to practice the techniques I will learn in session at home with my child.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi14","Integer","","Recommended","I believe that my child's behavior cannot change without my involvement in the program.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi15","Integer","","Recommended","My family will experience many negative outcomes in life if my child's behavior does not change.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi16","Integer","","Recommended","I am eager to participate in the program.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi17","Integer","","Recommended","I believe that changing my own behavior can cause my child's behavior to change.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi18","Integer","","Recommended","I want my child's behavior to improve.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi19","Integer","","Recommended","I am motivated to change the way I reward and punish my child if it will lead to improvement.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi20","Integer","","Recommended","I believe that I can learn to change my child's behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi21","Integer","","Recommended","I am motivated to participate in my child's program each week.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi22","Integer","","Recommended","Participation in this program is a top priority in my schedule and that of my child.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi23","Integer","","Recommended","I believe that I am capable of learning the skills needed to change my child's behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi24","Integer","","Recommended","I look forward to learning new techniques for managing my child's behaviors.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"pmi25","Integer","","Recommended","I am motivated to work with a therapist for one hour each week in order to change my own behavior.","1::5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"mat_motiv_1","Integer","","Recommended","How likely is it that you will avoid alcohol completely, until your child is 6 months old?","1::10","1 = Not at all likely; 10 = Very likely",""
"mat_motiv_2","Integer","","Recommended","Do you intend to quit alcohol until your child is 6 months old?","1::10","1 = Not at all; 10 = Absolutely",""
"mat_motiv_3","Integer","","Recommended","How confident are you that you could avoid alcohol completely until your child is 6 months old?","1::10","1 = Not at all confident; 10 = Very confident",""
"mat_motiv_4","Integer","","Recommended","How ready are you to quit alcohol completely until your child is 6 months old?","1::10","1 = Not at all ready; 10 = Completely ready",""
"mat_motiv_5","Integer","","Recommended","How much do you really want to quit alcohol use until your child is 6 months old?","1::10","1 = Not at all; 10 = Very much",""
