"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"oap01","Integer","","Recommended","I feel like I want to change my diet after viewing other people's pictures online","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap02","Integer","","Recommended","I am often dissatisfied with my weight or looks in pictures of me that are online","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap03","Integer","","Recommended","I feel like I want to change my exercise routine after viewing other people's pictures online","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap04","Integer","","Recommended","I feel inadequate in appearance compared to how my friends look online","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap05","Integer","","Recommended","How I feel about my body and appearance is influenced by other people's online pictures","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap06","Integer","","Recommended","I tend to look at pictures of others to see if they look the way I do","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap07","Integer","","Recommended","I prefer to only upload photos of myself to social media where I look physically attractive","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap08","Integer","","Recommended","I prefer to only upload photos of myself to social media where I look fit and healthy","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap09","Integer","","Recommended","When others upload photos of me to social media, I focus on whether I looked good","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap10","Integer","","Recommended","I check to see who is commenting on, liking, or viewing photos of me or my body on social media","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap11","Integer","","Recommended","When others upload photos of me to social media, I get upset when I don't look my best","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap12","Integer","","Recommended","I approve photos of myself before anyone can tag them","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap13","Integer","","Recommended","When I upload photos of myself, I usually use filters or alter/change them to make myself look better","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap14","Integer","","Recommended","I make judgements of others based on their social media pages","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap15","Integer","","Recommended","When on social media my friends post, comment on, share or like content about getting or staying fit and/or muscular","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap16","Integer","","Recommended","When on social media I post, comment on, share or like content about what and when to eat","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap17","Integer","","Recommended","When on social media my friends post, comment on, share or like content about what and when to eat","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap18","Integer","","Recommended","When on social media I post, comment on, share or like content about getting or staying fit and/or muscular","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap19","Integer","","Recommended","When on social media my friends post, comment on, share or like content about what they would like their bodies to look like","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap20","Integer","","Recommended","When on social media I post, comment on, share or like content about what I would like my body to look like","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"oap21","Integer","","Recommended","Seeing pictures of others tends to make me feel down on myself","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
