"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pog_01","Integer","","Recommended","If I succeed at something, it makes me feel I will succeed in other areas as well.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_02","Integer","","Recommended","If someone praises the way I express something, it makes me think I can write a popular book.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_03","Integer","","Recommended","When I succeed at something, it makes me think about the successes in other areas of my life.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_04","Integer","","Recommended","When people agree with me after I speak up in a group, it makes me think I could be elected to public office.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_05","Integer","","Recommended","When an attractive person smiles at me, I can tell it means s/he is hot for me.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_06","Integer","","Recommended","When something good happens to me, it makes me expect good things in other parts of my life too.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_07","Integer","","Recommended","When people laugh at my jokes, it makes me think I could be a good talk-show host.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_08","Integer","","Recommended","Having one thing go right for me can change me from feeling just OK to seeing all the good in myself.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_09","Integer","","Recommended","When someone compliments me about something I've said, it makes me think about impressing lots of other people.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_10","Integer","","Recommended","All it takes is one look from someone and I know that person is falling for me.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_11","Integer","","Recommended","When one thing goes right, it makes me feel my possibilities are limitless.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_12","Integer","","Recommended","When I have a small financial success, it makes me believe I could become a millionaire.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_13","Integer","","Recommended","After one date goes well, it makes me think that person will be in love with me forever.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_14","Integer","","Recommended","When I made my first friend in this town, I knew I was destined to be a big success socially.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_15","Integer","","Recommended","When someone praises me for my efforts in a club or organization, it makes me think of being the head of the organization.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
"pog_16","Integer","","Recommended","Having a single success makes me think of other successes.","0 :: 4","0 = I agree a lot; 1 = I agree a little; 2 = I neither agree nor disagree; 3 = I disagree a little; 4 = I disagree a lot",""
