"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fspre_1","Integer","","Recommended","How relaxed do you feel right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_2","Integer","","Recommended","How stressed or anxious do you feel right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_3","Integer","","Recommended","How sad, down, or depressed do you feel right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_4","Integer","","Recommended","How refreshed do you feel right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_5","Integer","","Recommended","How much muscle tension or tightness do you feel right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_6","Integer","","Recommended","How much energy do you have right now?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_7","Integer","","Recommended","Over the past hour, how intensely have you felt your breath?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_8","Integer","","Recommended","Over the past hour, how intensely have you felt your heartbeat?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_9","Integer","","Recommended","Over the past hour, how intensely have you felt your stomach or digestive system?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_11","Integer","","Recommended","How pleasant/unpleasant did your breath feel during the past hour?","0::100","Sliding scale response, with 0= Extremely unpleasant; 50= Neutral; 100= Extremely pleasant",""
"fspre_12","Integer","","Recommended","How pleasant/unpleasant did your heartbeat feel during the past hour?","0::100","Sliding scale response, with 0= Extremely unpleasant; 50= Neutral; 100= Extremely pleasant",""
"fspre_13","Integer","","Recommended","How pleasant/unpleasant did your stomach or digestive system feel during the past hour?","0::100","Sliding scale response, with 0= Extremely unpleasant; 50= Neutral; 100= Extremely pleasant",""
"fspre_14","Integer","","Recommended","Overall, how pleasant/unpleasant did your body feel during the past hour?","0::100","Sliding scale response, with 0= Extremely unpleasant; 50= Neutral; 100= Extremely pleasant",""
"fspre_15","Integer","","Recommended","How hungry do you currently feel?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_16","Integer","","Recommended","How thirsty do you currently feel?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_10","Integer","","Recommended","How constipated do you currently feel?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_17","Integer","","Recommended","How much of an urge to urinate do you currently feel?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_18","Integer","","Recommended","How much of an urge to defecate do you currently feel?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspre_19","Integer","","Recommended","How pleasant/unpleasant do you think today's capsule experience will be?","0::100","Sliding scale response, with 0= Extremely unpleasant; 50= Neutral; 100= Extremely pleasant",""
"fspre_20","Integer","","Recommended","How excited are you about today's capsule experience?","0::100","Sliding scale response, with 0= Not at all; 100= Extremely",""
"fspre_22","Integer","","Recommended","How confident are you in your ability to detect stomach sensations in general?","0::100","Sliding scale response, with 0= Not at all; 100= Extremely",""
"fspre_21","String","4000","Recommended","What is your biggest worry or concern?","","Fillable text box/free response",""
"fspre_23","String","4000","Recommended","What do you think might happen?","","Fillable text box/free response",""
"fspre_24","Integer","","Recommended","What is the speed of your thinking right now?","0::100","Sliding scale response, with 0= Very slow, 50= Normal, 100= Rapid",""
"fspre_25","Integer","","Recommended","How long has it been since your last snack or meal?","1::6","1= Less than 15 minutes; 2= Less than 30 minutes; 3= Less than 1 hour; 4= Less than 2 hours; 5= Less than 3 hours; 6= More than 3 hours",""
"fspre_26","Integer","","Recommended","Was the last thing you ate a snack or meal?","1;2","1= Snack; 2= Meal",""
"fspre_26a","Integer","","Recommended","What was your last meal?","1::3","1= Breakfast; 2= Lunch; 3= Dinner",""
"panasx_calm_pre","Integer","","Recommended","Do you feel: Calm?","1::5","1= Very slightly or not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"panasx_relaxed_pre","Integer","","Recommended","Do you feel: Relaxed?","1::5","1= Very slightly or not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"panasx_atease_pre","Integer","","Recommended","Do you feel: At Ease?","1::5","1= Very slightly or not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"fspost_1","Integer","","Recommended","How relaxed do you currently feel?","0::100","Sliding scale response, with 0= Not at all/none 100= Extremely/most I have ever felt",""
"fspost_2","Integer","","Recommended","How stressed or anxious do you feel right now?","0::100","Sliding scale response, with 0= Not at all/none 100= Extremely/most I have ever felt",""
"fspost_3","Integer","","Recommended","How sad, down, or depressed do you feel right now?","0::100","Sliding scale response, with 0= Not at all/none 100= Extremely/most I have ever felt",""
"fspost_4","Integer","","Recommended","How much muscle tension or tightness do you feel right now?","0::100","Sliding scale response, with 0= Not at all/none 100= Extremely/most I have ever felt",""
"fspost_5","Integer","","Recommended","How much energy do you have right now?","0::100","Sliding scale response, with 0= Not at all/none 100= Extremely/most I have ever felt",""
"fspost_6","Integer","","Recommended","In general, during the capsule stimulation, how did you feel?","0::100","Sliding scale response, with 0= Pretty Bad; 50= Neutral; 100= Pretty Good",""
"fspost_7","Integer","","Recommended","How relaxed did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_8","Integer","","Recommended","How much stress or anxiety did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_9","Integer","","Recommended","How sad, down, or depressed did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_10","Integer","","Recommended","How content or peaceful did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_11","Integer","","Recommended","How bored did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_12","Integer","","Recommended","How itchy did you feel during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
"fspost_13","Integer","","Recommended","How intensely did you feel your breath during the capsule stimulation?","0::100","Sliding scale response, with 0= Not at all/None and 100= Extremely/The most I have ever felt",""
