"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hqsu_1","Integer","","Recommended","I hate making mistakes","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_2","Integer","","Recommended","I keep trying to sort out problems in a relationship even if I know it's not going to survive.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_3","Integer","","Recommended","If a friendship seems to be running into difficulties, I will keep trying to resolve things, in case it's just a hiccup","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_4","Integer","","Recommended","If I have an appointment, I always check my travel arrangements carefully in advance to make sure that I have plenty of time to get there and not be late","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_5","Integer","","Recommended","When reading a book or magazine, I often feel that I must begin at the first page and read through to the very end, even if some parts are of no interest.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_6","Integer","","Recommended","When reading a book or magazine, I keep going until I have read all the necessary material, even when the concepts are difficult to understand","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_7","Integer","","Recommended","I tend to keep going with a long task until it is complete, rather than giving up quickly","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_8","Integer","","Recommended","When I phone someone to get a decision, if I get busy signal, I tend to keep ringing back every minute or so, even when the deadline for the decision has passed.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_9","Integer","","Recommended","If I have an important test coming up, I am likely to plan carefully which topics I need to cover, making a revision timetable (review schedule or study plan) to ensure I get everything done.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_10","Integer","","Recommended","One of my goals is to be perfect in everything I do.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_11","Integer","","Recommended","When studying for an important test, I tend to stay up working late into the night, even though I know I am no longer taking in the material and that the studying will no longer help my performance.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_12","Integer","","Recommended","People describe me as someone who can stick at a task, even when it gets difficult.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_13","Integer","","Recommended","When calling a worker (electrician or plumber for example) to schedule an appointment at my home, I may continually call and leave messages on the same number, even though there had been no response to my earlier messages.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_14","Integer","","Recommended","If I try to solve a problem or puzzle, I do not stop until I find an answer.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_15","Integer","","Recommended","Once I have decided to do something, I keep going until I reach my goal.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_16","Integer","","Recommended","When calling a worker (electrician or plumber for example) to schedule an appointment at my home, I try all the phone numbers I have in the hopes of making contact.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"mps17","Integer","","Recommended","Even when I do something very carefully, I often feel that it is not quite right.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing","hqsu_17"
"hqsu_18","Integer","","Recommended","When calling a worker (electrician or plumber for example) to schedule an appointment at my home, I would make sure I had all the relevant paperwork and measurements ready.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_19","Integer","","Recommended","If I have a problem in my relationship, I will work hard at sorting it out, even if this takes a long time.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_20","Integer","","Recommended","When shopping in a supermarket, I walk down the aisles one-by-one until I have covered the whole store, even if I only need a couple of items.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_21","Integer","","Recommended","If I am trying to get to an appointment but my car has broken down, I do my best to get there in time by investigating other routes (e.g., finding out if I can get a bus, train, or taxi).","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
"hqsu_22","Integer","","Recommended","Sometimes I find myself continuing to do something even when there is no point in carrying on.","1::5","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Very true; 5= Totally true",""
