"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","PPVT3_FormA_SRC_Subject_ID"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","PPVT3_FormA_INTERVIEW_Date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","PPVT3_FormA_INTERVIEW_AGE"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","PPVT3_FormA_COMMENTS_MISC,PPVT_COMMENT"
"test_reason","String","255","Recommended","Reason for Testing","","","PPVT3_FormA_test_reason"
"other_info","String","255","Recommended","Other Information on Test Taker","","","PPVT3_FormA_other_info"
"chronological_age","Integer","","Recommended","Chronological age (in months)","0 :: 1200","","PPVT3_FormA_Chronological_AGE"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","PPVT3_FormA_gender,gender"
"language","String","50","Recommended","Language Spoken at Home","","","PPVT3_FormA_language"
"language_specify","String","255","Recommended","Language in the home - Specify if other than standard english","","","PPVT3_FormA_language_specify"
"score_raw","Integer","","Recommended","Raw Score (from oval on page 2)","","","PPVT3_FormA_score_raw,PPVT_RAW"
"score_standard","Integer","","Recommended","Standard Score (Norms table 1)","","","PPVT3_FormA_score_standard,PPVT_STANDARD"
"score_precent","String","15","Recommended","Percentile Rank (Norms table 2)","","","PPVT3_FormA_score_precent,PPVT_PCT_RANK"
"score_norm","String","15","Recommended","Normal Curve Equivalent (Norms table 2)","","","PPVT3_FormA_score_norm,PPVT_NORM_CURVE_EQUIV"
"score_stanine","Float","","Recommended","Stanine (Norms table 2)","","","PPVT3_FormA_score_stanine,PPVT_STANINE"
"score_ageeq","Float","","Recommended","Age Equivalent (Norms table 3)","","","PPVT3_FormA_score_ageeq,PPVT_AGE_EQUIV"
"errors_set1","Integer","","Recommended","No. or Errors in Set 1","","","PPVT3_FormA_errors_set1"
"errors_set2","Integer","","Recommended","No. or Errors in Set 2","","","PPVT3_FormA_errors_set2"
"errors_set3","Integer","","Recommended","No. or Errors in Set 3","","","PPVT3_FormA_errors_set3"
"errors_set4","Integer","","Recommended","No. or Errors in Set 4","","","PPVT3_FormA_errors_set4"
"errors_set5","Integer","","Recommended","No. or Errors in Set 5","","","PPVT3_FormA_errors_set5"
"errors_set6","Integer","","Recommended","No. or Errors in Set 6","","","PPVT3_FormA_errors_set6"
"errors_set7","Integer","","Recommended","No. or Errors in Set 7","","","PPVT3_FormA_errors_set7"
"errors_set8","Integer","","Recommended","No. or Errors in Set 8","","","PPVT3_FormA_errors_set8"
"errors_set9","Integer","","Recommended","No. or Errors in Set 9","","","PPVT3_FormA_errors_set9"
"errors_set10","Integer","","Recommended","No. or Errors in Set 10","","","PPVT3_FormA_errors_set10"
"errors_set11","Integer","","Recommended","No. or Errors in Set 11","","","PPVT3_FormA_errors_set11"
"errors_set12","Integer","","Recommended","No. or Errors in Set 12","","","PPVT3_FormA_errors_set12"
"errors_set13","Integer","","Recommended","No. or Errors in Set 13","","","PPVT3_FormA_errors_set13"
"errors_set14","Integer","","Recommended","No. or Errors in Set 14","","","PPVT3_FormA_errors_set14"
"errors_set15","Integer","","Recommended","No. or Errors in Set 15","","","PPVT3_FormA_errors_set15"
"errors_set16","Integer","","Recommended","No. or Errors in Set 16","","","PPVT3_FormA_errors_set16"
"errors_set17","Integer","","Recommended","No. or Errors in Set 17","","","PPVT3_FormA_errors_set17"
"errors_total","Integer","","Recommended","Total Errors","","","PPVT3_FormA_errors_total"
"calcraw_ceiling","Integer","","Recommended","Ceiling Item","","","PPVT3_FormA_calcraw_ceiling"
"calcraw_totale","Integer","","Recommended","Total Errors","","","PPVT3_FormA_calcraw_totale"
"calcraw_rawscore","Integer","","Recommended","Raw Score","","","PPVT3_FormA_calcraw_rawscore"
"set1_num1_a","Integer","","Recommended","1. bus","","Examinee's response","PPVT3_FormA_set1_num1"
"set1_e1_a","String","50","Recommended","1. bus (error)","Yes;No","","PPVT3_FormA_set1_E1"
"set1_num2_a","Integer","","Recommended","2. drinking","","Examinee's response","PPVT3_FormA_set1_num2"
"set1_e2_a","String","50","Recommended","2. drinking (error)","Yes;No","","PPVT3_FormA_set1_E2"
"set1_num3_a","Integer","","Recommended","3. hand","","Examinee's response","PPVT3_FormA_set1_num3"
"set1_e3_a","String","50","Recommended","3. hand (error)","Yes;No","","PPVT3_FormA_set1_E3"
"set1_num4_a","Integer","","Recommended","4. climbing","","Examinee's response","PPVT3_FormA_set1_num4"
"set1_e4_a","String","50","Recommended","4. climbing (error)","Yes;No","","PPVT3_FormA_set1_E4"
"set1_num5_a","Integer","","Recommended","5. key","","Examinee's response","PPVT3_FormA_set1_num5"
"set1_e5_a","String","50","Recommended","5. key (error)","Yes;No","","PPVT3_FormA_set1_E5"
"set1_num6_a","Integer","","Recommended","6. reading","","Examinee's response","PPVT3_FormA_set1_num6"
"set1_e6_a","String","50","Recommended","6. reading (error)","Yes;No","","PPVT3_FormA_set1_E6"
"set1_num7_a","Integer","","Recommended","7. closet","","Examinee's response","PPVT3_FormA_set1_num7"
"set1_e7_a","String","50","Recommended","7. closet (error)","Yes;No","","PPVT3_FormA_set1_E7"
"set1_num8_a","Integer","","Recommended","8. jumping","","Examinee's response","PPVT3_FormA_set1_num8"
"set1_e8_a","String","50","Recommended","8. jumping (error)","Yes;No","","PPVT3_FormA_set1_E8"
"set1_num9_a","Integer","","Recommended","9. lamp","","Examinee's response","PPVT3_FormA_set1_num9"
"set1_e9_a","String","50","Recommended","9. lamp (error)","Yes;No","","PPVT3_FormA_set1_E9"
"set1_num10_a","Integer","","Recommended","10. helicopter","","Examinee's response","PPVT3_FormA_set1_num10"
"set1_e10_a","String","50","Recommended","10. helicopter (error)","Yes;No","","PPVT3_FormA_set1_E10"
"set1_num11_a","Integer","","Recommended","11. smelling","","Examinee's response","PPVT3_FormA_set1_num11"
"set1_e11_a","String","50","Recommended","11. smelling (error)","Yes;No","","PPVT3_FormA_set1_E11"
"set1_num12_a","Integer","","Recommended","12. fly","","Examinee's response","PPVT3_FormA_set1_num12"
"set1_e12_a","String","50","Recommended","12. fly (error)","Yes;No","","PPVT3_FormA_set1_E12"
"set1_nume1","Integer","","Recommended","Number of Errors","","","PPVT3_FormA_set1_nume1"
"set2_num13_a","Integer","","Recommended","13. digging","","Examinee's response","PPVT3_FormA_set2_num13"
"set2_e13_a","String","50","Recommended","13. digging (error)","Yes;No","","PPVT3_FormA_set2_E13"
"set2_num14_a","Integer","","Recommended","14. cow","","Examinee's response","PPVT3_FormA_set2_num14"
"set2_e14_a","String","50","Recommended","14. cow (error)","Yes;No","","PPVT3_FormA_set2_E14"
"set2_num15_a","Integer","","Recommended","15. drum","","Examinee's response","PPVT3_FormA_set2_num15"
"set2_e15_a","String","50","Recommended","15. drum (error)","Yes;No","","PPVT3_FormA_set2_E15"
"set2_num16_a","Integer","","Recommended","16. feather","","Examinee's response","PPVT3_FormA_set2_num16"
"set2_e16_a","String","50","Recommended","16. feather (error)","Yes;No","","PPVT3_FormA_set2_E16"
"set2_num17_a","Integer","","Recommended","17. painting","","Examinee's response","PPVT3_FormA_set2_num17"
"set2_e17_a","String","50","Recommended","17. painting (error)","Yes;No","","PPVT3_FormA_set2_E17"
"set2_num18_a","Integer","","Recommended","18. cage","","Examinee's response","PPVT3_FormA_set2_num18"
"set2_e18_a","String","50","Recommended","18. cage (error)","Yes;No","","PPVT3_FormA_set2_E18"
"set2_num19_a","Integer","","Recommended","19. knee","","Examinee's response","PPVT3_FormA_set2_num19"
"set2_e19_a","String","50","Recommended","19. knee (error)","Yes;No","","PPVT3_FormA_set2_E19"
"set2_num20_a","Integer","","Recommended","20. wrapping","","Examinee's response","PPVT3_FormA_set2_num20"
"set2_e20_a","String","50","Recommended","20. wrapping (error)","Yes;No","","PPVT3_FormA_set2_E20"
"set2_num21_a","Integer","","Recommended","21. fence","","Examinee's response","PPVT3_FormA_set2_num21"
"set2_e21_a","String","50","Recommended","21. fence (error)","Yes;No","","PPVT3_FormA_set2_E21"
"set2_num22_a","Integer","","Recommended","22. elbow","","Examinee's response","PPVT3_FormA_set2_num22"
"set2_e22_a","String","50","Recommended","22. elbow (error)","Yes;No","","PPVT3_FormA_set2_E22"
"set2_num23_a","Integer","","Recommended","23. garbage","","Examinee's response","PPVT3_FormA_set2_num23"
"set2_e23_a","String","50","Recommended","23. garbage (error)","Yes;No","","PPVT3_FormA_set2_E23"
"set2_num24_a","Integer","","Recommended","24. exercising","","Examinee's response","PPVT3_FormA_set2_num24"
"set2_e24_a","String","50","Recommended","24. exercising (error)","Yes;No","","PPVT3_FormA_set2_E24"
"set2_nume2","Integer","","Recommended","Number of Errors","","","PPVT3_FormA_set2_nume2"
"set3_num25_a","Integer","","Recommended","25. empty","","Examinee's response","PPVT3_FormA_set3_num25"
"set3_e25_a","String","50","Recommended","25. empty (error)","Yes;No","","PPVT3_FormA_set3_E25"
"set3_num26_a","Integer","","Recommended","26. shoulder","","Examinee's response","PPVT3_FormA_set3_num26"
"set3_e26_a","String","50","Recommended","26. shoulder (error)","Yes;No","","PPVT3_FormA_set3_E26"
"set3_num27_a","Integer","","Recommended","27. square","","Examinee's response","PPVT3_FormA_set3_num27"
"set3_e27_a","String","50","Recommended","27. square (error)","Yes;No","","PPVT3_FormA_set3_E27"
"set3_num28_a","Integer","","Recommended","28. measuring","","Examinee's response","PPVT3_FormA_set3_num28"
"set3_e28_a","String","50","Recommended","28. measuring (error)","Yes;No","","PPVT3_FormA_set3_E28"
"set3_num29_a","Integer","","Recommended","29. porcupine","","Examinee's response","PPVT3_FormA_set3_num29"
"set3_e29_a","String","50","Recommended","29. porcupine (error)","Yes;No","","PPVT3_FormA_set3_E29"
"set3_num30_a","Integer","","Recommended","30. arrow","","Examinee's response","PPVT3_FormA_set3_num30"
