"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sppct_02_response","Integer","","Recommended","This child finds it hard to make friends  OR  For this child it's pretty easy","1::4;-99","1 = Really True for me (left); 2 = Sort of True for me (left); 3 = Sort of True for me (right); 4 = Really True for me (right); -99= Missing Value","prcb1"
"prcb2","Integer","","Recommended","This child is usually well-behaved OR This child is often not well-behaved","1::4","1=Really True (Left); 2=Sort of True (Left); 3=Really True (Right); 4=Sort of True (Right)",""
"sppct_07_response","Integer","","Recommended","This child has social skills to make friends  OR  This child doesn't have social skills to make friends","1::4;-99","4 = Really True for me (left); 3 = Sort of True for me (left); 2 = Sort of True for me (right); 1 = Really True for me (right); -99= Missing Value","prcb3"
"prcb4","Integer","","Recommended","This child usually acts appropriately OR This child usually does not act appropriately.","1::4","1=Really True (Left); 2=Sort of True (Left); 3=Really True (Right); 4=Sort of True (Right)",""
"sppct_12_response","Integer","","Recommended","This child knows how to become popular  OR  This child does not know how to become popular","1::4;-99","4 = Really True for me (left); 3 = Sort of True for me (left); 2 = Sort of True for me (right); 1 = Really True for me (right); -99= Missing Value","prcb5"
"prcb6","Integer","","Recommended","This child often gets in trouble because of the things he/ she does OR This child usually doesn't do things that get him/ her in trouble.","1::4","1=Really True (Left); 2=Sort of True (Left); 3=Really True (Right); 4=Sort of True (Right)",""
"prcb7","Integer","","Recommended","Compared to other children This child's age, This child has very good social skills OR Compared to other children This child's age, This child does not have very good social skills.","1::4","1=Really True (Left); 2=Sort of True (Left); 3=Really True (Right); 4=Sort of True (Right)",""
"prcb8","Integer","","Recommended","My child has a lot of friends.. OR My child doesn't have a lot of friends..","1::4","4 = Really True for me (left); 3 = Sort of True for me (left); 2 = Sort of True for me (right); 1 = Really True for me (right)",""
"prcb9","Integer","","Recommended","My child is popular with other kids their age OR My child is not popular with other kids their age","1::4","4 = Really True for me (left); 3 = Sort of True for me (left); 2 = Sort of True for me (right); 1 = Really True for me (right)",""
"trc_6_pc","Integer","","Recommended","From last month to today (youth participant): Accepts imposed limits","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_7_pc","Integer","","Recommended","From last month to today (youth participant): Withdrawn","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_8_pc","Integer","","Recommended","From last month to today (youth participant): Makes friends easily","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_9_pc","Integer","","Recommended","From last month to today (youth participant): Functions well even with distractions","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_10_pc","Integer","","Recommended","From last month to today (youth participant): Overly aggressive towards peers (fights)","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_11_pc","Integer","","Recommended","From last month to today (youth participant): Defends own views under group pressure","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_12_pc","Integer","","Recommended","From last month to today (youth participant): Other youth shun or avoid this young person","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_13_pc","Integer","","Recommended","From last month to today (youth participant): Underachieving (not working to ability)","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_14_pc","Integer","","Recommended","From last month to today (youth participant): Tolerate frustration","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_15_pc","Integer","","Recommended","From last month to today (youth participant): Anxious, worried","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_16_pc","Integer","","Recommended","From last month to today (youth participant): Workmates, school mates or peers like to sit near this person","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_17_pc","Integer","","Recommended","From last month to today (youth participant): Works well without support","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_18_pc","Integer","","Recommended","From last month to today (youth participant): Defiant, obstinate, stubborn","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_19_pc","Integer","","Recommended","From last month to today (youth participant): Expresses ideas willingly","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_20_pc","Integer","","Recommended","From last month to today (youth participant): Has trouble interacting with peers","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_21_pc","Integer","","Recommended","From last month to today (youth participant): Poorly motivated to achieve","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_22_pc","Integer","","Recommended","From last month to today (youth participant): Copes well with failure","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_23_pc","Integer","","Recommended","From last month to today (youth participant): Nervous, frightened, tense","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_24_pc","Integer","","Recommended","From last month to today (youth participant): Has many friends","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_25_pc","Integer","","Recommended","From last month to today (youth participant): Completes work, tasks or chores","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trtarm","String","200","Recommended","Treatment arm","","",""
"trc_26_pc","Integer","","Recommended","From last month to today (youth participant): Disruptive in class or other programs they participate in","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_27_pc","Integer","","Recommended","From last month to today (youth participant): Comfortable as a leader","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_28_pc","Integer","","Recommended","From last month to today (youth participant): Other youth dislike this young person","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_29_pc","Integer","","Recommended","From last month to today (youth participant): Has poor concentration, limited attention span","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_30_pc","Integer","","Recommended","From last month to today (youth participant): Accepts things not going his/her way","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_31_pc","Integer","","Recommended","From last month to today (youth participant): Doesn''t talk about the things that bother him/her","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_32_pc","Integer","","Recommended","From last month to today (youth participant): Does not express feelings","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_33_pc","Integer","","Recommended","From last month to today (youth participant): Well-liked by workmates, school mates or peers","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"trc_1_pc","Integer","","Recommended","From last month to today (youth participant): A self starter","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_2_pc","Integer","","Recommended","From last month to today (youth participant): Disturbs others while they are working","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_3_pc","Integer","","Recommended","From last month to today (youth participant): Participates in group discussions","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_4_pc","Integer","","Recommended","From last month to today (youth participant): Lacks social skills with peers","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_5_pc","Integer","","Recommended","From last month to today (youth participant): Has difficulties following directions","1::5;998;999","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 998=Don''t know; 999=No answer",""
"trc_40","Integer","","Recommended","I get in trouble a lot at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_4","Integer","","Recommended","Get along well with your peers","0::4;99","0= Strongly disagree; 1= Disagree; 2= Neutral; 3= Agree; 4= Strongly Agree; 99= Refused",""
"trc_34","Integer","","Recommended","I have difficulty with my learning at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_35","Integer","","Recommended","I have difficulty getting along with other children at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_36","Integer","","Recommended","I have a good attendance at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_37","Integer","","Recommended","I have difficulty getting my schoolwork done on time","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_38","Integer","","Recommended","I get good marks/grades at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
"trc_39","Integer","","Recommended","I have difficulty paying attention at school","0::2;99","0= Not True; 1= Somewhat true; 2= Very True; 99= Missing value",""
