"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"site","String","101","Recommended","Site","","Study Site",""
"visit","String","60","Recommended","Visit name","","",""
"prev_ex1","String","10","Recommended","Ophthalmologist ID","","",""
"prev_ex2","Integer","","Recommended","Did the participant cooperate during the exam","1;2","2=No; 1=Yes",""
"prev_ex3","String","50","Recommended","Not cooperated, reason","","",""
"prev_ex4","Integer","","Recommended","Was the external exam normal","1;2","2=No; 1=Yes",""
"prev_ex5","String","50","Recommended","Exam not normal, specify","","",""
"prev_ex6","Integer","","Recommended","Are the pupils normal","1;2","2=No; 1=Yes",""
"prev_ex7","Integer","","Recommended","Pupils abnormal","1::3","1=irregular shape; 2= afferent defect; 3=other",""
"prev_ex8","String","50","Recommended","Pupils abnorm other, specify","","",""
"prev_ex9","Integer","","Recommended","Was the retinoscopy performed","1;2","2=No; 1=Yes",""
"prev_ex10","Integer","","Recommended","Retinoscopy result","1;2","1=Normal; 2= abnormal",""
"prev_ex11","Integer","","Recommended","Myopia","1;2","1=Present; 2= absent",""
"prev_ex12","Integer","","Recommended","Hyperopia","1;2","1=Present; 2= absent",""
"prev_ex13","Integer","","Recommended","Anisometropia","1;2","1=Present; 2= absent",""
"prev_ex14","Integer","","Recommended","Were corrective lenses recommended","1;2","2=No; 1=Yes",""
"prev_ex15","Integer","","Recommended","Was strabismus present","1;2","2=No; 1=Yes",""
"prev_ex16","Integer","","Recommended","Strabismus present, specify 1","1::3","1=Esotropia; 2=Exotropia; 3=None",""
"prev_ex17","Integer","","Recommended","Strabismus present, specify 2","1::3","1=Hypertropia; 2=Hypotropia; 3=None",""
"prev_ex18","Integer","","Recommended","Was visual acuity performed","1;2","2=No; 1=Yes",""
"prev_ex19","Integer","","Recommended","Visual acuity results","1;2","1=Normal; 2= abnormal",""
"prev_ex20","String","5","Recommended","Visual acuity abnormal, specify","","1=Failure to fix and follow; 2=Failure to maintain central fixation",""
"prev_ex21","Integer","","Recommended","Was the Bruckner test performed","1;2","2=No; 1=Yes",""
"prev_ex22","Integer","","Recommended","Bruckner test results","1;2","1=Normal; 2= abnormal",""
"prev_ex23","String","10","Recommended","Bruckner test results abnormal, specify","","1=absent; 2= white; 3=dull, opacified; 4= asymmetric; 5=other",""
"prev_ex24","String","50","Recommended","Bruckner test results abnormal other, specify","","",""
"prev_ex25","Integer","","Recommended","Were corneal reflexes normal","1;2","2=No; 1=Yes",""
"prev_ex26","String","5","Recommended","Corneal reflexes abnormal","","1=Asymetric; 2=Displaced",""
"prev_ex27","Integer","","Recommended","Was a dilated funduscopic examination performed","1;2","2=No; 1=Yes",""
"prev_ex28","Integer","","Recommended","Dilated funduscopic examination results","1;2","1=Normal; 2= abnormal",""
"prev_ex29","String","5","Recommended","Dilated funduscopic examination results abnormal, specify","","1=Retinal hamartomas; 2= optic atrophy",""
"prev_ex30","Integer","","Recommended","Were photos taken","1;2","2=No; 1=Yes",""
"prev_ex31","Integer","","Recommended","Is there a high index of suspicion for decreased visual function","1;2","2=No; 1=Yes",""
"prev_ex32","Integer","","Recommended","Was OCT ordered","1;2","2=No; 1=Yes",""
"prev_ex33","Integer","","Recommended","Does the parent report normal vision at home","1;2","2=No; 1=Yes",""
"comments","String","4000","Recommended","Comments about assessment","","",""
"prev_ex35","Integer","","Recommended","Has there been a significant change in the eye exam since the last visit","1;2","2=No; 1=Yes",""
"prev_ex36","Integer","","Recommended","Does the change warrant notigfication of site PI","1;2","2=No; 1=Yes",""
