"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","redcap_event_name"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;Biological mom;Biological dad;Adoptive mom;Adoptive dad;Grandparent;Other caregiver;NA","NA=Not Applicable","relationship_to_child"
"respondent_other_specify","String","50","Recommended","Respondent: Other (specify)","","",""
"prfq_1","Integer","","Recommended","The only time I'm certain my child loves me is when he or she is smiling at me.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_2","Integer","","Recommended","I always know what my child wants.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_3","Integer","","Recommended","I like to think about the reasons behind the way my child behaves and feels.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_4","Integer","","Recommended","My child cries/acts up/is difficult around strangers to embarrass me.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_5","Integer","","Recommended","I can completely read my child's mind.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_6","Integer","","Recommended","I wonder a lot about what my child is thinking and feeling.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_7","Integer","","Recommended","I find it hard to actively participate in make believe/imaginary activities with my child.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_8","Integer","","Recommended","I can always predict what my child will do.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_9","Integer","","Recommended","I am often curious to find out how my child feels.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_10","Integer","","Recommended","My child sometimes gets sick/ill to keep me from doing what I want to do.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_11","Integer","","Recommended","I can sometimes misunderstand the reactions of my child.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_12","Integer","","Recommended","I try to see situations through the eyes of my child.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_13","Integer","","Recommended","When my child is fussy/being difficult he or she does that just to annoy me.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_14","Integer","","Recommended","I always know why I do what I do to my child.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_15","Integer","","Recommended","I try to understand the reasons why my child misbehaves.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_16","Integer","","Recommended","Often, my child's behavior is too confusing to bother figuring out.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_17","Integer","","Recommended","I always know why my child acts the way he or she does.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_18","Integer","","Recommended","I believe there is no point in trying to guess what my child feels.","1::8","1 = Strongly disagree; 4 = Neutral or undecided; 7 = Strongly agree; 8 = No response",""
"prfq_score","Integer","","Recommended","Parental Reflective Functioning Questionnaire Score","18::126","Sum of elements prfq_1 through prfq_18",""
"prfq_pm","Integer","","Recommended","PRFQ Pre-Mentalizing Modes Score","0::42","Sum of items prfq_1, prfq_4, prfq_7, prfq_10, prfq_13, prfq_16",""
"prfq_cm","Integer","","Recommended","PRFQ Certainty about Mental States Score","0::42","Sum of items prfq_2, prfq_5, prfq_8, prfq_11, prfq_14, prfq_17",""
"prfq_ic","Integer","","Recommended","PRFQ Interest and Curiosity in Mental States Score","0::42","Sum of items prfq_3, prfq_6, prfq_9, prfq_12, prfq_15, prfq_18",""
