"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"t_bprau1","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Feel proud","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau2","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Feel OK about it","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau3","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Be disappointed with me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau4","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Be angry with me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau5","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Feel offended or disrespected","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau6","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Be worried","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau7","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Say nothing to me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau8","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Tell me that it is my life or my choice","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau9","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Tell me that he/she disapproves","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau10","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Yell at me in disapproval","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau11","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Talk with me about the reasons why I shouldn't drink alcohol","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau12","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Talk with me about why I drank alcohol","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau13","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Talk with me about how my alcohol use makes him/her feel","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau14","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Make drinking alcohol sound silly or stupid","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau15","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Offer me a reward NOT to drink alcohol again","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau16","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Take away privileges, like watching TV, driving, etc.","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau17","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Take away something from me (like an allowance, treats)","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau18","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Ground me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau19","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Give me the silent treatment/cold shoulder","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprau20","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you drank alcohol without permission: Kick me out of the house","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu1","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Feel proud","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu2","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Feel OK about it","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu3","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Be disappointed with me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu4","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Be angry with me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu5","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Feel offended or disrespected","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu6","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Be worried","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu7","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Say nothing to me","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu8","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Tell me that it is my life or choice","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu9","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Tell me that he/she disapproves","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu10","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Yell at me in disapproval","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu11","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Talk with me about the reasons why I shouldn't use marijuana","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu12","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Talk with me about why I used marijuana","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu13","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Talk with me about how my marijuana use makes him/her feel","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu14","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Make marijuana use sound silly or stupid","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu15","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Offer me a reward NOT to use marijuana again","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu16","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Take away privileges, like watching TV, driving, etc.","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
"t_bprmu17","Integer","","Recommended","How likely would your caregiver act this way (or has acted this way) if they found out you used marijuana (cannabis, hashish hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') without permission: Take away something from me (like an allowance, treats)","1::5","1 =Not at all likely; 2 = A little likely; 3= Somewhat likely; 4= Very likely; 5= Extremely likely",""
