"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"promis_sfint101","Integer","","Recommended","In the past 30 days, How interested have you been in sexual activity?","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_sfint102","Integer","","Recommended","In the past 30 days, How often have you felt like you wanted to have sex?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_sfint103","Integer","","Recommended","In the past 30 days, How often have you had sexual thoughts or fantasies while you were awake?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_sfint104","Integer","","Recommended","In the past 30 days, How often were you interested enough to start a sexual activity?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_sfint_tscore","Float","","Recommended","PROMIS Interest in Sexual Activity: Final T-score","","999 = Missing",""
"promis_sfint_raw","Integer","","Recommended","PROMIS Interest in Sexual Activity: Final Raw Score","4::20;999","999 = Missing",""
