"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"promis_smksoc01","Integer","","Recommended","Smoking makes me feel better in social situations.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc02","Integer","","Recommended","Smoking helps me feel more relaxed when I'm with other people.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc03","Integer","","Recommended","I feel like part of a group when I'm around other smokers.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc04","Integer","","Recommended","I enjoy the social aspect of smoking with other smokers.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc05","Integer","","Recommended","If I quit smoking I will be less welcome around my friends who smoke.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc06","Integer","","Recommended","Smoking is a part of my self-image.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc07","Integer","","Recommended","I feel a bond with other smokers.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smksoc_tscore","Float","","Recommended","PROMIS Smoking Social Motivations: Final T-score","","999 = Missing",""
"promis_smksoc_raw","Integer","","Recommended","PROMIS Smoking Social Motivations: Final Raw Score","7::35;999","999 = Missing",""
