"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","mandp_visit"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"pa052","Integer","","Recommended","I have a good sense of what makes my life meaningful.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree","meaning1,pa203_c"
"meaning2","Integer","","Recommended","I have very clear goals and aims for my life....","1::5","1= Strongly disagree ; 2= Disagree ; 3= Neither agree nor disagree ; 4= Agree ; 5= Strongly Agree","pa210_c"
"meaning3","Integer","","Recommended","My life has meaning....","1::5","1= Not at all ; 2= A little bit ; 3= Somewhat ; 4= Quite a bit ; 5= Very much","pa221_c"
"meaning4","Integer","","Recommended","I have a clear sense of direction in life....","1::5","1= Not at all ; 2= A little bit ; 3= Somewhat ; 4= Quite a bit ; 5= Very much","pa227_c"
"meaning5","Integer","","Recommended","I experience deep fulfillment in my life....","1::5","1= Not at all ; 2= A little bit ; 3= Somewhat ; 4= Quite a bit ; 5= Very much","pa232_c"
"meaning6","Integer","","Recommended","My life has purpose....","1::5","1= Not at all ; 2= A little bit ; 3= Somewhat ; 4= Quite a bit ; 5= Very much","pa237_c"
"promismp","Integer","","Recommended","Total of PROMIS Meaning and Purpose items","","",""
"promismp_tsc","Integer","","Recommended","PROMIS Meaning and Purpose T-Score","","",""
"promismp_se","Float","","Recommended","PROMIS Meaning and Purpose Standard Error","","",""
"promismp_rel","Float","","Recommended","PROMIS Meaning and Purpose Reliability","0::1","",""
"pa205_c","Integer","","Recommended","I generally feel that what I do in my life is valuable and worthwhile","1::5","1= Strongly disagree ; 2= Disagree ; 3= Neither agree nor disagree ; 4= Agree ; 5= Strongly Agree",""
"pa224_c","Integer","","Recommended","My life has significance","1::5","1= Not at all ; 2= A little bit ; 3= Somewhat ; 4= Quite a bit ; 5= Very much",""
"promismp_pp_010","Integer","","Recommended","My child expects to enjoy his/her future life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_rs","Integer","","Recommended","Total of PROMIS Meaning and Purpose  Parent Proxy items (raw score)","","",""
"promismp_pp_024","Integer","","Recommended","My child is hopeful about his/her future.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_038","Integer","","Recommended","My child can reach his/her goals in life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_045","Integer","","Recommended","My child thinks his/her life is filled with meaning.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_047","Integer","","Recommended","My child thinks his/her life has purpose.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_052","Integer","","Recommended","My child has a reason for living.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_037","Integer","","Recommended","My child knows where he/she is going in life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promismp_pp_025","Integer","","Recommended","My child is positive about his/her future.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_2","Integer","","Recommended","My life has a clear sense of purpose.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_1","Integer","","Recommended","I understand my life's meaning.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_15","Integer","","Recommended","I have a reason for living.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_16","Integer","","Recommended","My life has been productive.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_17","Integer","","Recommended","I feel a sense of purpose in my life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_18","Integer","","Recommended","I can make sense of my existence.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_19","Integer","","Recommended","My life has value.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_20","Integer","","Recommended","I understand that there is a reason for my life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_22","Integer","","Recommended","The things I do in my life are of significance.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_23","Integer","","Recommended","I can make sense of my life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_25","Integer","","Recommended","The things I do in my life are of value.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_26","Integer","","Recommended","I have a clear understanding of what life is about.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_28","Integer","","Recommended","I feel that my life has meaning.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_29","Integer","","Recommended","My life is fulfilling.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_30","Integer","","Recommended","My life matters.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_31","Integer","","Recommended","I can understand my life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_33","Integer","","Recommended","I am positive about my future.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_34","Integer","","Recommended","I know where I am going in life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_35","Integer","","Recommended","I can reach my goals in life.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_36","Integer","","Recommended","My life is filled with meaning.","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"promis_pa_12","Integer","","Recommended","I realize my life has a great deal of personal meaning to me.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_14","Integer","","Recommended","My life makes sense to me.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_13","Integer","","Recommended","My life as a whole has meaning.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_11","Integer","","Recommended","I understand the world around me.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_4","Integer","","Recommended","I have discovered a satisfying life purpose.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_6","Integer","","Recommended","My daily life is full of things that are interesting to me.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_7","Integer","","Recommended","To me, the things I do are all worthwhile.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_8","Integer","","Recommended","I value my activities a lot.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"promis_pa_9","Integer","","Recommended","I have lots of reasons for living.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
