"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"parenting_self_agency_01","Integer","","Recommended","I feel sure of myself as a parent","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_02","Integer","","Recommended","I know I am doing a good job as a parent","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_03","Integer","","Recommended","I know things about being a parent that would be helpful to other parents","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_04","Integer","","Recommended","I can solve most problems between my child and me","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_05","Integer","","Recommended","When things are going badly between my child and me, I keep trying until things begin to change","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_06","Integer","","Recommended","I feel sure of myself as a mother/father","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_07","Integer","","Recommended","No matter what I try, my child will not do what I want","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_08","Integer","","Recommended","When something goes wrong between me and my child, there is little I can do to","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_09","Integer","","Recommended","I know I am doing a good job as a mother/father","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_10","Integer","","Recommended","I feel useless as a mother/father","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_11","Integer","","Recommended","My child usually ends up getting his/her way","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_12","Integer","","Recommended","I know things about being a mother/father that would be helpful to other","1::7","1= Rarely; 7= Always",""
"parenting_self_agency_13","Integer","","Recommended","When my child gets upset with me, I usually give in","1::7","1= Rarely; 7= Always",""
