"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"about_whom","String","100","Recommended","Description of person or group of people about whom participant is answering questions","","e.g., Partner 1, Friend 2, neighbors",""
"aldrass01","Integer","","Recommended","My friends have asked me to use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass02","Integer","","Recommended","My friends think alcohol and drugs are cool.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass03","Integer","","Recommended","My friends look down on people that don't use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass04","Integer","","Recommended","My friends have pressured me to use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass05","Integer","","Recommended","My friends have given me alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass06","Integer","","Recommended","My friends only hang out with people who use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass07","Integer","","Recommended","My friends can get alcohol or drugs easily.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass08","Integer","","Recommended","SIBLING NAME has asked me to do alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass09","Integer","","Recommended","SIBLING NAME thinks alcohol and drugs are cool.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass10","Integer","","Recommended","SIBLING NAME looks down on people that don't use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass11","Integer","","Recommended","SIBLING NAME has pressured me to use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass12","Integer","","Recommended","SIBLING NAME has given me alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass13","Integer","","Recommended","SIBLING NAME only hangs out with people who use alcohol or drugs.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"aldrass14","Integer","","Recommended","SIBLING NAME can get alcohol or drugs easily.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"peer_da_score","Float","","Recommended","Peer Drug Associations Score","1::5","Average of items aldrass01 through aldrass07",""
"sib_da_score","Float","","Recommended","Sibling Drug Associations Score","1::5","Average of items aldrass08 through aldrass14",""
