"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","strlid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","dtmdoe"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","calcage"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"psi_1","String","2","Recommended","Question 1","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_2","String","2","Recommended","Question 2","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_3","String","2","Recommended","Question 3","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_4","String","2","Recommended","Question 4","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_5","String","2","Recommended","Question 5","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_6","String","2","Recommended","Question 6","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_7","String","2","Recommended","Question 7","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_8","String","2","Recommended","Question 8","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_9","String","2","Recommended","Question 9","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_10","String","2","Recommended","Question 10","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_11","String","2","Recommended","Question 11","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_12","String","2","Recommended","Question 12","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_13","String","2","Recommended","Question 13","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_14","String","2","Recommended","Question 14","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_15","Integer","","Recommended","Question 15","1::4","",""
"psi_16","Integer","","Recommended","Question 16","1::5","",""
"psi_17","String","2","Recommended","Question 17","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_18","String","2","Recommended","Question 18","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_19","String","2","Recommended","Question 19","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_20","String","2","Recommended","Question 20","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_21","String","2","Recommended","Question 21","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_22","String","2","Recommended","Question 22","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_23","String","2","Recommended","Question 23","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_24","String","2","Recommended","Question 24","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_25","String","2","Recommended","Question 25","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_26","String","2","Recommended","Question 26","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_27","String","2","Recommended","Question 27","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_28","String","2","Recommended","Question 28","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_29","String","2","Recommended","Question 29","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_30","String","2","Recommended","Question 30","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_31","String","2","Recommended","Question 31","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
"psi_32","String","2","Recommended","Question 32","SA; A; NS; D; SD","SA=strongly agree; A=agree; NS=not sure; D=disagree; SD=strongly disagree",""
