"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"involvq01","Integer","","Recommended","P: I attend conferences with the teacher to talk about my child's learning or behavior T: I schedule conferences with the parent to talk about this student's learning or behavior","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq02","Integer","","Recommended","P: I contact the teacher or principal to get information T: I contact the parent to get information","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq03","Integer","","Recommended","P: I talk to my child's teacher about his/her daily school routine T: I talk to this student's parent about his/her daily school routine","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq04","Integer","","Recommended","P: I limit my child's TV and video watching T: I suggest that the parent limit this student's TV and video watching","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq05","Integer","","Recommended","P: I review my child's school work T: I review this student's homework","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq06","Integer","","Recommended","P: I take my child to the public library T: I take this student to the school library","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq07","Integer","","Recommended","P: I suggest classroom activities and school trips to the teacher T: I suggest home activities and trips to the parent","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq08","Integer","","Recommended","P: I attend parent workshops or training offered by my child's school T: I suggest that the parent attend workshops or training offered by the school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq09","Integer","","Recommended","P: I talk to my child's teacher about the classroom rules T: I talk to this student's parent about the classroom rules","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq10","Integer","","Recommended","P: I take my child to school in the morning T: I greet this student at school in the morning","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq11","Integer","","Recommended","P: I keep a regular morning and bedtime schedule for my child T: I keep a regular individualized schedule for this student","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq12","Integer","","Recommended","P: I praise my child for his/her school work in front of the teacher T: I praise this student for his/her school work in front of the parent","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq13","Integer","","Recommended","P: I share stories with my child about when I was in school T: I share stories with this student about when I was in school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq14","Integer","","Recommended","P: I take my child to places in the community to learn special things (museum, church) T: I take this student to places in the community to learn special things (museum)","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq15","Integer","","Recommended","P: I call/email the teacher if I am concerned about things that my child tells me about school T: I call/email the parent if I am concerned about things that this student tells me about home","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq16","Integer","","Recommended","P: I talk to the teacher about how my child gets along with his/her classmates in school T: I talk to the parent about how this student gets along with his/her classmates in school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq17","Integer","","Recommended","P: I check to see that my child has a place at home where books or school materials are kept T: I check to see that this student has a place at school where books or school materials are kept","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq18","Integer","","Recommended","P: I volunteer in my child's classroom T: I suggest that the parent volunteer in the classroom","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq19","Integer","","Recommended","P: I participate in fundraising activities at my child's school T: I suggest that the parent participate in fundraising activities at the school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq20","Integer","","Recommended","P: The teacher and I write notes/email each other about my child or school activities T: The parent and I write notes/email each other about this student or school activities","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq21","Integer","","Recommended","P: I talk to the teacher about my child's accomplishments  T: I talk to the parent about this student's accomplishments","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq22","Integer","","Recommended","P: I read with my child  T: I read with this student","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq23","Integer","","Recommended","P: I bring home learning materials for my child (tapes, videos, books)  T: I send home learning materials for this student (tapes, videos, books)","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq24","Integer","","Recommended","P: I go on class trips with my child T: I suggest that the parent go on class trips with this student","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq25","Integer","","Recommended","P: I participate in parent and family social activities at my child's school T: I participate in parent and family social activities at my school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq26","Integer","","Recommended","P: I maintain clear rules at home that my child should obey T: I maintain clear rules at school that this student should obey","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq27","Integer","","Recommended","P: I talk to my child's teacher about his/her difficulties at school T: I talk to this student's parent about his/her difficulties at school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq28","Integer","","Recommended","P: I ask my child how his or her day was at school T: I ask this student how his or her evening/weekend was at home","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq29","Integer","","Recommended","P: I arrange times at home when my child's classmates can come and play T: I suggest that the parent arrange times at home when this student's classmates can come and play","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq30","Integer","","Recommended","P: I talk with other parents about school meetings and events  T: I suggest that the parent talk with other parents about school meetings and events","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq31","Integer","","Recommended","P: I pick my child up from school in the afternoon T: I dismiss this student from school in the afternoon","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq32","Integer","","Recommended","P: I talk with people at my child's school about training or career development opportunities for myself T: I talk with the parent about training or career development opportunities","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq33","Integer","","Recommended","P: I talk with my child's teacher about school work he or she is expected to practice at home T: I talk with the parent about school work he or she is expected to practice at home","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq34","Integer","","Recommended","P: I talk with my child's teacher about our personal and family matters if it effects my child's work at school T: I talk with the parent about personal and school matters if it affects this student's work at school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq35","Integer","","Recommended","P: My child has chores to do at home T: This student has jobs (e.g., line leader, snack helper, etc.) to do at school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq36","Integer","","Recommended","P: I feel that teachers and the principal encourage parents to be involved at school T: I feel that teachers and the principal encourage parents to be involved at school","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
"involvq37","Integer","","Recommended","P: I feel that parents in my child's school support each other  T: I feel that parents in my school support each other","0::3","0=Rarely; 1=Sometimes; 2=Often; 3=Always",""
