"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pssm_interest_5","Integer","","Recommended","Most teachers at my school are interested in me.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_problem_7","Integer","","Recommended","There's at least one teacher or other adult in my school I can talk to if I have a problem.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_not_interested_9","Integer","","Recommended","Teachers at my school are not interested in people like me.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_respect_14","Integer","","Recommended","Teachers at my school respect me.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_19","Integer","","Recommended","Administrators (e.g., vice principals, principals) and staff at my school respect me.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_20","Integer","","Recommended","I feel like a real part of my school.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_21","Integer","","Recommended","People here notice when I'm good at something.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_22","Integer","","Recommended","It is hard for people like me to be accepted here.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_23","Integer","","Recommended","Other students in this school take my opinions seriously.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_25","Integer","","Recommended","Sometimes I feel as if I don't belong here.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_26","Integer","","Recommended","People at this school are friendly to me.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_28","Integer","","Recommended","I am included in lots of activities at my school.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_29","Integer","","Recommended","I am treated with as much respect as other students.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_30","Integer","","Recommended","I feel very different from most other students here.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_31","Integer","","Recommended","I can really be myself at this school.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_33","Integer","","Recommended","People here know I can do good work.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_34","Integer","","Recommended","I wish I were in a different school.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_35","Integer","","Recommended","I feel proud of belonging to my school.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
"pssm_admin_respect_36","Integer","","Recommended","Other students here like me the way I am.","1::5; -1","1=Not at all true; 5=Completely true; -1=Refused to answer",""
