"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"site","String","101","Recommended","Site","","Study Site",""
"surveylanguage","Integer","","Recommended","What language was used to administer surveys?","1;2","1= English; 2= Spanish",""
"psy_acc1","Integer","","Recommended","With which group of people do you feel you share most of your beliefs and values? / ¿Con qué grupo de personas siente que comparte la mayoría de sus creencias y valores?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc2","Integer","","Recommended","With which group of people do you feel you have the most in common? / ¿Con qué grupo de personas siente que tiene más en común?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc3","Integer","","Recommended","With which group of people do you feel most comfortable? / ¿Con qué grupo de personas se siente más cómodo(a)?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc4","Integer","","Recommended","In your opinion, which group of people best understands your ideas (your way of thinking)? / En su opinión, ¿qué grupo de personas entiende mejor sus ideas (su forma de pensar)?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc5","Integer","","Recommended","Which culture do you feel proud to be a part of? / ¿De cuál cultura se siente orgulloso(a) de ser miembro?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc6","Integer","","Recommended","In what culture do you know how things are done and feel that you can do them easily? / ¿En qué cultura sabe cómo se hacen las cosas y siente que puede hacerlas con facilidad?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc7","Integer","","Recommended","In what culture do you feel confident you know how to act? / ¿En qué cultura se siente seguro(a) de que sabe cómo comportarse?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc8","Integer","","Recommended","In your opinion, which group of people do you understand best? / En su opinión, ¿a qué grupo de personas entiende usted mejor?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc9","Integer","","Recommended","In what culture do you know what is expected of a person in various situations? / ¿En qué cultura sabe lo que espera de una persona en varias situaciones?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
"psy_acc10","Integer","","Recommended","Which culture do you know the most about (for example: its history, traditions, and customs)? / ¿De qué cultura conoce más (por ejemplo: su historia, sus tradiciones, y sus costumbres)?","1::9","1=Only with Hispanics/Latinos [Sólo con Hispanos/Latinos]; 5=Equally with Hispanics/Latinos and Anglos (Americans) [Con Hispanos/Latinos y Anglos (Americanos) ambos por igual]; 9=Only with Anglos (Americans) [Sólo con Anglos (Americanos)]",""
