"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"assessment_time","Integer","","Recommended","When was this data collected within the study?","0::4","0= Intake; 1=MRI #1; 2=Neurostimulation/Intervention; 3= One week follow-up; 4 = One month follow-up",""
"data_file1","File","255","Recommended","Data file 1","","",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
"data_file2","File","255","Recommended","data file 2","","",""
"data_file2_type","String","100","Recommended","data file 2 type/description","","",""
"data_file2_description","String","1000","Recommended","Description of what is in the file, e.g. markers for psychophysiological data file 1, etc.","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"experiment_description","String","4000","Recommended","Description of experiment/sequence/event","","",""
"hr_mav","Float","","Recommended","Mean absolute value of heartrate for event window","","",""
"hr_median","Float","","Recommended","Median heartrate for event window","","",""
"hr_p25","Float","","Recommended","25th percentile of heartrate for event window","","",""
"hr_p75","Float","","Recommended","75th percentile of heartrate for event window","","",""
"eda_mean","Float","","Recommended","Mean electrodermal activity for event window","","",""
"eda_minimum","Float","","Recommended","Minimum electrodermal activity for event window","","",""
"eda_maximum","Float","","Recommended","Maximum electrodermal activity for event window","","",""
"eda_stdev","Float","","Recommended","Standard deviation of electrodermal activity for event window","","",""
"eda_rms","Float","","Recommended","Root mean square of electrodermal activity for event window","","",""
"eda_mad","Float","","Recommended","Mean absolute deviation of electrodermal activity for event window","","",""
"eda_mav","Float","","Recommended","Mean absolute value of electrodermal activity for event window","","",""
"eda_median","Float","","Recommended","Median electrodermal activity for event window","","",""
"eda_p25","Float","","Recommended","25th percentile of electrodermal activity for event window","","",""
"eda_p75","Float","","Recommended","75th percentile of electrodermal activity for event window","","",""
"temp_mean","Float","","Recommended","Mean temperature for event window","","",""
"temp_minimum","Float","","Recommended","Minimum temperature for event window","","",""
"temp_maximum","Float","","Recommended","Maximum temperature for event window","","",""
"temp_stdev","Float","","Recommended","Standard deviation of temperature for event window","","",""
"temp_rms","Float","","Recommended","Root mean square of temperature for event window","","",""
"temp_mad","Float","","Recommended","Mean absolute deviation of temperature for event window","","",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"temp_mav","Float","","Recommended","Mean absolute value of temperature for event window","","",""
"temp_median","Float","","Recommended","Median temperature for event window","","",""
"temp_p25","Float","","Recommended","25th percentile of temperature for event window","","",""
"temp_p75","Float","","Recommended","75th percentile of temperature for event window","","",""
"window_type","String","50","Recommended","Type of event summarized","","",""
"hr_mean","Float","","Recommended","Mean heartrate for event window","","",""
"hr_minimum","Float","","Recommended","Minimum heartrate for event window","","",""
"hr_maximum","Float","","Recommended","Maximum heartrate for event window","","",""
"hr_stdev","Float","","Recommended","Standard deviation of heartrate for event window","","",""
"hr_rms","Float","","Recommended","Root mean square of heartrate for event window","","",""
"hr_mad","Float","","Recommended","Mean absolute deviation of heartrate for event window","","",""
"days_since_admit","Integer","","Recommended","Days since admission","","",""
"event_window_time_start","String","50","Recommended","Start time of event window","","",""
"event_window_time_end","String","50","Recommended","End time of event window","","",""
"event_window_duration_mins","Float","","Recommended","Duration of event window in minutes","","",""
"alltrials200_1","Integer","","Recommended","Trial number","","",""
"conditiontrial","Integer","","Recommended","Trial number within condition","","",""
"condition_stimulus","String","50","Recommended","Stimulus condition","","",""
"ant_ibi","Float","","Recommended","Interbeat interval during anticipation of stimulus","","",""
"stim_ibi","Float","","Recommended","Interbeat interval during stimulus presentation","","",""
