"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"ptq_1","Integer","","Recommended","The same thoughts keep going through my mind again and again.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq1,ptqc_1"
"ptq_2","Integer","","Recommended","Thoughts intrude into my mind./My thoughts come on and I can't do anything about it.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq2,ptqc_2"
"ptq_3","Integer","","Recommended","I can't stop dwelling on them./I can’t stop thinking about it.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq3,ptqc_3"
"ptq_4","Integer","","Recommended","I think about many problems without solving any of them.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq4,ptqc_4"
"ptq_5","Integer","","Recommended","I can't do anything else while thinking about my problems.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq5,ptqc_5"
"ptq_6","Integer","","Recommended","My thoughts repeat themselves./The same thoughts return to my mind","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq6,ptqc_6"
"ptq_7","Integer","","Recommended","Thoughts come to my mind without me wanting them to.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq7,ptqc_7"
"ptq_8","Integer","","Recommended","I get stuck on certain issues and can't move on./When I am thinking about certain things, I get stuck and find it difficult to stop these thoughts","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq8,ptqc_8"
"ptq_9","Integer","","Recommended","I keep asking myself questions without finding an answer.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq9,ptqc_9"
"ptq_10","Integer","","Recommended","My thoughts prevent me from focusing on other things.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq10,ptqc_10"
"ptq_11","Integer","","Recommended","I keep thinking about the same issue all the time.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq11,ptqc_11"
"ptq_12","Integer","","Recommended","Thoughts just pop into my mind.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq12,ptqc_12"
"ptq_13","Integer","","Recommended","I feel driven to continue dwelling on the same issue./I feel as if I must keep thinking about the same things.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq13,ptqc_13"
"ptq_14","Integer","","Recommended","My thoughts are not much help to me.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq14,ptqc_14"
"ptq_15","Integer","","Recommended","My thoughts take up all my attention.","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Almost always","ptq15,ptqc_15"
"ptq_rep","Integer","","Recommended","PTQ Repetitive","","","ptqc_rep"
"ptq_int","Integer","","Recommended","PTQ Intrusive","","","ptqc_int"
"ptq_dis","Integer","","Recommended","PTQ Difficult to Disengage From","","","ptqc_dis"
"ptq_unp","Integer","","Recommended","PTQ Unproductiveness of Repetitive Negative Thinking","","","ptqc_unp"
"ptq_cap","Integer","","Recommended","PTQ Mental Capacity captured by Repetitive Negative Thinking","","","ptqc_cap"
"ptq_core_rnt","Integer","","Recommended","PTQ: Core Features of Repetitive Negative Thinking","","","ptqc_core_rnt"
"ptq_total","Integer","","Recommended","PTQ: Total","","","ptqc_total"
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
