"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Recommended","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Recommended","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Recommended","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pva_1","Integer","","Recommended","I don't have the knowledge to take a leadership role when it comes to achieving a total victory over anorexia","1::5","5 = Strongly disagree; 4 = Disagree; 3 = Neither agree nor disagree; 2 = Agree; 1 = Strongly agree",""
"pva_2","Integer","","Recommended","Parents cannot be seen as the solution in the treatment of anorexia until ways in which they have caused it have been properly explored","1::5","5 = Strongly disagree; 4 = Disagree; 3 = Neither agree nor disagree; 2 = Agree; 1 = Strongly agree",""
"pva_3","Integer","","Recommended","I feel equipped with specific practical strategies for the task of bring about the complete recovery of my child in the home setting","1::5","1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree",""
"pva_4","Integer","","Recommended","It is not always advisable to get tough with a child with anorexia because he/she will experience too much trauma and distress","1::5","5 = Strongly disagree; 4 = Disagree; 3 = Neither agree nor disagree; 2 = Agree; 1 = Strongly agree",""
"pva_5","Integer","","Recommended","My own parental instincts are a more reliable guide for the task of achieving the recovery of my child from anorexia than any expert advice I might receive from professionals","1::5","1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree",""
"pva_6","Integer","","Recommended","While parents are important, children with anorexia will never get better until they receive some sort of individual therapy themselves","1::5","5 = Strongly disagree; 4 = Disagree; 3 = Neither agree nor disagree; 2 = Agree; 1 = Strongly agree",""
"pva_7","Integer","","Recommended","It is more my responsibility than my child's to bring him/her to a healthy weight","1::5","1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree",""
"pva_score","Integer","","Recommended","PVA Score","7::35","Sum the responses to each item. A higher score indicates greater parent self-efficacy",""
"time__point01","Integer","","Recommended","Timepoint","1::6","1 = Screening; 2 = Baseline; 3 = Mid-way; 4 = One Month; 5 = Three Months; 6 = Final",""
