"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"pvss21_1","Integer","","Recommended","Over the last two weeks, I savored my first bite of food after feeling hungry.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_2","Integer","","Recommended","Over the last two weeks, I put energy into activities I enjoy.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_3","Integer","","Recommended","Over the last two weeks, I was delighted to catch a breath of fresh air outdoors.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_4","Integer","","Recommended","Over the last two weeks, I wanted to spend time with people I know.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_5","Integer","","Recommended","Over the last two weeks, a fun activity during the weekend sustained my good mood throughout the new week.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_6","Integer","","Recommended","Over the last two weeks, it felt good to have physical contact with someone I felt close to.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_7","Integer","","Recommended","Over the last two weeks, I expected to enjoy a brief moment outdoors.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_8","Integer","","Recommended","Over the last two weeks, I looked forward to hearing feedback on my work.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_9","Integer","","Recommended","Over the last two weeks, I expected to enjoy my meals.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_10","Integer","","Recommended","Over the last two weeks, receiving praise about my work made me feel pleased for the rest of the day.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_11","Integer","","Recommended","Over the last two weeks, I looked forward to spending time with others.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_12","Integer","","Recommended","Over the last two weeks, I wanted to accomplish goals I set for myself.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_13","Integer","","Recommended","Over the last two weeks, I expected to enjoy being hugged by someone I love.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_14","Integer","","Recommended","Over the last two weeks, I wanted to participate in a fun activity with friends.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_15","Integer","","Recommended","Over the last two weeks, I worked hard to earn positive feedback on my projects.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_16","Integer","","Recommended","Over the last two weeks, I looked forward to an upcoming meal.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_17","Integer","","Recommended","Over the last two weeks, I felt pleased when I reached a goal I set for myself.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_18","Integer","","Recommended","Over the last two weeks, getting a hug from someone close to me made me happy even after we parted.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_19","Integer","","Recommended","Over the last two weeks, I expected to master the tasks I undertook.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_20","Integer","","Recommended","Over the last two weeks, I actively pursued activities I thought would be fun.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss21_21","Integer","","Recommended","Over the last two weeks, I went out of my way to admire the beauty around me.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_1","Integer","","Recommended","Over the last two weeks, I was excited to discover that someone I met shared my interests.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_2","Integer","","Recommended","Over the last two weeks, I really looked forward to watching a movie I heard might be good.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_3","Integer","","Recommended","Over the last two weeks, my excitement about buying myself something new lasted into the next day.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_4","Integer","","Recommended","Over the last two weeks, I cooked or went out for a special meal even though it took considerable time or effort.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_5","Integer","","Recommended","Over the last two weeks, I had the desire to feel part of a group or community.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_6","Integer","","Recommended","Over the last two weeks, I looked forward to hugging someone I felt close to.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_7","Integer","","Recommended","Over the last two weeks, I craved a delicious food.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_8","Integer","","Recommended","Over the last two weeks, I wanted to spend time doing productive activities.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_9","Integer","","Recommended","Over the last two weeks, I worked hard to earn praise from someone I respected, even though it required a lot more of my time.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_10","Integer","","Recommended","Over the last two weeks, laughing with friends lifted my spirits.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_12","Integer","","Recommended","Over the last two weeks, I invested time in friendships.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
"pvss45_14","Integer","","Recommended","Over the last two weeks, I made time to pursue my hobbies even when it was inconvenient.","1::9;-99","1=Extremely untrue of me; 2=Very untrue of me; 3=Moderately untrue of me; 4=Slightly untrue of me; 5=Neutral; 6=Slightly true of me; 7=Moderately true of me; 8=Very true of me; 9=Extremely true of me; -99=Missing",""
