"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"quest_instruct","String","4000","Recommended","Questionnaire Instructions","","Questionnaire Instructions","instructions"
"pwb_1","Integer","","Recommended","Most people see me as loving and affectionate.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbpr_001t,perswell_4,pwb42_q01"
"pwb_2","Integer","","Recommended","Sometimes I change the way I act or think to be more like those around me.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbau_002t"
"pwb_3","Integer","","Recommended","In general, I feel I am in charge of the situation in which I live.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbem_003t,perswell_2,pwb42_q02"
"pwb_4","Integer","","Recommended","I am not interested in activities that will expand my horizons.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbpg_004t,perswell_3,pwb42_q03"
"pwb_5","Integer","","Recommended","I feel good when I think of what I've done in the past and what I hope to do in the future.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbpl_005t"
"pwb_6","Integer","","Recommended","When I look at the story of my life, I am pleased with how things have turned out.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbsa_006t,perswell_6,pwb42_q04"
"pwb_7","Integer","","Recommended","Maintaining close relationships has been difficult and frustrating for me.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbpr_007t,perswell_10,pwb42_q05"
"pwb_8","Integer","","Recommended","I am not afraid to voice my opinions, even when they are in opposition to the opinions of most people.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbau_008t,perswell_1,pwb42_q06"
"pwb_9","Integer","","Recommended","The demands of everyday life often get me down.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbem_009t,perswell_8,pwb42_q07"
"pwb_10","Integer","","Recommended","In general, I feel that I continue to learn more about myself as time goes by.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbpg_010t,pwb42_q08"
"pwb_11","Integer","","Recommended","I live life one day at a time and don't really think about the future.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbpl_011t,perswell_5,pwb42_q08"
"pwb_12","Integer","","Recommended","In general, I feel confident and positive about myself.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbsa_012t,perswell_12,pwb42_q09"
"pwb_13","Integer","","Recommended","I often feel lonely because I have few close friends with whom to share my concerns.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbpr_013t,perswell_16,pwb42_q10"
"pwb_14","Integer","","Recommended","My decisions are not usually influenced by what everyone else is doing.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbau_014t,perswell_7,pwb42_q11"
"pwb_15","Integer","","Recommended","I do not fit in very well with the people and the community around me.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbem_015t,perswell_14,pwb42_q12"
"pwb_16","Integer","","Recommended","I am the kind of person who likes to give new things a try.","1::6;7;9999","1 = Strongly Disagree, 2 = Disagree Somewhat, 3 = Disagree Slightly, 4 = Agree Slightly, 5 = Agree Somewhat, 6 = Strongly Agree, 7 = Uncertain, 9999 = NA/missing","pbpg_016t"
"pwb_17","Integer","","Recommended","I tend to focus on the present, because the future nearly always brings me problems.","1::6;7;9999","7 = Uncertain, 6 = Strongly Disagree, 5 = Disagree Somewhat, 4 = Disagree Slightly, 3 = Agree Slightly, 2= Agree Somewhat, 1 = Strongly Agree, 9999 = NA/missing","pbpl_017t"
