"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","pp_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_a"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex_a"
"version_form","String","121","Required","Form used/assessment name","","",""
"respond","Integer","","Recommended","Respondent","1::7;999","1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available",""
"respond_detail","Integer","","Recommended","Respondent detail","1::8;999","1 = Mother; 2 = Father; 3 = Other relative or custodial adult; 4 = Teacher or caregiver; 5 = Other specialist; 6 = Other; 7 = Child; 8= Spouse; 999 = Not available",""
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"qdqpc_1","Integer","","Recommended","P: Even if my child has to wait a long time for something, he/she won't give up if it is important to him/her, S:  Even if I have to wait a long time for something I won't give up if it is important to me","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_1,qdq_adu_1"
"qdqpc_2","Integer","","Recommended","P: My child is usually calm when he/she has to wait in lines., S:  I am usually calm when I have to wait in lines.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_2,qdq_adu_2"
"qdqpc_3","Integer","","Recommended","P: My child will often choose a task because it is beneficial in the long term even if it doesn't offer immediate reward., S:  I will often choose a task because it is beneficial in the long term even if it doesn't offer immediate reward.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_3,qdq_adu_3"
"qdqpc_4","Integer","","Recommended","P: My child feels relaxed when waiting for things., S:  I feel relaxed when waiting for things.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_4,qdq_adu_4"
"qdqpc_5","Integer","","Recommended","P: My child often gives up on things that he/she cannot have immediately., S:  I often give up on things that I cannot have immediately.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_5,qdq_adu_5"
"qdqpc_6","Integer","","Recommended","P: My child hates waiting for things., S:  I hate waiting for things.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_6,qdq_adu_6"
"qdqpc_7","Integer","","Recommended","P: My child tries to avoid tasks that will only benefit him/her in the long term and don't have any immediate benefits., S:  I try to avoid tasks that will only benefit me in the long term and don't have any immediate benefits.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_7,qdq_adu_7"
"qdqpc_8","Integer","","Recommended","P: My child feels frustrated when he/she has to wait for someone else to be ready before he/she can do something., S:  I feel frustrated when I have to wait for someone else to be ready before I can do something.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_8,qdq_adu_8"
"qdqpc_9","Integer","","Recommended","P: Having to wait for things makes my child feel stressed and tense., S:  Having to wait for things makes me feel stressed and tense.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_9,qdq_adu_9"
"qdqpc_10","Integer","","Recommended","P: The future is not important to my child; he/she only considers the immediate consequences of his/her actions., S:  The future is not important to me, I only consider the immediate consequences of my actions.","1::5","1 = Very Like Person Asked About; 2 = Somewhat Like Person Asked About; 3 = Neutral; 4 = Not Much Like Person Asked About; 5 = Not Like Person Asked About At All","qdq_ado_10,qdq_adu_10"
"aescode","Integer","","Recommended","Staff code number of person completing this form","","999= Missing Data","pi_staff"
"visit","String","60","Recommended","Visit name","","",""
