"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"qdrs_1","Float","","Recommended","Memory and recall","0::3","0 = No obvious memory loss or inconsistent forgetfulness that does not interfere with function in everyday activities; 0.5 = Consistent mild forgetfulness or partial recollection of events that may interfere with performing everyday activities; repeats questions/statements, misplaces items, forgets appointments; 1 = Mild to moderate memory loss; more noticeable for recent events; interferes with performing everyday activities ; 2 = Moderate to severe memory loss; only highly learned information remembered; new information rapidly forgotten; 3 = Severe memory loss, almost impossible to recall new information; long= term memory may be affected",""
"qdrs_2","Float","","Recommended","Orientation","0::3","0 =  Fully oriented to person, place, and time nearly all the time; 0.5 =  Slight difficulty in keeping track of time; may forget day or date more frequently than in the past ; 1 =  Mild to moderate difficulty in keeping track of time and sequence of events; forgets month or year; oriented to familiar places but gets confused outside familiar areas; gets lost or wanders; 2 =  Moderate to severe difficulty, usually disoriented to time and place (familiar and unfamiliar); frequently dwells in past; 3  =  Only oriented to their name, although may recognize family members",""
"qdrs_3","Float","","Recommended","Decision making and problem solving abilities","0::3","0 =  Solves everyday problems without difficulty; handles personal business and financial matters well; decision= making abilities consistent with past performance; 0.5 =  Slight impairment or takes longer to solve problems; trouble with abstract concepts; decisions still sound; 1 =  Moderate difficulty with handling problems and making decisions; defers many decisions to others; social judgment and behavior may be slightly impaired; loss of insight; 2 =  Severely impaired in handling problems, making only simple personal decisions; social judgment and behavior often impaired; lacks insight; 3 =  Unable to make decisions or solve problems; others make nearly all decisions for patient",""
"qdrs_4","Float","","Recommended","Activities outside the home","0::3","0 =  Independent in function at the usual level of performance in profession, shopping, community and religious activities, volunteering, or social groups; 0.5 =  Slight impairment in these activities compared with previous performance; slight change in driving skills; still able to handle emergency situations; 1 =  Unable to function independently but still may attend and be engaged; appears ""normal"" to others; notable changes in driving skills; concern about ability to handle emergency situations; 2 =  No pretense of independent function outside the home; appears well enough to be taken to activities outside the family home but generally needs to be accompanied; 3 =  No independent function or activities; appear too ill to be taken to activities outside the home",""
"qdrs_5","Float","","Recommended","Function at home and hobby activities","0::3","0 =  Chores at home, hobbies and personal interests are well maintained compared to past performance 0.5 =  Slight impairment or less interest in these activities; trouble operating appliances (particularly new purchases); 1 =  Mild but definite impairment in home and hobby function; more difficult chores or tasks abandoned; more complicated hobbies and interests given up; 2 =  Only simple chores preserved, very restricted interest in hobbies which are poorly maintained; 3 =  No meaningful function in household chores or with prior hobbies",""
"qdrs_6","Float","","Recommended","Toileting and personal hygiene","0::3","0 =  Fully capable of self= care (dressing, grooming, washing, bathing, toileting); 0.5 =  Slight changes in abilities and attention to these activities; 1 =  Needs prompting to complete these activities but may still complete independently; 2 =  Requires some assistance in dressing, hygiene, keeping of personal items; occasionally incontinent; 3 =  Requires significant help with personal care and hygiene; frequent incontinence",""
"qdrs_7","Float","","Recommended","Behavior and personality changes","0::3","0 =  Socially appropriate behavior in public and private; no changes in personality; 0.5 =  Questionable or very mild changes in behavior, personality, emotional control, appropriateness of choices; 1 =  Mild changes in behavior or personality; 2 =  Moderate behavior or personality changes, affects interactions with others; may be avoided by friends, neighbors, or distant relatives; 3 =  Severe behavior or personality changes; making interactions with others often unpleasant or avoided",""
"qdrs_8","Float","","Recommended","Language and communication abilities","0::3","0 =  No language difficulty or occasional word searching; reads and writes as well as in the past; 0.5 =  Consistent mild word finding difficulties, using descriptive terms or takes longer to get point across, mild problems with comprehension, decreased conversation; may affect reading and writing; 1 =  Moderate word finding difficulty in speech, cannot name objects, marked reduction in work production; reduced comprehension, conversation, writing, and/or reading; 2 =  Moderate to severe impairments in speech production or comprehension; has difficulty in communicating thoughts to others; limited ability to read or write; 3 =  Severe deficits in language and communication; little to no understandable speech is produced",""
"qdrs_9","Float","","Recommended","Mood","0::3","0 =  No changes in mood, interest, or motivation level; 0.5 =  Occasional sadness, depression, anxiety, nervousness, or loss of interest/motivation; 1 =  Daily mild issues with sadness, depression, anxiety, nervousness, or loss of interest/motivation; 2 =  Moderate issues with sadness, depression, anxiety, nervousness, or loss of interest/motivation; 3 =  Severe issues with sadness, depression, anxiety, nervousness, or loss of interest/motivation",""
"qdrs_10","Float","","Recommended","Attention and concentration","0::3","0 =  Normal attention, concentration, and interaction with his or her environment and surroundings; 0.5 =  Mild problems with attention, concentration, and interaction with environment and surroundings, may appear drowsy during day; 1 =  Moderate problems with attention and concentration, may have staring spells or spend time with eyes closed, increased daytime sleepiness; 2 =  Significant portion of the day is spend sleeping, not paying attention to environment, when having a conversation may say things that are illogical or not consistent with topic; 3 =  Limited to no ability to pay attention to external environment or surroundings",""
"qdrs_sum_cog","Float","","Recommended","Sum Cognitive = Cognitive subtotal","0::12","sum([qdrs_1],[qdrs_2],[qdrs_3],[qdrs_8])",""
"qdrs_sum_beh","Float","","Recommended","Sum Behavioral = Behavioral subtotal","0::18","sum([qdrs_4],[qdrs_5],[qdrs_6],[qdrs_7],[qdrs_9],[qdrs_10])",""
"qdrs_score","Float","","Recommended","Total QDRS Score","0::30","sum([qdrs_sum_cog],[qdrs_sum_beh])","qdrs_sum_tot_score"
