"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"qchat1","Integer","","Recommended","Does your child look at you when you call his/her name?","0 :: 4 ; -998 ; -999","0 = Always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat2","Integer","","Recommended","How easy is it for you to get eye contact with your child?","0 :: 4 ; -998 ; -999","0 = very easy; 1 = quite easy; 2 = quite difficult; 3 = very difficult; 4 = impossible; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat3","Integer","","Recommended","When your child is playing alone, does s/he line objects up?","0 :: 4 ; -998 ; -999","0 = always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat4","Integer","","Recommended","Can other people easily understand your child's speech?","0 :: 4 ; -998 ; -999","0 = always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never or ""my child does not speak""; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat5","Integer","","Recommended","Does your child point to indicate that s/he wants something (e.g. a toy that is out of reach)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat6","Integer","","Recommended","Does your child point to share interest with you (e.g. pointing at an interesting sight)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat7","Integer","","Recommended","How long can your child's interest be maintained by a spinning object (e.g. washing machine, electric fan, toy car wheels)?","0 :: 4 ; -998 ; -999","0 = several hours; 1 = half an hour; 2 = ten minutes; 3 = a couple of minutes; 4 = less than a minute; -998 = Refused to answer or said NA; -999 = Did not answer",""
"qchat8","Integer","","Recommended","How many words can your child say?","0 :: 4 ; -998 ; -999","0 = none - s/he has not started speaking yet; 1 = less than 10 words; 2 = 10 - 50 words; 3 = 51 - 100 words; 4 = over 100 words; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat9","Integer","","Recommended","Does your child pretend (e.g. care for dolls, talk on a toy phone)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat10","Integer","","Recommended","Does your child follow where you're looking?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat11","Integer","","Recommended","How often does your child sniff or lick unusual objects?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat12","Integer","","Recommended","Does your child place your hand on an object when s/he wants you to use (e.g. on a door handle when s/he wants you to open the door, on a toy when s/he wants you to activate it)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat13","Integer","","Recommended","Does your child walk on tiptoe?","0 :: 4 ; -998 ; -999","0 = Always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat14","Integer","","Recommended","How easy is it for your child to adapt when his/her routine changes or when things are out of their usual place?","0 :: 4 ; -998 ; -999","0 = very easy; 1 = quite easy; 2 = quite difficult; 3 = very difficult; 4 = impossible; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat15","Integer","","Recommended","If you or someone else in the family is visibly upset, does your child show signs of wanting to comfort them (e.g. stroking their hair, hugging them)?","0 :: 4 ; -998 ; -999","0 = Always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat16","Integer","","Recommended","Does your child do the same thing over and over again (e.g. running the tap, turning the light switch on and off, opening and closing doors)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat17","Integer","","Recommended","Would you describe your child's first words as:","0 :: 4 ; -998 ; -999","0 = very typical; 1 = quite typical; 2 = slightly unusual; 3 = very unusual; 4 = my child doesn't speak; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat18","Integer","","Recommended","Does your child echo things s/he hears (e.g. things that you say, lines from songs or movies, sounds)?","0 :: 4 ; -998 ; -999","0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat19","Integer","","Recommended","Does your child use simple gestures (e.g. wave goodbye)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat20","Integer","","Recommended","Does your child make unusual finger movements near his/her eyes?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat21","Integer","","Recommended","Does your child spontaneously look at your face to check your reaction when faced with something unfamiliar?","0 :: 4 ; -998 ; -999","0 = Always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat22","Integer","","Recommended","How long can your child's interest be maintained by just one or two objects?","0 :: 4 ; -998 ; -999","0 = most of the day; 1 = several hours; 2 = half an hour; 3 = ten minutes; 4 = a couple of minutes; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat23","Integer","","Recommended","Does your twiddle objects repetitively (e.g. pieces of string)?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat24","Integer","","Recommended","Does your child seem oversensitive to noise?","0 :: 4 ; -998 ; -999","0 = Always; 1 = usually; 2 = sometimes; 3 = rarely; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat25","Integer","","Recommended","Does your child stare at nothing with no apparent purpose?","0 :: 4 ; -998 ; -999","0 = many times a day; 1 = a few times a day; 2 = a few times a week; 3 = less than once a week; 4 = never; -998 = Refused to Answer or said NA; -999 = Did not answer",""
"qchat_total","Float","","Recommended","Total QCHAT Score","","",""
