"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","candidateguid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","ibisid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_taken"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","candidate_age_in_months"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"version_form","String","121","Recommended","Form used/assessment name","","",""
"trialtotaldur","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across all arrays (ms)","7 :: 40","",""
"trialtotaldur_lettnumb","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across letter/number runs = symbolic (ms)","7 :: 40","",""
"trialtotaldur_objcol","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across object/color runs = non-symbolic (ms)","7 :: 40","",""
"trialtotaldur_color","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across color runs (ms)","7 :: 40","",""
"trialtotaldur_digit","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across number runs (ms)","7 :: 40","",""
"trialtotaldur_letter","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across letter runs (ms)","7 :: 40","",""
"trialtotaldur_object","Float","","Recommended","Naming time was calculated as the time between the onset of the first articulation to the offset of the final (36th) item on each run, averaged across object runs (ms)","7 :: 40","",""
"trialtotalerrors","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","0 :: 10","",""
"trialtotalerrors_lettnumb","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","0 :: 10","",""
"trialtotalerrors_objcol","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","0 :: 10","",""
"trialtotalerrors_color","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs","0 :: 10","",""
"trialtotalerrors_digit","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs","0 :: 10","",""
"trialtotalerrors_letter","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs","0 :: 10","",""
"trialtotalerrors_object","Float","","Recommended","Total errors (including substitutions, omissions, repetitions) were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs","0 :: 10","",""
"eyevoicelead","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","0 :: 5","",""
"eyevoicelead_lettnumb","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","0 :: 5","",""
"eyevoicelead_objcol","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","0 :: 5","",""
"eyevoicelead_color","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across color runs","0 :: 5","",""
"eyevoicelead_digit","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across number runs","0 :: 5","",""
"eyevoicelead_letter","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across letter runs","0 :: 5","",""
"eyevoicelead_object","Float","","Recommended","Average  number of items ahead the eye gaze is compared to the voice at the onset of each vocal response were calculated between the onset of the third articulation to the offset of the 33rd item on each run,  averaged across object runs","0 :: 5","",""
"nfix","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","15 :: 55","",""
"nfix_lettnumb","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","15 :: 50","",""
"nfix_objcol","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","19 :: 55","",""
"nfix_color","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs","19 :: 55","",""
"nfix_digit","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs","15 :: 50","",""
"nfix_letter","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs","15 :: 50","",""
"nfix_object","Float","","Recommended","Total number of fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs","19 :: 55","",""
"nsumregria","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","0 :: 10","",""
"nsumregria_lettnumb","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","0 :: 10","",""
"nsumregria_objcol","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","0 :: 10","",""
"nsumregria_color","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs","0 :: 10","",""
"nsumregria_digit","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs","0 :: 10","",""
"nsumregria_letter","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs","0 :: 10","",""
"nsumregria_object","Float","","Recommended","Total number of regressive (backward) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs","0 :: 10","",""
"nsumsameia","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","0 :: 20","",""
"nsumsameia_lettnumb","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","0 :: 20","",""
"nsumsameia_objcol","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object/color runs = non-symbolic","0 :: 20","",""
"nsumsameia_color","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across color runs","0 :: 20","",""
"nsumsameia_digit","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across number runs","0 :: 20","",""
"nsumsameia_letter","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter runs","0 :: 20","",""
"nsumsameia_object","Float","","Recommended","Total number of perseverative (within the same Area of Interest) fixations between the onset of the third articulation to the offset of the 33rd item on each run, averaged across object runs","0 :: 20","",""
"nrefixationsia","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across all arrays","0 :: 50","",""
"nrefixationsia_lettnumb","Float","","Recommended","Total number of perseverative and regressive fixations summed between the onset of the third articulation to the offset of the 33rd item on each run, averaged across letter/number runs = symbolic","0 :: 50","",""
