"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rear_01","Integer","","Recommended","I trust my feelings that something is racial stereotyping or discrimination, even if I am not certain of the intent.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_02","Integer","","Recommended","I choose not to laugh at jokes that stereotype or racially discriminate.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_03","Integer","","Recommended","I believe that it is rewarding to stand up to racial discrimination, even though it is hard.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_04","Integer","","Recommended","I support and validate others when they experience racial stereotyping or discrimination.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_05","Integer","","Recommended","I create or lead activities or organizations that aim to reduce or resist racial discrimination.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_06","Integer","","Recommended","I publicly respond to others' online postings about racial discrimination.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_07","Integer","","Recommended","I educate myself about race and racial discrimination.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_08","Integer","","Recommended","I participate in activities or organizations that aim to reduce or resist racial discrimination for all people of color, not only my racial group.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_09","Integer","","Recommended","I organize petitions, letter writing, or phone drives that aim to reduce or resist racial discrimination.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
"rear_10","Integer","","Recommended","I remember instances of racial stereotyping or discrimination to have as examples of the existence of racism.","1::5","1 = Rarely; 2 = Occasionally; 3 = Sometimes; 4 = Usually; 5 = Almost always",""
