"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"rems_q01","Integer","","Recommended","I was ignored at school or at work because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q02","Integer","","Recommended","Someone''s body language showed they were scared of me because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q03","Integer","","Recommended","Someone assumed that I spoke a language other than English.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q04","Integer","","Recommended","I was told I should not complain about race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q05","Integer","","Recommended","Someone assumed that I grew up in a particular neighborhood because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q06","Integer","","Recommended","Someone avoided walking near me on the street because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q07","Integer","","Recommended","Someone told me that she or he was colorblind.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q08","Integer","","Recommended","Someone avoided sitting next to me in a public space (e.g. restaurants, movie theaters, subways, buses) because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q09","Integer","","Recommended","Someone assumed that I would not be intelligent because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q10","Integer","","Recommended","I was told that I complain about race too much.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q11","Integer","","Recommended","I received substandard service in stores compared to customers of other racial groups.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q12","Integer","","Recommended","I observed people of my race in prominent positions at my workplace or school.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q13","Integer","","Recommended","Someone wanted to date me only because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q14","Integer","","Recommended","I was told that people of all racial groups experience the same obstacles.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q15","Integer","","Recommended","My opinion was overlooked in a group discussion because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q16","Integer","","Recommended","Someone assumed that my work would be inferior to people of other racial groups.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q17","Integer","","Recommended","Someone acted surprised at my scholastic or professional success because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q18","Integer","","Recommended","I observed that people of my race were the CEOs of major corporations.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q19","Integer","","Recommended","I observed people of my race portrayed positively on television.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q20","Integer","","Recommended","Someone did not believe me when I told them I was born in the US.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q21","Integer","","Recommended","Someone assumed that I would not be educated because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q22","Integer","","Recommended","Someone told me that I was ''articulate'' after she/he assumed I would not be.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q23","Integer","","Recommended","Someone told me that all people in my racial group are all the same.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q24","Integer","","Recommended","I observed people of my race portrayed positively in magazines.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q25","Integer","","Recommended","An employer or co-worker was unfriendly or unwelcoming toward me because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q26","Integer","","Recommended","I was told that people of my color do not experience racism anymore.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q27","Integer","","Recommended","Someone told me that they ''do not see color.''","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q28","Integer","","Recommended","I read popular books or magazines in which a majority of contributions featured people from my racial group.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q29","Integer","","Recommended","Someone asked me to teach them words in my ''native language.''","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q30","Integer","","Recommended","Someone told me that they do not see race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q31","Integer","","Recommended","Someone clenched her/his purse or wallet upon seeing me because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q32","Integer","","Recommended","Someone assumed that I would have a lower education because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q33","Integer","","Recommended","Someone of a different racial group has stated that there is no difference between the two of us.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q34","Integer","","Recommended","Someone assumed that I would physically hurt them because of my race.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
"rems_q35","Integer","","Recommended","Someone assumed that I ate foods associated with my race/culture every day.","0::5","0=I did not experience this event; 1=I experienced this event 1 time in the past six months; 2=I experienced this event 2 times in the past six months; 3=I experienced this event 3 times in the past six months; 4=I experienced this event 4 times in the past six months; 5=I experienced this event 5 or more times in the past six months",""
