"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ress_01","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Food, housing, or other essential utilities","1::5;999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 999=Not Applicable",""
"ress_02","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Losing a job, decrease in family income, or becoming financially unstable","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_03","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Social isolation or loneliness","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_04","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Caring for family members (parents, children, etc)","1::5;999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 999=Not Applicable",""
"ress_05","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Physical or mental health","1::5;999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 999=Not Applicable",""
"ress_06","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Increased conflict with people I live with","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_07","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Inability to go to school or to continue other meaningful commitments","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"comment_misc","String","250","Recommended","Miscellaneous Comments","","",""
"ress_new_09","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Reminders of past stressful/traumatic events","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_11","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Limited access to medical care or medications for myself or a family member","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_12","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Unreliable or inconsistent access to the internet or technological devices","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_14","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Remaining physically active","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ress_new_01","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Food running out or being unavailable","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_03","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Housing or utilities","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_04","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Loss of or limited childcare","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_05","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Taking care of children, including those who are normally in school","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_07","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Physical health concerns for me or a family member","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
"ress_new_08","Integer","","Recommended","Recent societal events that have taken place are causing extra stress for many people. We would like to know how things are going for you and your family related to this situation. Please answer the following questions about your experiences and feelings over the last TWO WEEKS: Increased anxiety, depression or other mental health symptoms","1::5;997::999","1=Strongly Disagree; 2=Somewhat Disagree; 3=Neither Agree nor Disagree; 4=Somewhat Agree; 5=Strongly Agree; 997=Missing; 998=Not collected at this time point; 999=Not Applicable",""
