"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_months"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments","String","4000","Recommended","Comments about assessment","","",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"visit","String","60","Recommended","Visit name","","","assessment_number"
"reyo_copy_1","Float","","Recommended","Copy: Cross upper left corner, outside of rectangle","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_1,rcfte_copy_1"
"reyo_copy_2","Float","","Recommended","Copy: Large rectangle","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_2,rcfte_copy_2"
"reyo_copy_3","Float","","Recommended","Copy: Diagonal cross","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_3,rcfte_copy_3"
"reyo_copy_4","Float","","Recommended","Copy: Horizontal midline of (2)","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_4,rcfte_copy_4"
"reyo_copy_5","Float","","Recommended","Copy: Vertical midline","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_5,rcfte_copy_5"
"reyo_copy_6","Float","","Recommended","Copy: Small rectangle, within (2) to the left","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_6,rcfte_copy_6"
"reyo_copy_7","Float","","Recommended","Copy: Small segment above (6)","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_7,rcfte_copy_7"
"reyo_copy_8","Float","","Recommended","Copy: Four parallel lines within (2), upper left","0;.5;1;2","0=Absent or not recognizable; .5=Distorted or incompleted but recognizable and placed poorly; 1=Distorted or incomplete but recognizable and placed properly OR Correct and placed poorly; 2= Correct and placed properly","rcft_copy_8,rcfte_copy_8"
