"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"samplebarcode_rna","String","12","Recommended","Sequencing reference used to identify the origin of an RNA molecule","","12 base pairs",""
"visit_cannabis","Integer","","Recommended","Visit Name- A or B?","1;2","1= Visit A - Participants were asked to abstain from cannabis use for two weeks prior to sample collection; 2= Visit B - Participants were asked to use cannabis at their normal frequency",""
"education_level","Integer","","Recommended","Highest level of education completed for adult subject","1::6; 9","1 = Grades 1 to 11; 2 = High school graduate or GED; 3 = Associate or technical degree; 4 = Bachelor's degree; 5 = Master's degree; 6 = Doctorate or equivalent professional degree; 9 = Unknown",""
"svrelstatus","Integer","","Recommended","What best describes your current romantic relationship status?","2::5;888","2=In a committed relationship; 3=Married; 4=In a domestic partnership or civil union; 5=Other; 888=Choose not to respond; If  Married ,  In a domestic partnership or civil union , progress to svmarriage; If  In a committed relationship  or  other , progress to svrel; If Choose not to respond, progress to svrel",""
"svsemploy_current","Integer","","Recommended","What is YOUR current employment status?","1::5","1 = Full-time (more than 30 hours/week); 2 = Part-time (Less than 30 hours/week); 3 = Unemployed/Disabled/Retired/Other; 4 = Full-time student; 5 = Homemaker/Full-time parent",""
"ann_self_rep_inc","Integer","","Recommended","Self-reported annual income","1::7","1 = $0-9,999/year; 2 = $10,000-19,999/year; 3 = $20,000-29,999/year; 4 = $30,000-39,999/year; 5 = $40,000-49,999/year; 6 = $50,000-59,999/year; 7 = Greater than $60,000/year",""
"a18c_1_binary","Integer","","Recommended","Binary self-reported annual income","1;2","1 = Less than $50,000/year; 2 = More than $50,000/year",""
"demo_mgba17","Integer","","Recommended","How do you define your ethnicity?","1::4","1= Hispanic or Latin/a/o/x/e; 2= Not Hispanic or Latin/a/o/x/e; 3= Another; 4= Do not wish to respond",""
"race","String","100","Recommended","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","",""
"percent_cannabis_days","Integer","","Recommended","Percentage of days cannabis used","0::100","",""
"sum_tot_ncan_flw_g","Float","","Recommended","Total grams of non-study cannabis flower used","","1 unit = 1 gram",""
"dd_percent_alc_days","String","4","Recommended","Percentage of days used alcohol","","Percentage of alcohol use days (0-100%) self-reported via daily diary prior to sample collection; (Number of alcohol use days/Number of daily diaries completed)",""
"sum_avg_alc_all_dripd","Float","","Recommended","Avg drinks per day of any alcohol used","","Units/day",""
"dd_exercisedailyavg","Float","","Recommended","Average minutes exercised","","Average minutes of aerobic and anaerobic exercise per day self-reported via daily diary 14 days prior to sample collection",""
"fruits_veggies_ffq","Float","","Recommended","Total fruits and vegetables consumed","","Total self-reported number of servings of fruits and vegetables per week via the food frequency scale",""
"meat_ffq","Float","","Recommended","Total meat consumed","","Total self-reported number of servings of meat per week via the food frequency scale",""
"data_file1","File","255","Recommended","Data file 1","","Path to data file, e.g., Users/username/Documents/subjectABC_file1.csv",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
