"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rspan_t01e","Float","","Recommended","RSPAN E Trial 1: Chalk, After, Feet","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t02e","Float","","Recommended","RSPAN E Trial 2: Balloon, Three, Noon, Pitch","0;0.25;0.50;0.75;1.00","0.25 = One word correctly recalled in presented order; 0.50 = Two words correctly recalled in presented order; 0.75 = Three words correctly recalled in presented order; 1.00 = Four words correctly recalled in presented order",""
"rspan_t03e","Float","","Recommended","RSPAN E Trial 3: Apple, Penny, Handle, Line, Cabin, Juice, Toast","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
"rspan_t04e","Float","","Recommended","RSPAN E Trial 4: Last, Pan, Bench, Front, Right, Door","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t05e","Float","","Recommended","RSPAN E Trial 5: Camel, Tea, Drum, Fan","0;0.25;0.50;0.75;1.00","0.25 = One word correctly recalled in presented order; 0.50 = Two words correctly recalled in presented order; 0.75 = Three words correctly recalled in presented order; 1.00 = Four words correctly recalled in presented order",""
"rspan_t06e","Float","","Recommended","RSPAN E Trial 6: Boot, Earth, Hour, Sleeve, Pen","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t07e","Float","","Recommended","RSPAN E Trial 7: Record, Bread, Calf, First, Seat, Bean, Guide","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
"rspan_t08e","Float","","Recommended","RSPAN E Trial 8: State, World, Today","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t09e","Float","","Recommended","RSPAN E Trial 9: Small, Cotton, Part, Stream, Card, Shape","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t10e","Float","","Recommended","RSPAN E Trial 10: Hat, Tower, Fence, Minute, Tale","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t11e","Float","","Recommended","RSPAN E Trial 11: Street, Case, River, Mill, Plate, Hand","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t12e","Float","","Recommended","RSPAN E Trial 12: Brown, Face, Ribbon","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t13e","Float","","Recommended","RSPAN E Trial 13: Build, Flavor, Brass, Bowl, Spin","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t14e","Float","","Recommended","RSPAN E Trial 14: Fold, Shoe, Free, Color, Stamp, Foil, Print","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
"rspan_t15e","Float","","Recommended","RSPAN E Trial 15: Picture, Tube, Clock, Wall","0;0.25;0.50;0.75;1.00","0.25 = One word correctly recalled in presented order; 0.50 = Two words correctly recalled in presented order; 0.75 = Three words correctly recalled in presented order; 1.00 = Four words correctly recalled in presented order",""
"rspan_totale","Float","","Recommended","RSPAN E: Average Trial Score","0::1","Average of RSPAN E Trial 1 through 15",""
"rspan_correcte","Integer","","Recommended","RSPAN E: Sum of Correctly Identified Prompts","0::75","Number of sentences correctly identified as logical/illogical for RSPAN E",""
"rspan_precent_correcte","String","10","Recommended","RSPAN E: Percentage of Correctly Identified Prompts","0;1","Percentage of sentences correctly identified as logical/illogical out of Seventy-Five prompts for RSPAN E",""
"rspan_t01n","Float","","Recommended","RSPAN N Trial 1: Drive, Crop, Tin","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t02n","Float","","Recommended","RSPAN N Trial 2: Seed, Name, Pillow, Candle","0;0.25;0.50;0.75;1.00","0.25 = One word correctly recalled in presented order; 0.50 = Two words correctly recalled in presented order; 0.75 = Three words correctly recalled in presented order; 1.00 = Four words correctly recalled in presented order",""
"rspan_t03n","Float","","Recommended","RSPAN N Trial 3: Phone, Floor, Degree, Eye, Glove, Wax, Light","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
"rspan_t04n","Float","","Recommended","RSPAN N Trial 4: System, Grass, Moss, Bird, Arm, Crate","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t05n","Float","","Recommended","RSPAN N Trial 5: Pipe, Cheese, City, Parrot","0;0.25;0.50;0.75;1.00","0.25 = One word correctly recalled in presented order; 0.50 = Two words correctly recalled in presented order; 0.75 = Three words correctly recalled in presented order; 1.00 = Four words correctly recalled in presented order",""
"rspan_t06n","Float","","Recommended","RSPAN N Trial 6: Field, Land, Bank, Staff, Lane","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t07n","Float","","Recommended","RSPAN N Trial 7: Metal, Heel, Doll, Mind, Point, Bean, Fact","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
"rspan_t08n","Float","","Recommended","RSPAN N Trial 8: Water, Edge, Brain","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t09n","Float","","Recommended","RSPAN N Trial 9: Area, Past, Under, Angle, Peach, Hint","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t10n","Float","","Recommended","RSPAN N Trial 10: Cherry, Left, Stairs, House, Fork","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t11n","Float","","Recommended","RSPAN N Trial 11: Yellow, Bottom, Time, Change, Pants, Tray","0;0.17;0.33;0.50;0.67;0.83;1.00","0.17 = One word correctly recalled in presented order; 0.33 = Two words correctly recalled in presented order; 0.50 = Three words correctly recalled in presented order; 0.67 = Four words correctly recalled in presented order; 0.83 = Five words correctly recalled in presented order; 1.00 = Six words correctly recalled in presented order",""
"rspan_t12n","Float","","Recommended","RSPAN N Trial 12: Ice, Coach, Planet","0;0.33;0.67;1","0.33 = One word correctly recalled in presented order; 0.67 = Two words correctly recalled in presented order; 1.00 = Three words correctly recalled in presented order",""
"rspan_t13n","Float","","Recommended","RSPAN N Trial 13: Ear, Above, Purse, Dozen, Knot","0;0.2;0.40;0.60;0.80;1.00","0.2 = One word correctly recalled in presented order; 0.40 = Two words correctly recalled in presented order; 0.60 = Three words correctly recalled in presented order; 0.80 = Four words correctly recalled in presented order; 1.00 = Five words correctly recalled in presented order",""
"rspan_t14n","Float","","Recommended","RSPAN N Trial 14: Spray, Clip, Spice, Yarn, Pink, Lime, Wheel","0;0.14;0.29;0.43;0.57;0.71;0.86;1.00","0.14 = One word correctly recalled in presented order; 0.29 = Two words correctly recalled in presented order; 0.43 = Three words correctly recalled in presented order; 0.57 = Four words correctly recalled in presented order; 0.71 = Five words correctly recalled in presented order; 0.86 = Six words correctly recalled in presented order; 1.00 = Seven words correctly recalled in presented order",""
