"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"same_rev01","Integer","","Recommended","Has the subject had a change in their medication since their last visit?","1;2","1= Yes; 2= No; If Yes, document changes on the Concomitant Medication CRF",""
"same_rev02","Integer","","Recommended","Drug Compliance: Total pills given on Day 0:","","",""
"same_rev03","Integer","","Recommended","Drug Compliance: Number of days taking pills:","","",""
"same_rev04","Integer","","Recommended","Drug Compliance: Number of days not taking pills:","","",""
"same_rev05","Integer","","Recommended","Drug Compliance: Total pills left:","","",""
"same_rev06","String","500","Recommended","Adverse Event (description)","","",""
"same_rev07","Date","","Recommended","Event Period: Start to End or Cont.","","(MM/DD/YYYY)",""
"same_rev08","Integer","","Recommended","Grade of Adverse Event","1 :: 3","1=Mild; 2=Moderate; 3=Severe",""
"same_rev09","Integer","","Recommended","Relation (to study drug/procedure)","1 :: 5","1=Not related; 2=Unlikely; 3=Possibly; 4=Probably; 5=Definitely",""
"same_rev10","Integer","","Recommended","Action Taken (with study drug/procedure)","1 :: 4","1=None; 2=Treatment/Procedure stopped/suspended; 3=Treatment/Procedure suspended and restarted; 4=Dose adjusted",""
"same_rev11","Integer","","Recommended","Treatment Required: Drug Therapy","1;2","1=Yes; 2= No",""
"same_rev12","Integer","","Recommended","Treatment Required: Non Drug Therapy","1;2","1=Yes; 2= No",""
"same_rev13","Integer","","Recommended","Treatment Required: Hospitalization","1;2","1=Yes; 2= No",""
"same_rev14","Integer","","Recommended","Outcome","1 :: 7","1=Recovered with sequelae; 2=Recovered without sequelae; 3=Condition continuing; 4=Death due to other event; 5=Death due to this event; 6=Unknown/lost to follow up; 7=Still under treatment/observation",""
"same_rev15","Integer","","Recommended","Serious Adverse Event (AE)","1;2","1=Yes; 2= No",""
