"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"sashy_1","Integer","","Recommended","What languages do you read and speak?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English","sash01"
"sashy_2","Integer","","Recommended","What languages do your parents speak to you in?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English",""
"sashy_3","Integer","","Recommended","What langauges do you usually speak at home?","1::6","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English; 6=Language other than English or Spanish","sash03"
"sashy_4","Integer","","Recommended","In which languages do you usually think?","1::6","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English; 6=Language other than English or Spanish","sash04"
"sashy_5","Integer","","Recommended","What languages do you usually speak with your friends?","1::6","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English; 6=Language other than English or Spanish","sash05"
"sashy_6","Integer","","Recommended","In what languages, are the TV programs you usually watch?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English","sash06"
"sashy_7","Integer","","Recommended","In what languages, are the radio programs you usually listen to?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English","sash07"
"sashy_8","Integer","","Recommended","In what languages, are the movies, TV and radio programs you prefer to watch or listen to?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English","sash08"
"sashy_9","Integer","","Recommended","In what languages, do your parents speak with their parents?","1::5","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English",""
"sashy_10","Integer","","Recommended","Your close friends are","1::5","1=All Latinos/Hispanics; 2=More Latinos/Hispanics than Americans; 3=About half and half; 4=More Americans than Latinos/Hispanics; 5=All Americans","sash09"
"sashy_11","Integer","","Recommended","You prefer going to parties at which the people are","1::5","1=All Latinos/Hispanics; 2=More Latinos/Hispanics than Americans; 3=About half and half; 4=More Americans than Latinos/Hispanics; 5=All Americans","sash10"
"sashy_12","Integer","","Recommended","The persons you visit or who visit you are","1::5","1=All Latinos/Hispanics; 2=More Latinos/Hispanics than Americans; 3=About half and half; 4=More Americans than Latinos/Hispanics; 5=All Americans","sash11"
"sashy_total","Integer","","Recommended","Short Acculturation Scale for Hispanic Youth (English): Sum","12 :: 60","",""
"sashy_score","Float","","Recommended","Short Acculturation Scale for Hispanic Youth (English): Mean","1 :: 12","",""
"sashy_t","Integer","","Recommended","Short Acculturation Scale for Hispanic Youth (English): T-Score","","",""
"sashy_pct","Integer","","Recommended","Short Acculturation Scale for Hispanic Youth (English): Percentile","0::100","",""
"sashy_cat","Integer","","Recommended","Short Acculturation Scale for Hispanic Youth (English): Category","1::3","1 = Low Acculturation (T-score < 40); 2 = Moderate Acculturation (40 <= T < 55); 3 = High Acculturation (T >= 55).",""
"sash02","Integer","","Recommended","What was the language(s) you used as a child?","1::5","1=Only Spanish; 2=More Spanish than English; 3= Both equally; 4=More English than Spanish; 5=Only English ",""
"sash12","Integer","","Recommended","If you could choose your children''s friends you would want them to be:","1::5","1=All Latinos/Hispanics; 2=More Latinos/Hispanics than Americans; 3=About half and half; 4=More Americans than Latinos/Hispanics; 5=All Americans",""
"bash_lang3","Integer","","Recommended","What language do you read in?","1::6","1=Only Spanish; 2=Spanish better than English; 3=Both equally; 4=English better than Spanish; 5=Only English; 6=Language other than English or Spanish",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;Biological mom;Biological dad;Adoptive mom;Adoptive dad;Grandparent;Other caregiver;NA","NA=Not Applicable",""
