"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date,sasodate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"aescode","Integer","","Recommended","Staff code number of person completing this form","","999= Missing Data","sasora"
"sasosa1","Integer","","Recommended","During the past year, the most I was sexually attracted to a MAN was (choose one answer):","1::7","1 = Not at all sexually attracted; 2 = Slightly sexually attracted; 3 = Mildly sexually attracted; 4 = Moderately sexually attracted; 5 = Significantly sexually attracted; 6 = Very sexually attracted; 7 = Extremely sexually attracted","saso1a,ssa_2"
"sasosa2","Integer","","Recommended","During the past year, the most I was sexually attracted to a WOMAN was (choose one answer):","1::7","1 = Not at all sexually attracted; 2 = Slightly sexually attracted; 3 = Mildly sexually attracted; 4 = Moderately sexually attracted; 5 = Significantly sexually attracted; 6 = Very sexually attracted; 7 = Extremely sexually attracted","saso1b,ssa_4"
"sasosoi1","Integer","","Recommended","I consider myself (choose one answer, how homosexual?):","1::7","1 = Not at all homosexual; 2 = Slightly homosexual; 3 = Mildly homosexual; 4 = Moderately homosexual; 5 = Significantly homosexual; 6 = Very homosexual; 7 = Extremely homosexual","saso2a"
"sasosoi2","Integer","","Recommended","I consider myself (choose one answer, how heterosexual?):","1::7","1 = Not at all heterosexual; 2 = Slightly heterosexual; 3 = Mildly heterosexual; 4 = Moderately heterosexual; 5 = Significantly heterosexual; 6 = Very heterosexual; 7 = Extremely heterosexual","saso2b"
"ssa_1","Integer","","Recommended","Have you ever had a romantic attraction to a boy?","0;1","1 = Yes; 0 = No",""
"ssa_3","Integer","","Recommended","Have you ever had a romantic attraction to a girl?","0;1","1 = Yes; 0 = No",""
"ssa2","Integer","","Recommended","During the past year, the most you were romantically attracted to a boy was:","1::4","1 = Not at all; 2 = Very little; 3 = Somewhat; 4 = Very much",""
"ssa4","Integer","","Recommended","During the past year, the most you were romantically attracted to a girl was: ","1::4","1 = Not at all; 2 = Very little; 3 = Somewhat; 4 = Very much",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
