"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"q1_attention","Integer","","Recommended","How good was the treatment in helping you pay attention more?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q2_think","Integer","","Recommended","How good was the treatment in helping you stop and think before you act?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q3_calm","Integer","","Recommended","How good was the treatment in helping you stay calm?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q4_sleep_prompt","Integer","","Recommended","How good was the treatment in helping you get to sleep on time?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q5_sleep_sched","Integer","","Recommended","How good was the treatment in helping you to wake up on time?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q6_homework","Integer","","Recommended","How good was the treatment in helping you get your homework done?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q7_ease","Integer","","Recommended","How easy were the treatments?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q8_recommend_tx","Integer","","Recommended","Would you recommend this treatment to others kids with ADHD?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q9_worth","Integer","","Recommended","How important was the money in getting you to work hard on the treatment?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q10_again","Integer","","Recommended","Now that you know what the treatment is like, if you were back at the beginning, would you want to do it?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"q11p_test_useful","Integer","","Recommended","How useful were the assessments (Tests, rating scales and other measures)?","0::7","0= Not at all; 4= Moderately; 7= Very",""
"test_freq","Integer","","Recommended","How did you feel about the Frequency of tests","1::3","1= Not Often Enough; 2= About Right; 3= Too Often",""
"visits_freq","Integer","","Recommended","How did you feel about the Frequency of visits","1::3","1= Not Often Enough; 2= About Right; 3= Too Often",""
"q14p_recommend_study","Integer","","Recommended","Would you recommend this study to others?","0::7","0= Not at all; 4= Moderately; 7= Definitely",""
"basicspst_5","String","500","Recommended","What did you like about the program?","","","liked_desc"
"disliked_desc","String","1000","Recommended","Please describe any things about this treatment you did not like","","",""
"tx_guess","Integer","","Recommended","Remember that at the beginning of the study you were put in either the ""real feedback"" or ""fake feedback"" treatment; which treatment do you think you received","0;1;9","0= Real Feedback; 1= Fake Feedback; Don't Know",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"validity","String","13","Recommended","Validity rating","Yes;No;Questionnable","",""
"session","Integer","","Recommended","Session","","",""
"site","String","101","Recommended","Site","","Study Site",""
"resp_source","Integer","","Recommended","Respondent Source","1::6","1= subject; 2= parent; 3= clinician; 4= teacher; 5= trainer; 6= fidelity reviewer","source"
