"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"party_with_friends","Integer","","Recommended","Rate how confident you are in your ability to do each one: Go to a party with friends","0::100","0= No confidence; 100= Total confidence",""
"ask_someone_on_a_date","Integer","","Recommended","Rate how confident you are in your ability to do each one: Ask someone out on a date","0::100","0= No confidence; 100= Total confidence",""
"go_out_when_friend_invite","Integer","","Recommended","Rate how confident you are in your ability to do each one: Go out when a friend calls and invites you","0::100","0= No confidence; 100= Total confidence",""
"ask_friend_for_advice","Integer","","Recommended","Rate how confident you are in your ability to do each one: Ask a friend for advice","0::100","0= No confidence; 100= Total confidence",""
"family_visit_you","Integer","","Recommended","Rate how confident you are in your ability to do each one: Have your family visit you","0::100","0= No confidence; 100= Total confidence",""
"trust_your_friends","Integer","","Recommended","Rate how confident you are in your ability to do each one: Trust your friends","0::100","0= No confidence; 100= Total confidence",""
"someone_talk_lonely","Integer","","Recommended","Rate how confident you are in your ability to do each one: Find someone to talk to when you feel lonely","0::100","0= No confidence; 100= Total confidence",""
"make_friends_scz","Integer","","Recommended","Rate how confident you are in your ability to do each one: Make friends","0::100","0= No confidence; 100= Total confidence",""
"begin_conversation_friend","Integer","","Recommended","Rate how confident you are in your ability to do each one: Begin a conversation with a friend","0::100","0= No confidence; 100= Total confidence",""
"talk_to_group","Integer","","Recommended","Rate how confident you are in your ability to do each one: Talk to people in a group","0::100","0= No confidence; 100= Total confidence",""
"call_friend_go_out","Integer","","Recommended","Rate how confident you are in your ability to do each one: Call and ask a friend to go out","0::100","0= No confidence; 100= Total confidence",""
"go_on_date","Integer","","Recommended","Rate how confident you are in your ability to do each one: Go out on a date","0::100","0= No confidence; 100= Total confidence",""
"introduce_self_to_someone","Integer","","Recommended","Rate how confident you are in your ability to do each one: Introduce yourself to someone you don't know","0::100","0= No confidence; 100= Total confidence",""
"interact_both_enjoy","Integer","","Recommended","Rate how confident you are in your ability to do each one: Interact with someone in a way that you and the other person can enjoy","0::100","0= No confidence; 100= Total confidence",""
"shake_hands_someone","Integer","","Recommended","Rate how confident you are in your ability to do each one: Shake hands when you meet someone","0::100","0= No confidence; 100= Total confidence",""
"begin_conversation_stranger","Integer","","Recommended","Rate how confident you are in your ability to do each one: Begin a conversation with a stranger","0::100","0= No confidence; 100= Total confidence",""
"trust_your_family","Integer","","Recommended","Rate how confident you are in your ability to do each one: Trust your family","0::100","0= No confidence; 100= Total confidence",""
"get_along_neighbors","Integer","","Recommended","Rate how confident you are in your ability to do each one: Get along with your neighbors","0::100","0= No confidence; 100= Total confidence",""
"visit_family","Integer","","Recommended","Rate how confident you are in your ability to do each one: Visit your family","0::100","0= No confidence; 100= Total confidence",""
