"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sclimate_1","Integer","","Recommended","At my school, there is a teacher or some other adult who really cares about me","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_2","Integer","","Recommended","At my school, there is a teacher or some other adult who tells me when I do a good job","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_3","Integer","","Recommended","At my school, there is a teacher or some other adult who notices when I am not there","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_4","Integer","","Recommended","At my school, there is a teacher or some other adult who wants me to do my best","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_5","Integer","","Recommended","At my school, there is a teacher or some other adult who listens to me when I have something to say","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_6","Integer","","Recommended","At my school, there is a teacher or some other adult who believes I will be a success","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_7","Integer","","Recommended","I do interesting things at school","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_8","Integer","","Recommended","At school I help decide things like class activities or rules","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimate_9","Integer","","Recommended","At school I do things that make a difference","1::4","1=Not true at all; 2=A little true; 3=Pretty much true; 4=Very much true",""
"sclimatemean","Float","","Recommended","School Climate - Mean Score","1::4","Average of items sclimate_1 through sclimate_9",""
"sclimatesum","Integer","","Recommended","School Climate - Sum Score","0::36","Sum of items sclimate_1 through sclimate_9",""
"sconnect_1","Integer","","Recommended","I feel close to people at my school","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"sconnect_2","Integer","","Recommended","I am happy to be at this school","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"sconnect_3","Integer","","Recommended","I feel like I am part of this school","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"sconnect_4","Integer","","Recommended","The teachers at my school treat students fairly","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"sconnect_5","Integer","","Recommended","I feel safe in my school","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"sconnectmean","Float","","Recommended","School Connectedness - Mean Score","1::5","Average of items sconnect_1 through sconnect_5",""
"sconnectsum","Integer","","Recommended","School Connectedness - Sum Score","0::25","Sum of items sconnect_1 through sconnect_5",""
"school_climate_1a","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Notice that it is happening?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1b","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Try to stop it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1c","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Ignore it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1d","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Talk openly about it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1e","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Listen to both sides of the story?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1f","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Make fair decisions?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1g","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Have consequences for the person who is being mean?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1h","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Support the person who has been hurt or targeted?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1i","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Understand the situation?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_1j","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do your teachers, coaches, and staff... Join in and contribute to the mean and hurtful things being done?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2a","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Notice that it is happening?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2b","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Try to stop it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2c","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Ignore it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2d","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Talk openly about it?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2e","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Support the person who has been hurt or targeted?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2f","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Have consequences for the person who is being mean? (e.g., turning them in, or telling an adult)","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_climate_2g","Integer","","Recommended","When students are doing mean and hurtful things to one another at school, how often do other students... Join in and contribute to the mean and hurtful things being said or done?","1::3","1= Never; 2= Sometimes; 3= Often",""
"school_lgbtq_1","Integer","","Recommended","Does your school have a student-led club that aims to create a safe, welcome, and accepting school environments for all youth, regardless of sexual orientation or gender identity? These clubs are sometimes called gender and sexuality alliances (GSA).","0::2","0= Yes; 1= No; 2= Do not know",""
"school_lgbtq_1a","Integer","","Recommended","How often do you participate in GSA meetings and/or activities?","1::5","1= Never; 2= Rarely; 3= Occasionally; 4= Sometimes; 5= Frequently",""
"school_lgbtq_2","Integer","","Recommended","Does your school identify ''safe spaces'' (e.g., a counselor's office, designated classroom, or student organization) where LGBTQ+ youth can receive support from administrators, teachers, or other school staff?","0::2","0= Yes; 1= No; 2= Do not know",""
"school_lgbtq_3","Integer","","Recommended","Does your school prohibit harassment based on a student's perceived or actual sexual orientation or gender identity?","0::2","0= Yes; 1= No; 2= Do not know",""
"school_lgbtq_4","Integer","","Recommended","Does your school encourage staff to attend professional development on safe and supportive school environments for all students, regardless of sexual orientation or gender identity?","0::2","0= Yes; 1= No; 2= Do not know",""
"school_lgbtq_5","Integer","","Recommended","Does your school provide access to mental or physical health care services that specialize in care for LGBTQ+ youth, and are not on school property?","0::2","0= Yes; 1= No; 2= Do not know",""
"school_lgbtq_6","Integer","","Recommended","Does your school provide curricula or supplementary materials that include HIV, STD, or pregnancy prevention information that is relevant to LGBTQ+ youth (e.g., curricula or materials that use inclusive language or terminology?)","0::2","0= Yes; 1= No; 2= Do not know",""
