"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id,record_id,subjectid,subjectnumber"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate,scid5_doa,scid_date,tdate,v10_scid_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","scid_age,sd2"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sd1"
"scid_diag1","String","10","Recommended","Diagnosis of Psychotic Disorder DSM-V code","","295.40, 295.70, 295.90, 297.1,  298.8, 298.9, 71.9=No diagnosis according to SCID","scid_d_disorder_diagnosis,scid_diag_psych_disorder"
"scid_diag2","String","10","Recommended","Depressive Disorder  DSM-V code","","296.20, 296.21, 296.22, 296.23, 296.24, 296.25, 296.26, 296.30, 296.31, 296.32, 296.33,  296.34, 296.35, 296.36, 300.4, 311, 71.9=No diagnosis according to SCID","scid_a_episode_diagnosis,scid_mood_depression"
"scid_diag3","String","10","Recommended","Lifetime  Depressive Disorder  DSM-V code","","296.20, 296.21, 296.22, 296.23, 296.24, 296.25, 296.26, 296.30, 296.31, 296.32, 296.33,  296.34, 296.35, 296.36, 300.4, 311, 71.9=No diagnosis according to SCID","scid_mood_depress_life"
"scid_diag4","String","10","Recommended","Bipolar Diagnosis  Bipolar 1/ Bipolar2/cyclothymic/NOS Disorder  DSM-V code","","296.40, 296.41, 296.42, 296.43, 296.44, 296.45, 296.46, 296.50, 296.51, 296.52, 296.53, 296.54, 296.55, 296.56,  296.7, 296.80, 296.89, 301.13 293.83  296.89B, 296.89O, 71.9=No diagnosis according to SCID","scid_bipolar"
"scid_diag5","String","10","Recommended","Lifetime Bipolar Diagnosis  Bipolar 1/ Bipolar2/cyclothymic/NOS Disorder  DSM-V code","","296.40, 296.41, 296.42, 296.43, 296.44, 296.45, 296.46, 296.50, 296.51, 296.52, 296.53, 296.54, 296.55, 296.56, 296.7, 296.80, 296.89, 301.13, 293.83, 296.89B,  296.89O, 71.9=No diagnosis according to SCID","scid_bipolar_life"
"scid_diag6","String","10","Recommended","Alcohol Use Diagnosis  DSM-V code","","303.90, 305.00, 71.9=No diagnosis according to SCID","scid_alcohol"
"scid_diag7","String","10","Recommended","Lifetime Alcohol Use Diagnosis  DSM-V code","","303.90, 305.00, 71.9=No diagnosis according to SCID","scid_alcohol_life"
"scid_diag8","String","10","Recommended","Cannabis Use Diagnosis  DSM-V code","","304.30, 305.20, 71.9=No diagnosis according to SCID","scid_cannabis"
"scid_diag9","String","10","Recommended","Lifetime Cannabis Use Diagnosis  DSM-V code","","304.30, 305.20, 71.9=No diagnosis according to SCID","scid_cannabis_life"
"scid_diag10","String","10","Recommended","Amphetamine Use Diagnosis  DSM-V code","","304.40, 305.70, 71.9=No diagnosis according to SCID","scid_amphetamine"
"scid_diag11","String","10","Recommended","Cocaine Use Diagnosis  DSM-V code","","304.40, 305.70, 71.9=No diagnosis according to SCID","scid_cocaine"
"scid_diag12","String","10","Recommended","Lifetime Cocaine Use Diagnosis  DSM-V code","","304.20, 305.60, 71.9=No diagnosis according to SCID","scid_cocaine_life"
"scid_diag13","String","10","Recommended","Hallucinogen Use Disorder  DSM-V code","","304.20, 305.60, 71.9=No diagnosis according to SCID","scid_hallucinogen"
"scid_diag14","String","10","Recommended","Lifetime Hallucinogen Use Disorder  DSM-V code","","304.50, 305.30, 71.9=No diagnosis according to SCID","scid_hallucinogen_life"
"scid_diag15","String","10","Recommended","Other Substance Use Diagnosis  DSM-V code","","304.50, 305.30, 71.9=No diagnosis according to SCID","scid_other"
"scid_diag16","String","10","Recommended","Lifetime Other Substance Use Diagnosis  DSM-V code","","304.90, 305.90, 71.9=No diagnosis according to SCID","scid_other_life"
"scid_diag17","String","10","Recommended","Polysubstance Dependence  DSM-V code","","304.90, 305.90, 71.9=No diagnosis according to SCID","scid_polysubstance"
"scid_diag18","String","10","Recommended","Lifetime Polysubstance Dependence  DSM-V code","","304.8, 71.9=No diagnosis according to SCID","scid_polysubstance_life"
"scid_diag19","String","10","Recommended","Obsessive Compulsive and Related Disorder OCD  DSM-V code","","300.3, 71.9=No diagnosis according to SCID","scid_ocd"
"scid_diag20","String","10","Recommended","Lifetime Obsessive Compulsive and Related Disorder  OCD DSM-V code","","300.3, 71.9=No diagnosis according to SCID","scid_ocd_life"
"scid_diag21","String","10","Recommended","Trauma and Stressor Related Disorder  PTSD DSM-V code","","309.81, 71.9=No diagnosis according to SCID","scid_ptsd"
"scid_diag22","String","10","Recommended","Lifetime Trauma and Stressor Related Disorder PTSD DSM-V code","","309.81, 71.9=No diagnosis according to SCID","scid_ptsd_life"
"scid_diag23","String","10","Recommended","Anxiety Disorder PANIC DSM-V code","","300.01, 71.9=No diagnosis according to SCID","scid_panic"
"scid_diag24","String","10","Recommended","Lifetime Anxiety Disorder PANIC DSM-V code","","300.01, 71.9=No diagnosis according to SCID","scid_panic_life"
"scid_diag25","String","10","Recommended","Anxiety Disorder Agoraphobia DSM-V code","","300.22, 71.9=No diagnosis according to SCID","scid_agoraphobia"
"scid_diag26","String","10","Recommended","Lifetime Anxiety Disorder Agoraphobia DSM-V code","","300.22, 71.9=No diagnosis according to SCID","scid_agoraphobia_life"
"scid_diag27","String","10","Recommended","Anxiety Disorder Social anxiety DSM-V code","","300.23, 71.9=No diagnosis according to SCID","scid_social_phobia"
"scid_diag28","String","10","Recommended","Lifetime Anxiety Disorder Social anxiety DSM-V code","","300.23, 71.9=No diagnosis according to SCID","scid_social_phobia_life"
"scid_diag29","String","10","Recommended","Anxiety Disorder Specific Phobia DSM-V code","","300.29, 71.9=No diagnosis according to SCID","scid_specific_phobia"
"scid_diag30","String","10","Recommended","Lifetime Anxiety Disorder Specific Phobia DSM-V code","","300.29, 71.9=No diagnosis according to SCID","scid_specific_phobia_life"
"scid_diag31","String","10","Recommended","Anxiety Disorder GAD or NOS DSM-V code","","300.00, 300.02, 71.9=No diagnosis according to SCID","scid_gad_nos"
"scid_diag32","String","10","Recommended","Lifetime Anxiety Disorder GAD or NOS DSM-V code","","300.00, 300.02, 71.9=No diagnosis according to SCID","scid_gad_nos_life"
"scid_diag33","String","10","Recommended","Attention Deficit/Hyperactivity Disorder DSM-V code","","314.00, 314.01, 71.9=No diagnosis according to SCID","scid_attention"
"scid_diag34","String","10","Recommended","Lifetime Attention  Deficit/Hyperactivity Disorder DSM-V code","","314.00, 314.01, 71.9=No diagnosis according to SCID","scid_attention_life"
"scid_diag35","String","10","Recommended","Autism Spectrum Disorder DSM-V code","","299, 71.9=No diagnosis according to SCID","scid_dev_disorder"
"scid_diag36","String","10","Recommended","Personality Disorder  Schizotypal DSM-V code","","301.22, 71.9=No diagnosis according to SCID","scid_schizotypal"
"scid_diag37","String","10","Recommended","Personality Disorder  Avoidant DSM-V code","","301.82, 71.9=No diagnosis according to SCID","schid_schizotypal_life"
"scid_diag38","String","10","Recommended","Personality Disorder  Borderline DSM-V code","","301.83, 71.9=No diagnosis according to SCID","scid_borderline"
"site","String","101","Recommended","Site","","Study Site","sitenumber"
"visit_name","String","20","Recommended","session ID/screening ID","","","visitnumber"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2","visitlabel"
"subjecttype","String","20","Recommended","Subject Type","Control;Prodromal; Enhanced; Non-Enhanced","",""
"gf_social_scale","Integer","","Recommended","Global Functioning: Social Scale score","0::10;-900;-300; -3::-1; -5","1=Extreme social isolation; 2=Inability to function socially; 3=Marginal ability to function socially; 4=Major impairment in social and interpersonal functioning; 5=Serious impairment in social/interpersonal functioning; 6=Moderate impairment in social/interpersonal functioning; 7=Mild problems in social/interpersonal functioning; 8=Good social/interpersonal functioning; 9=Above average social/interpersonal functioning; 10=Superior social/interpersonal functioning; -900 = Missing; -300 = N/A; -1 = Properly skipped; -2 = Not collected at this time point; -3 = Historical missing; -5 = Item/Instrument not collected","gf_social_current,gfs_02"
"gf_social_low","Integer","","Recommended","Global Functioning: Social Scale low score (past year)","0::10;-900;-300;-2","1=Extreme social isolation; 2=Inability to function socially; 3=Marginal ability to function socially; 4=Major impairment in social and interpersonal functioning; 5=Serious impairment in social/interpersonal functioning; 6=Moderate impairment in social/interpersonal functioning; 7=Mild problems in social/interpersonal functioning; 8=Good social/interpersonal functioning; 9=Above average social/interpersonal functioning; 10=Superior social/interpersonal functioning; -900 = Missing; -300 = N/A; -2=Not collected at this time point","gf_social_lowest,gfs_03"
"gf_social_high","Integer","","Recommended","Global Functioning: Social Scale High score (past year)","0::10;-900;-300;-2","1=Extreme social isolation; 2=Inability to function socially; 3=Marginal ability to function socially; 4=Major impairment in social and interpersonal functioning; 5=Serious impairment in social/interpersonal functioning; 6=Moderate impairment in social/interpersonal functioning; 7=Mild problems in social/interpersonal functioning; 8=Good social/interpersonal functioning; 9=Above average social/interpersonal functioning; 10=Superior social/interpersonal functioning; -900 = Missing; -300 = N/A; -2=Not collected at this time point","gf_social_highest,gfs_04"
"gf_primaryrole","Integer","","Recommended","Primary role used for this rating","1::4;-900;-300;-2","1=School; 2=Work; 3=Homemaker; 4=Part-time school + Part-time work; -900 = Missing; -300 = N/A; -2 = Not collected at this time","gfr_01,primary_role"
"gf_role_scole","Integer","","Recommended","Global Functioning: Role Scale score","0::100;-900;-300; -3::-1; -5","1=Extreme role dysfunction; 2=Inability to function; 3=Marginal ability to function; 4=Major impairment in role functioning; 5=Serious impairment in role functioning; 6=Moderate impairment in role functioning; 7=Mild Impairment in role functioning; 8=Good role functioning; 9=Above average role functioning; 10=Superior role functioning; -900 = Missing; -300 = N/A; -1 = Properly skipped; -2 = Not collected at this time point; -3 = Historical missing; -5 = Item/Instrument not collected","gf_role_current,gfr_02"
