"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","CATIEID,record_id,subjectid,subjid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate,screen1"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","dbiq19,gender"
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"visit","String","60","Recommended","Visit name","","","visitlabel"
"truncvis","Integer","","Recommended","Truncated Visit Number","","""Created variable: provides a numeric visit number for all visits, including unscheduled and end of phase""",""
"phase_ct","String","20","Recommended","Current Phase. Phase patient was in at the time of the assessment Phase 4 refers to the follow-up phase.","Pre-Rand; Phase 1/1A; Phase 2; Phase 3; Phase 4; Phase 1B; Open-Choice Phase; Screening; Phase 1","","phase"
"visday","Integer","","Recommended","Number of days from study baseline to date of visit","","","date"
"protocol","String","50","Recommended","Protocol [Study] name","","",""
"scrn00","Integer","","Recommended","Has the patient been previously screened","0;1","0=No; 1=Yes",""
"white","Integer","","Recommended","5. Race","0;1","""1=yes, 0=no""","SCRN05A"
"black","Integer","","Recommended","Black or African-American","0;1; 999","1=yes; 0=no;999= missing","SCRN05B"
"native","Integer","","Recommended","American Indian or Alaska Native","0;1; 999","1=yes; 0=no; 999= missing","SCRN05C"
"asian","String","5","Recommended","Ethnicity: Asian","Yes;No; 999","999= missing","SCRN05D"
"pacific","String","5","Recommended","Ethnicity: Pacific","Yes;No; 999","999= missing","SCRN05E"
"hispanic","Integer","","Recommended","Is subject of Hispanic, Latino, or Spanish origin?","0; 1; 999","0 = No; 1 = Yes; 999= missing","SCRN06"
"scrn07","Integer","","Recommended","7. Has patient been hospitalized","0;1","0=No; 1=Yes",""
"scrn08","Integer","","Recommended","Indicate primary clinical diagnosis","1::7","1 = Schizophrenia; 2 = Schizophreniform disorder; 3 = Schizoaffective disorder; 4 = Bipolar disorder; 5 = Major depression; 6 = Psychosis NOS; 7 = Other",""
"scrn09a","Integer","","Recommended","9a. Alcohol Dependence","0;1","0=No; 1=Yes",""
"scrn09b","Integer","","Recommended","Alcohol abuse","0;1","0=No; 1=Yes",""
"scrn09c","Integer","","Recommended","Drug dependence","0;1","0=No; 1=Yes",""
"scrn09d","Integer","","Recommended","Drug abuse","0;1","0=No; 1=Yes",""
"scrn09e","Integer","","Recommended","Obsessive compulsive disorder","0;1","0=No; 1=Yes",""
