"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sdms_1","Date","","Recommended","Date of coding","","",""
"sdms_2","Integer","","Recommended","Is this consensus?","0;1","0 = No; 1 = Yes",""
"sdms_3","Integer","","Recommended","Was there a decision?","1::3","1 = No decision, no problem; 2 = No decision, other; 3 = Decision",""
"sdms_4","String","100","Recommended","If there was a decision, what was it (briefly)","","",""
"sdms_5","Integer","","Recommended","What was the final decision? Was it stopped medication?","0;1","0 = No; 1 = Yes",""
"sdms_6","Integer","","Recommended","What was the final decision? Was it added medication?","0;1","0 = No; 1 = Yes",""
"sdms_7","Integer","","Recommended","What was the final decision? Was it decided not to change medication?","0;1","0 = No; 1 = Yes",""
"sdms_8","Integer","","Recommended","What was the final decision? Was it added a non-medication alternative?","0;1","0 = No; 1 = Yes",""
"sdms_9","Integer","","Recommended","What was the final decision? Was it decided to wait and revisit the topic?","0;1","0 = No; 1 = Yes",""
"sdms_10","Integer","","Recommended","What was the final decision? Was it decided not to pursue non-med alternative?","0;1","0 = No; 1 = Yes",""
"sdms_11","Integer","","Recommended","What was the final decision? Was it changed time or changed the way of taking an existing med OR restarted a previously prescribed medication?","0;1","0 = No; 1 = Yes",""
"sdms_12","Integer","","Recommended","Type of Decision?","1::3","1 = Basic; 2 = Intermediate; 3 = Complex",""
"sdms_13","Integer","","Recommended","Discussion of the consumer's role in decision making. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_14","Integer","","Recommended","Discussion of the consumer's role in decision making. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_15","String","100","Recommended","Discussion of the consumer's role in decision making, special notes","","",""
"sdms_16","Integer","","Recommended","Discussion of consumer's goal/context of decision. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_17","Integer","","Recommended","Discussion of consumer's goal/context of decision. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_18","String","100","Recommended","Discussion of consumer's goal/context of decision, special notes","","",""
"sdms_19","Integer","","Recommended","Evidence of specific life goal beyond reduction of symptoms. Accomplished?","0;1","0 = No; 1 = Yes",""
"sdms_20","Integer","","Recommended","Evidence of specific life goal beyond reduction of symptoms. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_21","String","100","Recommended","Evidence of specific life goal beyond reduction of symptoms, special notes","","",""
"sdms_22","Integer","","Recommended","Discussion of the clinical issue or nature of the decision. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_23","Integer","","Recommended","Discussion of the clinical issue or nature of the decision. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_24","String","100","Recommended","Discussion of the clinical issue or nature of the decision, special notes","","",""
"sdms_25","Integer","","Recommended","Discussion of the alternatives. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_26","Integer","","Recommended","Discussion of the alternatives. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_27","String","100","Recommended","Discussion of the alternatives, special notes","","",""
"sdms_28","Integer","","Recommended","Evidence of non-medication alternative. Accomplished?","0;1","0 = No; 1 = Yes",""
"sdms_29","Integer","","Recommended","Evidence of non-medication alternative. Initiator?","0;1","0 = Clinician; 1 = Consumer",""
"sdms_30","String","100","Recommended","Evidence of non-medication alternative, special notes","","",""
"sdms_31","Integer","","Recommended","Discussion of the pros and cons relevant to the discussion. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_32","Integer","","Recommended","Initiator for the pros","0;1","0 = Clinician; 1 = Consumer",""
"sdms_33","Integer","","Recommended","Initiator for the cons","0;1","0 = Clinician; 1 = Consumer",""
"sdms_34","String","100","Recommended","Discussion of the pros relevant to the decision, special notes","","",""
"sdms_35","String","100","Recommended","Discussion of the cons relevant to the decision, special notes","","",""
"sdms_36","Integer","","Recommended","Discussion of uncertainties associated with the decision (including likelihood/probability of success). Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_37","Integer","","Recommended","Discussion of the uncertainties associated with the decision (including likelihood/probability of success). Initiator?","0::2","0 = Clinician; 1 = Consumer; 2 = Other",""
"sdms_38","String","100","Recommended","Discussion of the uncertainties associated with the decision (including likelihood/probability of success), special notes","","",""
"sdms_39","Integer","","Recommended","Assessment of the consumer's understanding. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_40","Integer","","Recommended","Assessment of the consumer's understanding. Initiator?","0::2","0 = Clinician; 1 = Consumer; 2 = Other",""
"sdms_41","String","100","Recommended","Assessment of the consumer's understanding, special notes","","",""
"sdms_42","Integer","","Recommended","Assessment of the consumer's desire for others' input. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_43","Integer","","Recommended","Assessment of the consumer's desire for others' input. Initiator?","0::2","0 = Clinician; 1 = Consumer; 2 = Other",""
"sdms_44","String","100","Recommended","Assessment of the consumer's desire for others' input, special notes","","",""
"sdms_45","Integer","","Recommended","Exploration of consumer preference. Accomplished?","1::3","1 = Absent; 2 = Partial; 3 = Complete",""
"sdms_46","Integer","","Recommended","Exploration of consumer preference. Initiator?","0::2","0 = Clinician; 1 = Consumer; 2 = Other",""
"sdms_47","String","100","Recommended","Exploration of consumer preference, special notes","","",""
"sdms_48","Integer","","Recommended","In terms of the final decision, what is the level of agreement?","0::4","0 = Clinician disagreement; 1 = Clinician passive/reluctant agreement; 2 = Full agreement (both committed); 3 = Consumer passive/reluctant agreement; 4 = Consumer disagreement",""
"sdms_score","Integer","","Recommended","Shared Decision Making Score","","Sum of responses to the nine decision items. Higher scores indicating more shared decision-making.",""
