"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sdmt","Integer","","Recommended","Number of correct answers","0::120","",""
"sdmterr","Integer","","Recommended","Number of errors","0::120","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"sdmt_ex1","Integer","","Recommended","User Response - Practice 1","1::9","",""
"sdmt_ex2","Integer","","Recommended","User Response - Practice 2","1::9","",""
"sdmt_ex3","Integer","","Recommended","User Response - Practice 3","1::9","",""
"sdmt_ex4","Integer","","Recommended","User Response - Practice 4","1::9","",""
"sdmt_ex5","Integer","","Recommended","User Response - Practice 5","1::9","",""
"sdmt_ex6","Integer","","Recommended","User Response - Practice 6","1::9","",""
"sdmt_ex7","Integer","","Recommended","User Response - Practice 7","1::9","",""
"sdmt_ex8","Integer","","Recommended","User Response - Practice 8","1::9","",""
"sdmt_ex9","Integer","","Recommended","User Response - Practice 9","1::9","",""
"sdmt_ex10","Integer","","Recommended","User Response - Practice 10","1::9","",""
"sdmt_sym1","Integer","","Recommended","User Response - Symbol 1","1::9","",""
"sdmt_sym2","Integer","","Recommended","User Response - Symbol 2","1::9","",""
"sdmt_sym3","Integer","","Recommended","User Response - Symbol 3","1::9","",""
"sdmt_sym4","Integer","","Recommended","User Response - Symbol 4","1::9","",""
"sdmt_sym5","Integer","","Recommended","User Response - Symbol 5","1::9","",""
"sdmt_sym6","Integer","","Recommended","User Response - Symbol 6","1::9","",""
"sdmt_sym7","Integer","","Recommended","User Response - Symbol 7","1::9","",""
"sdmt_sym8","Integer","","Recommended","User Response - Symbol 8","1::9","",""
"sdmt_sym9","Integer","","Recommended","User Response - Symbol 9","1::9","",""
"sdmt_sym10","Integer","","Recommended","User Response - Symbol 10","1::9","",""
"sdmt_sym11","Integer","","Recommended","User Response - Symbol 11","1::9","",""
"sdmt_sym12","Integer","","Recommended","User Response - Symbol 12","1::9","",""
"sdmt_sym13","Integer","","Recommended","User Response - Symbol 13","1::9","",""
"sdmt_sym14","Integer","","Recommended","User Response - Symbol 14","1::9","",""
"sdmt_sym15","Integer","","Recommended","User Response - Symbol 15","1::9","",""
"sdmt_sym16","Integer","","Recommended","User Response - Symbol 16","1::9","",""
"sdmt_sym17","Integer","","Recommended","User Response - Symbol 17","1::9","",""
"sdmt_sym18","Integer","","Recommended","User Response - Symbol 18","1::9","",""
"sdmt_sym19","Integer","","Recommended","User Response - Symbol 19","1::9","",""
"sdmt_sym20","Integer","","Recommended","User Response - Symbol 20","1::9","",""
"sdmt_sym21","Integer","","Recommended","User Response - Symbol 21","1::9","",""
"sdmt_sym22","Integer","","Recommended","User Response - Symbol 22","1::9","",""
"sdmt_sym23","Integer","","Recommended","User Response - Symbol 23","1::9","",""
"sdmt_sym24","Integer","","Recommended","User Response - Symbol 24","1::9","",""
"sdmt_sym25","Integer","","Recommended","User Response - Symbol 25","1::9","",""
"sdmt_sym26","Integer","","Recommended","User Response - Symbol 26","1::9","",""
"sdmt_sym27","Integer","","Recommended","User Response - Symbol 27","1::9","",""
"sdmt_sym28","Integer","","Recommended","User Response - Symbol 28","1::9","",""
"sdmt_sym29","Integer","","Recommended","User Response - Symbol 29","1::9","",""
"sdmt_sym30","Integer","","Recommended","User Response - Symbol 30","1::9","",""
"sdmt_sym31","Integer","","Recommended","User Response - Symbol 31","1::9","",""
"sdmt_sym32","Integer","","Recommended","User Response - Symbol 32","1::9","",""
"sdmt_sym33","Integer","","Recommended","User Response - Symbol 33","1::9","",""
"sdmt_sym34","Integer","","Recommended","User Response - Symbol 34","1::9","",""
"sdmt_sym35","Integer","","Recommended","User Response - Symbol 35","1::9","",""
"sdmt_sym36","Integer","","Recommended","User Response - Symbol 36","1::9","",""
"sdmt_sym37","Integer","","Recommended","User Response - Symbol 37","1::9","",""
"sdmt_sym38","Integer","","Recommended","User Response - Symbol 38","1::9","",""
"sdmt_sym39","Integer","","Recommended","User Response - Symbol 39","1::9","",""
"sdmt_sym40","Integer","","Recommended","User Response - Symbol 40","1::9","",""
"sdmt_sym41","Integer","","Recommended","User Response - Symbol 41","1::9","",""
"sdmt_sym42","Integer","","Recommended","User Response - Symbol 42","1::9","",""
"sdmt_sym43","Integer","","Recommended","User Response - Symbol 43","1::9","",""
"sdmt_sym44","Integer","","Recommended","User Response - Symbol 44","1::9","",""
"sdmt_sym45","Integer","","Recommended","User Response - Symbol 45","1::9","",""
"sdmt_sym46","Integer","","Recommended","User Response - Symbol 46","1::9","",""
"sdmt_sym47","Integer","","Recommended","User Response - Symbol 47","1::9","",""
"sdmt_sym48","Integer","","Recommended","User Response - Symbol 48","1::9","",""
"sdmt_sym49","Integer","","Recommended","User Response - Symbol 49","1::9","",""
"sdmt_sym50","Integer","","Recommended","User Response - Symbol 50","1::9","",""
"sdmt_sym51","Integer","","Recommended","User Response - Symbol 51","1::9","",""
"sdmt_sym52","Integer","","Recommended","User Response - Symbol 52","1::9","",""
"sdmt_sym53","Integer","","Recommended","User Response - Symbol 53","1::9","",""
"sdmt_sym54","Integer","","Recommended","User Response - Symbol 54","1::9","",""
"sdmt_sym55","Integer","","Recommended","User Response - Symbol 55","1::9","",""
"sdmt_sym56","Integer","","Recommended","User Response - Symbol 56","1::9","",""
"sdmt_sym57","Integer","","Recommended","User Response - Symbol 57","1::9","",""
"sdmt_sym58","Integer","","Recommended","User Response - Symbol 58","1::9","",""
"sdmt_sym59","Integer","","Recommended","User Response - Symbol 59","1::9","",""
"sdmt_sym60","Integer","","Recommended","User Response - Symbol 60","1::9","",""
"sdmt_sym61","Integer","","Recommended","User Response - Symbol 61","1::9","",""
"sdmt_sym62","Integer","","Recommended","User Response - Symbol 62","1::9","",""
"sdmt_sym63","Integer","","Recommended","User Response - Symbol 63","1::9","",""
"sdmt_sym64","Integer","","Recommended","User Response - Symbol 64","1::9","",""
"sdmt_sym65","Integer","","Recommended","User Response - Symbol 65","1::9","",""
"sdmt_sym66","Integer","","Recommended","User Response - Symbol 66","1::9","",""
"sdmt_sym67","Integer","","Recommended","User Response - Symbol 67","1::9","",""
"sdmt_sym68","Integer","","Recommended","User Response - Symbol 68","1::9","",""
"sdmt_sym69","Integer","","Recommended","User Response - Symbol 69","1::9","",""
"sdmt_sym70","Integer","","Recommended","User Response - Symbol 70","1::9","",""
"sdmt_sym71","Integer","","Recommended","User Response - Symbol 71","1::9","",""
"sdmt_sym72","Integer","","Recommended","User Response - Symbol 72","1::9","",""
"sdmt_sym73","Integer","","Recommended","User Response - Symbol 73","1::9","",""
"sdmt_sym74","Integer","","Recommended","User Response - Symbol 74","1::9","",""
"sdmt_sym75","Integer","","Recommended","User Response - Symbol 75","1::9","",""
"sdmt_sym76","Integer","","Recommended","User Response - Symbol 76","1::9","",""
"sdmt_sym77","Integer","","Recommended","User Response - Symbol 77","1::9","",""
"sdmt_sym78","Integer","","Recommended","User Response - Symbol 78","1::9","",""
"sdmt_sym79","Integer","","Recommended","User Response - Symbol 79","1::9","",""
"sdmt_sym80","Integer","","Recommended","User Response - Symbol 80","1::9","",""
"sdmt_sym81","Integer","","Recommended","User Response - Symbol 81","1::9","",""
"sdmt_sym82","Integer","","Recommended","User Response - Symbol 82","1::9","",""
"sdmt_sym83","Integer","","Recommended","User Response - Symbol 83","1::9","",""
"sdmt_sym84","Integer","","Recommended","User Response - Symbol 84","1::9","",""
"sdmt_sym85","Integer","","Recommended","User Response - Symbol 85","1::9","",""
"sdmt_sym86","Integer","","Recommended","User Response - Symbol 86","1::9","",""
"sdmt_sym87","Integer","","Recommended","User Response - Symbol 87","1::9","",""
"sdmt_sym88","Integer","","Recommended","User Response - Symbol 88","1::9","",""
"sdmt_sym89","Integer","","Recommended","User Response - Symbol 89","1::9","",""
"sdmt_sym90","Integer","","Recommended","User Response - Symbol 90","1::9","",""
"sdmt_sym91","Integer","","Recommended","User Response - Symbol 91","1::9","",""
"sdmt_sym92","Integer","","Recommended","User Response - Symbol 92","1::9","",""
"sdmt_sym93","Integer","","Recommended","User Response - Symbol 93","1::9","",""
"sdmt_sym94","Integer","","Recommended","User Response - Symbol 94","1::9","",""
"sdmt_sym95","Integer","","Recommended","User Response - Symbol 95","1::9","",""
"sdmt_sym96","Integer","","Recommended","User Response - Symbol 96","1::9","",""
"sdmt_sym97","Integer","","Recommended","User Response - Symbol 97","1::9","",""
"sdmt_sym98","Integer","","Recommended","User Response - Symbol 98","1::9","",""
"sdmt_sym99","Integer","","Recommended","User Response - Symbol 99","1::9","",""
"sdmt_sym100","Integer","","Recommended","User Response - Symbol 100","1::9","",""
"sdmt_sym101","Integer","","Recommended","User Response - Symbol 101","1::9","",""
"sdmt_sym102","Integer","","Recommended","User Response - Symbol 102","1::9","",""
"sdmt_sym103","Integer","","Recommended","User Response - Symbol 103","1::9","",""
"sdmt_sym104","Integer","","Recommended","User Response - Symbol 104","1::9","",""
"sdmt_sym105","Integer","","Recommended","User Response - Symbol 105","1::9","",""
"sdmt_sym106","Integer","","Recommended","User Response - Symbol 106","1::9","",""
"sdmt_sym107","Integer","","Recommended","User Response - Symbol 107","1::9","",""
"sdmt_sym108","Integer","","Recommended","User Response - Symbol 108","1::9","",""
"sdmt_sym109","Integer","","Recommended","User Response - Symbol 109","1::9","",""
"sdmt_sym110","Integer","","Recommended","User Response - Symbol 110","1::9","",""
