"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sem1_beh","Integer","","Recommended","I pay attention in class.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem2_emo","Integer","","Recommended","I like being at school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem3_cog","Integer","","Recommended","I read extra books to learn more about things we do in school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem4_beh","Integer","","Recommended","When I am in class, I just act as if I am working.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem5_emo","Integer","","Recommended","I feel excited by the work in school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem6_cog","Integer","","Recommended","If I don't understand what I read, I go back and read it over again.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem7_cog","Integer","","Recommended","I check my schoolwork for mistakes.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem8_emo","Integer","","Recommended","My classroom is a fun place to be.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem9_beh","Integer","","Recommended","I complete my homework on time.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem10_cog","Integer","","Recommended","When I read a book, I ask myself questions to make sure I understand what it is about.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem11_emo","Integer","","Recommended","I feel happy in school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem12_cog","Integer","","Recommended","I study at home even when I don't have a test.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem13_beh","Integer","","Recommended","I get in trouble at school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem14_emo","Integer","","Recommended","I am interested in the work at school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem15_cog","Integer","","Recommended","If I don't know what a word means when I am reading, I do something to figure it out, like look it up in the dictionary or ask someone.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem16_emo","Integer","","Recommended","I feel bored in school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem17_cog","Integer","","Recommended","I talk with people outside of school about what I am learning in class.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem18_beh","Integer","","Recommended","I follow the rules at school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"sem19_cog","Integer","","Recommended","I try to watch TV shows about what we are doing / learning at school.","1::5","1=Not at all true;  2; 3=Neither true nor untrue; 4; 5=Very true",""
"ref_child_id","String","50","Recommended","Referencing Child ID how it is defined in lab/project","","",""
"sem_1_8","Integer","","Recommended","My school work is important.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_9","Integer","","Recommended","When learning new things, I try to connect them to things I already know.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_10","Integer","","Recommended","When I have an assignment due, I keep working until it is finished.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_11","Integer","","Recommended","I talk to my family about problems.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_12","Integer","","Recommended","I know how to study for tests.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_13","Integer","","Recommended","I plan to pursue more education after high school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_14","Integer","","Recommended","Being successful in school will help me in the future.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_15","Integer","","Recommended","Getting good grades is important to me.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_16","Integer","","Recommended","It is important to me to be successful in a job.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_17","Integer","","Recommended","I like most of my teachers.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_18","Integer","","Recommended","Most days, I look forward to going to school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_19","Integer","","Recommended","I am proud to be a student at this school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_20","Integer","","Recommended","There is a lot I can learn from my teachers.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_21","Integer","","Recommended","Teachers help me to be successful at school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_22","Integer","","Recommended","I feel like a part of my school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_1","Integer","","Recommended","My family knows how I am doing in school.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_2","Integer","","Recommended","If I do not know what something means, I do something to figure it out.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_3","Integer","","Recommended","I study at home.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_4","Integer","","Recommended","There is someone in my family who helps me when I have trouble completing my homework.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_5","Integer","","Recommended","I pay attention to my teachers.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_6","Integer","","Recommended","When I am doing school work, I make sure I understand what I am learning.","1::10","1=Strongly disagree; 10= Strongly agree",""
"sem_1_7","Integer","","Recommended","I look for more information about things we are learning in school.","1::10","1=Strongly disagree; 10= Strongly agree",""
