"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sexbs1","Integer","","Recommended","Have you ever felt excluded from family activities because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs2","Integer","","Recommended","Have you ever felt that family members have made discriminatory remarks or gossiped about you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs3","Integer","","Recommended","Have you ever felt rejected by your non-MSM friends because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs4","Integer","","Recommended","Have you ever felt afraid to seek health services because you worried someone may learn you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs5","Integer","","Recommended","Have you ever avoided seeking health services because you sorry someone may learn you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs6","Integer","","Recommended","Have you ever heard health  care providers make discriminatory remarks or gossip about you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs7","Integer","","Recommended","Have you ever felt you were not treated well in  a health center because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs8","Integer","","Recommended","Have you ever felt that a uniformed officer refused to protect you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs9","Integer","","Recommended","Have you ever felt scared to be in public places because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs10","Integer","","Recommended","Has someone ever verbally harassed you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs11","Integer","","Recommended","Has someone ever  blackmailed you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs12","Integer","","Recommended","Has someone ever physically harassed or hurt you because you have sex with men?","0;1;9","0= No; 1= Yes; 9= Missing",""
"sexbs13","Integer","","Recommended","Has someone ever forced you to have sex when you did not want to? (Oral, anal, vaginal, manual, penetration with an object) [Do you believe you have been forced to have sex because you have sex with men?]","0;1;9","0= No; 1= Yes; 9= Missing",""
"lgbtq_stimga_1","String","10","Recommended","Have you ever felt excluded from family activities because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_2","String","10","Recommended","Have you ever felt that family members have made discriminatory remarks or gossiped about you because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_3","String","10","Recommended","Have you ever felt rejected by your friends because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_4","String","10","Recommended","Have you ever felt afraid to go to health care services because you worry someone may treat you poorly because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_5","String","10","Recommended","Have you ever avoided going to health care services    because you worry someone may treat you poorly because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_6","String","10","Recommended","Have you ever heard health care providers gossiping about you (talking about you) because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_7","String","10","Recommended","Have you ever felt that you were not treated well in a health center because someone knew of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_8","String","10","Recommended","Have you ever worried that a healthcare provider would judge you for [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_9","String","10","Recommended","Have you ever worried that a healthcare provider would treat you differently if you told them [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_10","String","10","Recommended","Have you ever been concerned you would make a healthcare provider uncomfortable talking about [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_11","String","10","Recommended","Have you ever felt that the police refused to protect you because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_12","String","10","Recommended","Have you ever felt scared to be in public places because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_13","String","10","Recommended","Have you ever been verbally harassed and felt it was because of [your sexual orientation and/or your gender identity]?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_14","String","10","Recommended","Has someone ever physically hurt you (pushed, shoved, slapped, hit, kicked, choked, or otherwise physically hurt you)?","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stimga_15","String","10","Recommended","Have you ever been forced to have sex when you did not want to? (By forced, I mean physically forced, coerced to have sex, or penetrated with an object, when you did not want to.)","0;1;2;3","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, but I do not know why",""
"lgbtq_stigma_alt_8","Integer","","Recommended","Have you ever worried that a healthcare provider would judge you for [your sexual orientation and/or your gender identity]?","0::7","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, because of both my sexual orientation and gender identity; 4= Yes, because of my sexual orientation and I do not know why; 5= Yes, because of my gender identity and I do not know why; 6= Yes, because of sexual orientation, gender identity, and I do not know why; 7= Yes, but I do not know why",""
"lgbtq_stigma_alt_9","Integer","","Recommended","Have you ever worried that a healthcare provider would treat you differently if you told them [your sexual orientation and/or your gender identity]?","0::7","0= No; 1= Yes, because of my sexual orientation; 2= Yes, because of my gender identity; 3= Yes, because of both my sexual orientation and gender identity; 4= Yes, because of my sexual orientation and I do not know why; 5= Yes, because of my gender identity and I do not know why; 6= Yes, because of sexual orientation, gender identity, and I do not know why; 7= Yes, but I do not know why",""
