"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","ndar_shaps"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subjectid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date11,shapdt"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_shaps"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","ch_sex,gender,gender_shaps,sex"
"shaps1","Integer","","Recommended","I would enjoy my favorite television or radio program.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoyprogram,tvshow"
"shaps2","Integer","","Recommended","I would enjoy being with my family or close friends.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoyfamily,family"
"shaps3","Integer","","Recommended","I would find pleasure in my hobbies and pastimes.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","hobby,pleasureinhobbies"
"shaps4","Integer","","Recommended","I would be able to enjoy my favorite meal.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoymeal,favmeal"
"shaps5","Integer","","Recommended","I would enjoy a warm bath or refreshing shower.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoybath,warmbath"
"shaps6","Integer","","Recommended","I would find pleasure in the scent of flowers or the smell of a fresh sea breeze or freshly baked bread.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoysmells,smells"
"shaps7","Integer","","Recommended","I would enjoy seeing other people's smiling faces.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoysmilingfaces,faces"
"shaps8","Integer","","Recommended","I would enjoy looking smart when I have made an effort with my appearance.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoylookingsmart,lookgood"
"shaps9","Integer","","Recommended","I would enjoy reading a book, magazine or newspaper.","1 :: 4; -9; 666","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete; 666=Does not apply","enjoyreading,reading"
"shaps10","Integer","","Recommended","I would enjoy a cup of tea or coffee or my favorite drink.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoydrink,favdrink"
"shaps11","Integer","","Recommended","I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoysmallthings,smlthing"
"shaps12","Integer","","Recommended","I would be able to enjoy a beautiful landscape or view.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","btflview,enjoyview"
"shaps13","Integer","","Recommended","I would get pleasure from helping others.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoyhelpingothers,helpothr"
"shaps14","Integer","","Recommended","I would feel pleasure when I receive praise from other people.","1 :: 4; -9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=incomplete","enjoypraise,praise"
"shaps_total","Integer","","Required","SHAPS Total score","0::56; 999; -9","999=missing/NK/NA; -9=incomplete","shpscore"
"shaps_total_continuous","Float","","Recommended","sums all scores ordinal","","",""
"shaps_total_dichotomous","Float","","Recommended","sums all scores dichotomously collapses to a 1 or 0","","",""
"subject_description","String","4000","Recommended","Subject related information (e.g the affection, phenotype, disease information, etc.).","","",""
"site","String","101","Recommended","Site","","Study Site",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"session_id","String","20","Recommended","session ID/screening ID","","",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
"date_updated","Date","","Recommended","Date record updated","","",""
"shaps8a","Integer","","Recommended","I would enjoy looking nice when I have made an effort with my appearance.","1::4;-9","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; -9=Incomplete",""
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"shaps001","Integer","","Recommended","I do not feel threatened by the laboratory tests (at time of interview)","0;1","0 = No (DO feel threatened); 1 = Yes (DO NOT feel threatened)",""
"pasa1","Integer","","Recommended","I do not feel threatened by the laboratory tests (pre/post assessment)","0;1","0 = No (DO feel threatened); 1 = Yes (DO NOT feel threatened)",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
"rt_","Float","","Recommended","The number of milliseconds since the start of the questionnaire until completed","","",""
"time_elapsed","Float","","Recommended","The number of milliseconds since the start of the experiment until the questionnaire was completed","","",""
"shaps9a","Integer","","Recommended","I would enjoy reading a book, magazine or newspaper.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
"shaps10a","Integer","","Recommended","I would enjoy a cup of tea or coffee or my favorite drink.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
"shaps11a","Integer","","Recommended","I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
"shaps12a","Integer","","Recommended","I would be able to enjoy a beautiful landscape or view.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
"shaps13a","Integer","","Recommended","I would get pleasure from helping others.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
"shaps14a","Integer","","Recommended","I would feel pleasure when I receive praise from other people.","0;1;-9","0 = Strongly agree/Agree; 1 = Strongly disagree/Disagree; -9=Incomplete",""
