"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;Biological mom;Biological dad;Adoptive mom;Adoptive dad;Grandparent;Other caregiver;NA","NA=Not Applicable",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::96;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator; 96 = Legal guardian",""
"grade","String","50","Recommended","Current Grade","","",""
"sibr_ms_gm_rs","Integer","","Recommended","Motor Skills. Gross-Motor Raw Score","","",""
"sibr_ms_gm_ae","String","10","Recommended","Motor Skills. Gross-Motor Age Equivalent","","",""
"sibr_ms_gm_ws","Integer","","Recommended","Motor Skills. Gross-Motor W Score","","",""
"sibr_ms_fm_rs","Integer","","Recommended","Motor Skills. Fine-Motor Raw Score","","",""
"sibr_ms_fm_ae","String","10","Recommended","Motor Skills. Fine-Motor Age Equivalent","","",""
"sibr_ms_fm_ws","Integer","","Recommended","Motor Skills. Fine-Motor W Score","","",""
"sibr_sics_si_rs","Integer","","Recommended","Social Interaction and communication Skills. Social Interaction Raw Score","","",""
"sibr_sics_si_ae","String","10","Recommended","Social Interaction and communication Skills. Social Interaction Age Equivalent","","",""
"sibr_sics_si_ws","Integer","","Recommended","Social Interaction and communication Skills. Social Interaction W Score","","",""
"sibr_lccs_lc_rs","Integer","","Recommended","Language Comprehension and communication Skills. Language Comprehension Raw Score","","",""
"sibr_lccs_lc_ae","String","10","Recommended","Language Comprehension and communication Skills. Language Comprehension Age Equivalent","","",""
"sibr_lccs_lc_ws","Integer","","Recommended","Language Comprehension and communication Skills. Language Comprehension W Score","","",""
"sibr_lecs_lc_rs","Integer","","Recommended","Language Expression and communication Skills. Language Expression Raw Score","","",""
"sibr_lecs_lc_ae","String","10","Recommended","Language Expression and communication Skills. Language Expression Age Equivalent","","",""
"sibr_lecs_lc_ws","Integer","","Recommended","Language Expression and communication Skills. Language Expression W Score","","",""
"sibr_pls_e_rs","Integer","","Recommended","Personal Living Skills. Eating Raw Score","","",""
"sibr_pls_e_ae","String","10","Recommended","Personal Living Skills. Eating Age Equivalent","","",""
"sibr_pls_e_ws","Integer","","Recommended","Personal Living Skills. Eating W Score","","",""
"sibr_pls_t_rs","Integer","","Recommended","Personal Living Skills. Toileting Raw Score","","",""
"sibr_pls_t_ae","String","10","Recommended","Personal Living Skills. Toileting Age Equivalent","","",""
"sibr_pls_t_ws","Integer","","Recommended","Personal Living Skills. Toileting W Score","","",""
"sibr_pls_d_rs","Integer","","Recommended","Personal Living Skills. Dressing Raw Score","","",""
"sibr_pls_d_ae","String","10","Recommended","Personal Living Skills. Dressing Age Equivalent","","",""
"sibr_pls_d_ws","Integer","","Recommended","Personal Living Skills. Dressing W Score","","",""
"sibr_pls_sc_rs","Integer","","Recommended","Personal Living Skills. Self-Care Raw Score","","",""
"sibr_pls_sc_ae","String","10","Recommended","Personal Living Skills. Self-Care Age Equivalent","","",""
"sibr_pls_sc_ws","Integer","","Recommended","Personal Living Skills. Self-Care W Score","","",""
"sibr_pls_ds_rs","Integer","","Recommended","Personal Living Skills. Domestic Skills Raw Score","","",""
"sibr_pls_ds_ae","String","10","Recommended","Personal Living Skills. Domestic Skills Age Equivalent","","",""
"sibr_pls_ds_ws","Integer","","Recommended","Personal Living Skills. Domestic Skills W Score","","",""
"sibr_cls_tp_rs","Integer","","Recommended","Community Living Skills. Time and Punctuality Raw Score","","",""
"sibr_cls_tp_ae","String","10","Recommended","Community Living Skills. Time and Punctuality Age Equivalent","","",""
"sibr_cls_tp_ws","Integer","","Recommended","Community Living Skills. Time and Punctuality W Score","","",""
"sibr_cls_mv_rs","Integer","","Recommended","Community Living Skills. Money and Value Raw Score","","",""
"sibr_cls_mv_ae","String","10","Recommended","Community Living Skills. Money and Value Age Equivalent","","",""
"sibr_cls_mv_ws","Integer","","Recommended","Community Living Skills. Money and Value W Score","","",""
"sibr_cls_ws_rs","Integer","","Recommended","Community Living Skills. Work Skills Raw Score","","",""
"sibr_cls_ws_ae","String","10","Recommended","Community Living Skills. Work Skills Age Equivalent","","",""
"sibr_cls_ws_ws","Integer","","Recommended","Community Living Skills. Work Skills W Score","","",""
"sibr_cls_hc_rs","Integer","","Recommended","Community Living Skills. Home/Community Raw Score","","",""
"sibr_cls_hc_ae","String","10","Recommended","Community Living Skills. Home/Community Age Equivalent","","",""
"sibr_cls_hc_ws","Integer","","Recommended","Community Living Skills. Home/Community W Score","","",""
"sibr_ms_ws","Integer","","Recommended","Motor Skills W Score","","",""
"sibr_ms_ae","String","10","Recommended","Motor Skills Age Equivalent","","",""
"sibr_sics_ws","Integer","","Recommended","Social Interaction and communication Skills W Score","","",""
"sibr_sics_ae","String","10","Recommended","Social Interaction and communication Skills Age Equivalent","","",""
"sibr_pls_ws","Integer","","Recommended","Personal Living Skills W Score","","",""
"sibr_pls_ae","String","10","Recommended","Personal Living Skills Age Equivalent","","",""
"sibr_cls_ws","Integer","","Recommended","Community Living Skills W Score","","",""
"sibr_cls_ae","String","10","Recommended","Community Living Skills Age Equivalent","","",""
"sibr_bi_ws","Integer","","Recommended","Broad Independence W Score","","",""
"sibr_bi_ae","String","10","Recommended","Broad Independence Age Equivalent","","",""
"sibr_ms_rmi","Integer","","Recommended","Motor Skills RMI Score","","","sib_motor_skill_rmi"
"sibr_ms_ss","Integer","","Recommended","Motor Skills Standard Score Score","","",""
"sibr_ms_pr","Integer","","Recommended","Motor Skills Percentile Rank","","",""
"sibr_ms_sl","Integer","","Recommended","Motor Skills Skil Level","","",""
"sibr_sics_rmi","Integer","","Recommended","Social Interaction and Communication Skills RMI Score","","","sib_social_com_rmi"
"sibr_sics_ss","Integer","","Recommended","Social Interaction and Communication Skills Standard Score Score","","",""
"sibr_sics_pr","Integer","","Recommended","Social Interaction and Communication Skills Percentile Rank","","",""
"sibr_sics_sl","Integer","","Recommended","Social Interaction and Communication Skills Skil Level","","",""
"sibr_pls_rmi","Integer","","Recommended","Personal Living Skills RMI Score","","","sib_per_liv_rmi"
"sibr_pls_ss","Integer","","Recommended","Personal Living Skills Standard Score Score","","",""
"sibr_pls_pr","Integer","","Recommended","Personal Living Skills Percentile Rank","","",""
"sibr_pls_sl","Integer","","Recommended","Personal Living Skills Skil Level","","",""
"sibr_cls_rmi","Integer","","Recommended","Community Living Skills RMI Score","","","sib_comm_liv_rmi"
"sibr_cls_ss","Integer","","Recommended","Community Living Skills Standard Score Score","","",""
"sibr_cls_pr","Integer","","Recommended","Community Living Skills Percentile Rank","","",""
"sibr_cls_sl","Integer","","Recommended","Community Living Skills Skil Level","","",""
"sibr_bi_rmi","Integer","","Recommended","Broad Independence RMI Score","","","sib_broad_ind_rmi"
"sibr_bi_ss","Integer","","Recommended","Broad Independence Standard Score Score","","",""
"sibr_bi_pr","Integer","","Recommended","Broad Independence Percentile Rank","","",""
"sibr_bi_sl","Integer","","Recommended","Broad Independence Skil Level","","",""
"sibr_pb_1f","Integer","","Recommended","Hurtful to Self. Frequency rating PS","","",""
"sibr_pb_1s","Integer","","Recommended","Hurtful to Self. Severity rating PS","","",""
"sibr_pb_2f","Integer","","Recommended","Hurtful to Others. Frequency rating PS","","",""
"sibr_pb_2s","Integer","","Recommended","Hurtful to Others. Severity rating PS","","",""
"sibr_pb_3f","Integer","","Recommended","Destructive to Property. Frequency rating PS","","",""
"sibr_pb_3s","Integer","","Recommended","Destructive to Property. Severity rating PS","","",""
"sibr_pb_4f","Integer","","Recommended","Disruptive Behavior. Frequency rating PS","","",""
"sibr_pb_4s","Integer","","Recommended","Disruptive Behavior. Severity rating PS","","",""
"sibr_pb_5f","Integer","","Recommended","Unusual or Repetitive Habits. Frequency rating PS","","",""
"sibr_pb_5s","Integer","","Recommended","Unusual or Repetitive Habits. Severity rating PS","","",""
"sibr_pb_6f","Integer","","Recommended","Socially Offensive Behavior. Frequency rating PS","","",""
"sibr_pb_6s","Integer","","Recommended","Socially Offensive Behavior. Severity rating PS","","",""
"sibr_pb_7f","Integer","","Recommended","Withdrawal or Inattentive Behavior. Frequency rating PS","","",""
"sibr_pb_7s","Integer","","Recommended","Withdrawal or Inattentive Behavior. Severity rating PS","","",""
