"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"smu_sns_01","Integer","","Recommended","To hook up","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_02","Integer","","Recommended","To look for a date","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_03","Integer","","Recommended","To seek a romantic partner","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_04","Integer","","Recommended","To make new friends","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_05","Integer","","Recommended","To extend my circle of friends","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_06","Integer","","Recommended","To meet new people","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_07","Integer","","Recommended","To ask for information about what to study for the exams","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_08","Integer","","Recommended","To ask or share class notes","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_09","Integer","","Recommended","To check or share group assignments","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_10","Integer","","Recommended","To not feel disengaged from the world","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_11","Integer","","Recommended","To feel connected with people","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_12","Integer","","Recommended","To feel socially integrated","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_13","Integer","","Recommended","To keep up-to-date with what my contacts are doing in their day-to-day life","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_14","Integer","","Recommended","To know the details of my friend's lives","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_15","Integer","","Recommended","To snoop on people that I am interested in","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_16","Integer","","Recommended","To fill my free time","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_17","Integer","","Recommended","To kill time when I am bored","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_18","Integer","","Recommended","To entertain myself","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_19","Integer","","Recommended","To stand out from others","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_20","Integer","","Recommended","For other people to comment my posts","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_21","Integer","","Recommended","To check that other like my posts","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_22","Integer","","Recommended","To express my feelings and thoughts","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_23","Integer","","Recommended","To give my opinion on a topic","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_24","Integer","","Recommended","To discuss some subject (with other people)","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_25","Integer","","Recommended","To keep up about what happens in the world","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_26","Integer","","Recommended","To be informed about the news","1::7","1= Completely untrue; 7= Completely true",""
"smu_sns_27","Integer","","Recommended","To find information about the topics that I like and am interested in","1::7","1= Completely untrue; 7= Completely true",""
