"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
"sn_signaltime","Float","","Recommended","Snack Delay - Signal wait time (seconds)","","",""
"sn_adm","Integer","","Recommended","Snack Delay - Administered?","0;1","0=No; 1=Yes",""
"start_time","String","250","Recommended","Trial Start Time","","",""
"sn_tc","Integer","","Recommended","Snack Delay - Touches cup","0;1;-9","0=No; 1=Yes; -9=Missing",""
"sn_ts","Integer","","Recommended","Snack Delay - Touches snack","0;1;-9","0=No; 1=Yes; -9=Missing",""
"sn_es","Integer","","Recommended","Snack Delay - Eats snack","0;1;-9","0=No; 1=Yes; -9=Missing",""
"sn_ls","Float","","Recommended","Snack Delay - Latency to eat snack (seconds)","","",""
"sn_vp","Integer","","Recommended","Snack Delay - Number of verbal prompts","","",""
"sn_anticipatory","Integer","","Recommended","Snack Delay - Peak intensity of nonverbal anticipatory behavior","0::3; -9","0=No; 1=Low; 2=Moderate; 3=High; -9=Missing",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
