"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"housing","Integer","","Recommended","Are you worried or concerned that in the next two months you may not have stable housing that you own, rent, or stay in as a part of a household?","0;1","0 = No ;  1 = Yes","ssnt01"
"bugs","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Bug infestation","0;1","0 = No ;  1 = Yes","ssnt02a"
"mold","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Mold","0;1","0 = No ;  1 = Yes","ssnt02b"
"lead_paint","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Lead paint or pipes","0;1","0 = No ;  1 = Yes","ssnt02c"
"bad_heat","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Inadequate heat","0;1","0 = No ;  1 = Yes","ssnt02d"
"faulty_oven","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Oven or stove not working","0;1","0 = No ;  1 = Yes","ssnt02e"
"faulty_detectors","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: No or not working smoke detecters","0;1","0 = No ;  1 = Yes","ssnt02f"
"leaks","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: Water leaks","0;1","0 = No ;  1 = Yes","ssnt02g"
"no_problems","Integer","","Recommended","Think about the place you live. Do you have problems with any of the following?: None of the above","0;1","0 = No ;  1 = Yes","ssnt02h"
"food_worry","Integer","","Recommended","Within the past 12 months, you worried that your food would run out before you got money to buy more","0::2","0 = Often true ; 1 = Sometimes true ; 2 = Never true","ssnt03"
"food_low","Integer","","Recommended","Within the past 12 months, the food you bought just didn''t last and you didn''t have money to get more.","0::2","0 = Often true ; 1 = Sometimes true ; 2 = Never true","ssnt04"
"transportation","Integer","","Recommended","Do you put off or neglect going to the doctor because of distance or transportation?","0;1","0 = No ;  1 = Yes","ssnt05"
"utilities","Integer","","Recommended","In the past 12 months has the electric, gas, oil, or water company threatened to shut off services in your home?","0::2","0 = No ;  1 = Yes ; 2 = Already shut off","ssnt06"
"child_care","Integer","","Recommended","Do problems getting child care make it difficult for you to work or study?","0;1","0 = No ;  1 = Yes","ssnt07"
"employment","Integer","","Recommended","Do you have a job?","0;1","0 = No ;  1 = Yes","ssnt08"
"education_hsd","Integer","","Recommended","Do you have a high school degree?","0;1","0 = No ;  1 = Yes","ssnt09"
"finances","Integer","","Recommended","How often does this describe you? I don't have enough money to pay my bills.","1::5","1 = Never ; 2 = Rarely ; 3 = Sometimes ; 4 = Often ; 5 = Always","ssnt10"
"safety_harm","Integer","","Recommended","How often does anyone, including family, physically hurt you?","1::5","1 = Never ; 2 = Rarely ; 3 = Sometimes ; 4 = Often ; 5 = Always","ssnt11"
"safety_insult","Integer","","Recommended","How often does anyone, including family, insult or talk down to you?","1::5","1 = Never ; 2 = Rarely ; 3 = Sometimes ; 4 = Often ; 5 = Always","ssnt12"
"safety_threat","Integer","","Recommended","How often does anyone, including family, threaten you with harm?","1::5","1 = Never ; 2 = Rarely ; 3 = Sometimes ; 4 = Often ; 5 = Always","ssnt13"
"safety_scream","Integer","","Recommended","How often does anyone, including family, scream or curse at you?","1::5","1 = Never ; 2 = Rarely ; 3 = Sometimes ; 4 = Often ; 5 = Always","ssnt14"
"assistance","Integer","","Recommended","Would you like help with any of these needs?","0;1","0 = No ;  1 = Yes","ssnt15"
"personal_safety","Integer","","Recommended","Sum of questions 11-14","4::20","","ssnt_personal_safety_score"
"sleepmotel_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping in a motel, hostel or hotel when you were not in vacation","0;1","0=No; 1=Yes",""
"sleepshelter_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping in an emergency or homeless shelter","0;1","0=No; 1=Yes",""
"sleepcouch_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: Couch surfing or staying at someone else''s place for a while ","0;1","0=No; 1=Yes",""
"sleepother_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping somewhere else because you did not have a permanent place to stay (like an emergency room, jail, detention facility) ","0;1","0=No; 1=Yes",""
"sleepstable_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: None of the above: I have had stable housing my whole life  ","0;1","0=No; 1=Yes",""
"sleepunderstand_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: I do not understand this question  ","0;1","0=No; 1=Yes",""
"sleeppna_lt","Integer","","Recommended","Have you ever experienced any of the following sleeping situations because you did not have a permanent place to stay?: Prefer not to answer  ","0;1","0=No; 1=Yes",""
"sleepoutside_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping outside, in a car, or somewhere else not meant for sleeping (like a park, laundromat, abandoned house) ","0;1","0=No; 1=Yes",""
"sleepmotel_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping in a motel, hostel or hotel when you were not in vacation ","0;1","0=No; 1=Yes",""
"sleepshelter_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping in an emergency or homeless shelter ","0;1","0=No; 1=Yes",""
"sleepcouch_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Couch surfing or staying at someone else''s place for a while ","0;1","0=No; 1=Yes",""
"sleepother_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Sleeping somewhere else because you did not have a permanent place to stay (like an emergency room, jail, detention facility) ","0;1","0=No; 1=Yes",""
"sleepstable_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: None of the above: I have had stable housing my whole life  ","0;1","0=No; 1=Yes",""
"sleepunderstand_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: I do not understand this question  ","0;1","0=No; 1=Yes",""
"sleeppna_py","Integer","","Recommended","What about in the past 12 months, have you experienced any of the following sleeping situations because you did not have a permanent place to stay?: Prefer not to answer  ","0;1","0=No; 1=Yes",""
"electricity01","Integer","","Recommended","Think about the place you live now. Do you have problems with any of the following?: No or frequent loss of electricity","0;1","0=No; 1=Yes",""
"pna_problems01","Integer","","Recommended","Think about the place you live now. Do you have problems with any of the following?: Prefer not to answer","0;1","0=No; 1=Yes",""
