"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sobbs_1","Integer","","Recommended","Looking attractive to others is more important to me than being happy with who I am inside.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_2","Integer","","Recommended","I try to imagine what my body looks like to others (i.e., like I am looking at myself from the outside).","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_3","Integer","","Recommended","How I look is more important to me than how I think or feel.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_4","Integer","","Recommended","I choose specific clothing or accessories based on how they make my body appear to others.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_5","Integer","","Recommended","My physical appearance is more important than my personality.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_6","Integer","","Recommended","When I look in the mirror, I notice areas of my appearance that I think others will view critically.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_7","Integer","","Recommended","I consider how my body will look to others in the clothing I am wearing.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_8","Integer","","Recommended","I often think about how my body must look to others.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_9","Integer","","Recommended","My physical appearance says more about who I am than my intellect.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_10","Integer","","Recommended","How sexually attractive others find me says something about who I am as a person.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_11","Integer","","Recommended","My physical appearance is more important than my physical abilities.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_12","Integer","","Recommended","I try to anticipate others' reactions to my physical appearance.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_13","Integer","","Recommended","My body is what gives me value to other people.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_14","Integer","","Recommended","I have thoughts about how my body looks to others even when I am alone.","1::5;99","1= Strongly disagree; 2= Disagree; 3= Neither agree nor disagree; 4= Agree; 5= Strongly agree; 99= Missing",""
"sobbs_obsperp","Integer","","Recommended","Self-Objectification Beliefs and Behaviors Scale (SOBBS) - Observer's Perspective Subscale","7::35;99","Sum of items sobbs_1, 3, 5, 7, 9, 11, 13; 99= Missing",""
"sobbs_body","Integer","","Recommended","Self-Objectification Beliefs and Behaviors Scale (SOBBS) - Body as Self Subscale","7::35;99","Sum of items sobbs_2, 4, 6, 8, 10, 12, 14; 99= Missing",""
"sobbs_total","Integer","","Recommended","Self-Objectification Beliefs and Behaviors Scale (SOBBS) - Total Score","14::70;99","Sum of items sobbs_1-14; 99= Missing",""
