"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"incom_1","Integer","","Recommended","I often compare how my loved ones are doing (partner, family members, etc.) with how others are doing.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_2","Integer","","Recommended","I always pay a lot of attention to how I do things compared with how others do things.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_3","Integer","","Recommended","If I want to find out how well I have done something, I compare what I have done with how others have done.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_4","Integer","","Recommended","I often compare how I am doing socially (e.g., social skills, popularity) with other people.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_5","Integer","","Recommended","I am not the type of person who compares often with others.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_6","Integer","","Recommended","I often compare myself with others with respect to what I have accomplished in life.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_7","Integer","","Recommended","I often like to talk with others about mutual opinions and experiences.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_8","Integer","","Recommended","I often try to find out what others think who face similar problems as I face.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_9","Integer","","Recommended","I always like to know what others in a similar situation would do.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_10","Integer","","Recommended","If I want to learn more about something, I try to find out what others think about it.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
"incom_11","Integer","","Recommended","I never consider my situation in life relative to other people.","1::5","1=I disagree strongly; 2=I disagree; 3=I don't agree nor disagree; 4=I agree; 5=I agree strongly",""
