"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fspgod","String","70","Recommended","Subject's gender OTHER describe","","",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"social_curiosity_total","Integer","","Recommended","Social Curiosity Scale Total Score","","",""
"sc_g","Integer","","Recommended","Social Curiosity - General Subscale","","",""
"sc_c","Integer","","Recommended","Social Curiosity - Covert Subscale","","",""
"q1_new_people","Integer","","Recommended","When I meet a new person, I am interested in learning more about him/her","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q2_interest_in_people","Integer","","Recommended","I'm interested in people","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q3_fascinating","Integer","","Recommended","I find it fascinating to get to know new people.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q4_habits","Integer","","Recommended","I like to learn about the habits of others","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q5_work","Integer","","Recommended","I like finding out how others ""work.""","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q6_thoughts_feelings","Integer","","Recommended","I'm interested in other people's thoughts and feelings.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q7_stories","Integer","","Recommended","Other people's life stories interest me.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q8_conversation","Integer","","Recommended","When other people are having a conversation, I like to find out what it's about.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q9_train","Integer","","Recommended","When on the train, I like listening to other people's conversations","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q10_neighbors","Integer","","Recommended","Every so often I like to stand at the window and watch what my neighbors are doing.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q11_lit_windows","Integer","","Recommended","I like to look into other people's lit windows.","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q12_quarrel","Integer","","Recommended","When people quarrel, I like to know what's going on","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q13_crowd","Integer","","Recommended","When I see a crowd, I go over to see what's happening","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
"q14_public","Integer","","Recommended","I like to go to public places and watch the people going by","1::4","1=strongly disagree; 2=disagree; 3=agree; 4=strongly agree",""
