"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"socps01","Integer","","Recommended","There are people I can depend on to help me if I really need it.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps1"
"socps02","Integer","","Recommended","I feel that I do not have close personal relationships with other people.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps2"
"socps03","Integer","","Recommended","There is no one I can turn to for guidance in times of stress.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps3"
"socps04","Integer","","Recommended","There are people who depend on me for help.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps4"
"socps05","Integer","","Recommended","There are people who enjoy the same social activities I do.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps5"
"socps06","Integer","","Recommended","Other people do not view me a as competent.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps6"
"socps07","Integer","","Recommended","I feel personally responsible for the well-being of another person.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps7"
"socps08","Integer","","Recommended","I feel part of a group of people who share my attitudes and beliefs.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree",""
"socps09","Integer","","Recommended","I do not think other people respect my skills and abilities","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps9"
"socps10","Integer","","Recommended","If something went wrong, no one would come to my assistance","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps10"
"socps11","Integer","","Recommended","I have close relationships that provide me with a sense of emotional security and well-being.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps11"
"socps12","Integer","","Recommended","There is someone I could talk to about important decisions in my life.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps12"
"socps13","Integer","","Recommended","I have relationships where my competence and skill are recognized.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps13"
"socps14","Integer","","Recommended","There is no one who shares my interest and concerns.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps14"
"socps15","Integer","","Recommended","There is no one who really relies on me for their well-being.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps15"
"socps16","Integer","","Recommended","There is trustworthy person I could turn to for advice if I were having problems.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps16"
"socps17","Integer","","Recommended","I feel a strong emotional bond with at least one other person.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps17"
"socps18","Integer","","Recommended","There is no one I can depend on for aid if I really need it.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps18"
"socps19","Integer","","Recommended","There is no one I feel comfortable talking about problems with.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps19"
"socps20","Integer","","Recommended","There are people who admire my talents and abilities.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps20"
"socps21","Integer","","Recommended","I lack a feeling of intimacy with another person","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps21"
"socps22","Integer","","Recommended","There is no one who likes to do the things I do","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps22"
"socps23","Integer","","Recommended","There are people I can count on in an emergency.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps23"
"socps24","Integer","","Recommended","No One needs me to care for them.","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree","agsps24"
"socps_att","Integer","","Recommended","SPS Attachment Subscale","","",""
"socps_soc","Integer","","Recommended","SPS Social Integration Subscale","","",""
"socps_row","Integer","","Recommended","SPS Sreassurance of Worth Subscale","","",""
"socps_ra","Integer","","Recommended","SPS Reliable Alliance Subscale","","",""
"socps_gui","Integer","","Recommended","SPS Guidance Subscale","","",""
"socps_pfn","Integer","","Recommended","SPS Opportunity for Nuturance Subscale","","",""
"socps_tot","Integer","","Recommended","Total Perceived Socal Support Scale","","",""
"socps17_a","Integer","","Recommended","I feel a strong emotional bond with my partner.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps8,sps8_c5188"
"socps18_a","Integer","","Recommended","I cannot really depend on my partner for aid if I really need it.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps9,sps9_c5188"
"socps19_a","Integer","","Recommended","I do not feel comfortable talking about my problems with my partner.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps10,sps10_c5188"
"socps21_a","Integer","","Recommended","I lack a feeling of intimacy with my partner.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps11,sps11_c5188"
"socps23_a","Integer","","Recommended","I can count on my partner in an emergency.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps12,sps12_c5188"
"socps01_a","Integer","","Recommended","I can depend on my partner to help me if I really need it.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps1,sps1_c5188"
"socps02_a","Integer","","Recommended","I do not have a close personal relationship with my partner.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps2,sps2_c5188"
"socps03_a","Integer","","Recommended","I cannot turn to my partner for guidance in times of stress.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps3,sps3_c5188"
"socps10_a","Integer","","Recommended","If something went wrong, my partner would not come to my assistance.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps4,sps4_c5188"
"socps11_a","Integer","","Recommended","My relationship with my partner provides me with a sense of emotional security and well-being.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps5,sps5_c5188"
"socps12_a","Integer","","Recommended","I can talk to my partner about important decisions in my life.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps6,sps6_c5188"
"socps16_a","Integer","","Recommended","I could turn to my partner if I were having problems.","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree","sps7,sps7_c5188"
"asps8","Integer","","Recommended","I could count on my partner to help me if I became very sick from my alcohol use.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps9","Integer","","Recommended","My partner supports me reducing my alcohol use.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps1","Integer","","Recommended","I can depend on my partner to help me reduce my alcohol use if I really need to.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps2","Integer","","Recommended","I cannot turn to my partner for guidance if I had problems with alcohol.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps3","Integer","","Recommended","If I experienced problems with reducing alcohol, my partner would not help.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps4","Integer","","Recommended","I can talk to my partner about important decisions regarding reducing my alcohol.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps5","Integer","","Recommended","I could turn to my partner if I were having problems with alcohol.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps6","Integer","","Recommended","I cannot depend on my partner for help with my alcohol use.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"asps7","Integer","","Recommended","I do not feel comfortable talking about my problems with alcohol with my partner.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"agsps8","Integer","","Recommended","I feel part of a group of people who respect my skills and abilities. ","0::3","0= Strongly Disagree; 1= Disagree; 2= Agree; 3= Strongly Agree",""
"agsps8_a","Integer","","Recommended","8. I feel part of a group of people who respect my skills and abilities.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps9_a","Integer","","Recommended","9. I do not think other people respect my skills and abilities.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps10_a","Integer","","Recommended","10. If something went wrong, no one would come to my assistance.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps11_a","Integer","","Recommended","11. I have close relationships that provide me with a sense of emotional security and well-being.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps12_a","Integer","","Recommended","12. There is someone I could talk to about important decisions in my life.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps13_a","Integer","","Recommended","13. I have relationships where my competence and skills are recognized.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps14_a","Integer","","Recommended","14. There is no one who shares my interest and concerns.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps15_a","Integer","","Recommended","15. There is no one who really relies on me for their well-being.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps16_a","Integer","","Recommended","16. There is a trustworthy person I could turn to for advice if I were having problems.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps17_a","Integer","","Recommended","17. I feel a strong emotional bond with at least one other person.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps18_a","Integer","","Recommended","18. There is no one I can depend on for aid if I really need it.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
"agsps19_a","Integer","","Recommended","19. There is no one I feel comfortable talking about problems with.","1::4","1=Strongly Disagree; 2=Disagree; 3=Agree; 4=Strongly Agree",""
