"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","sr_time"
"srsl","Integer","","Recommended","Description of Services received: Speech and Language","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srslhours","Integer","","Recommended","Description of Services received: OT how often","","888 = not applicable; 999 = missing",""
"srsltwhere","Integer","","Recommended","Description of Services received: SL Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srsltpay","Integer","","Recommended","Description of Services received: SL Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srsltinc","Integer","","Recommended","Description of Services received: SL How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"srot","Integer","","Recommended","Description of Services received: Occupational Therapy","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srothours","String","25","Recommended","Description of Services received: OT how often","","888 = not applicable; 999 = missing",""
"srotwhere","Integer","","Recommended","Description of Services received: OT Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srotpay","Integer","","Recommended","Description of Services received: OT Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srotinc","Integer","","Recommended","Description of Services received: OT How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"srpt","Integer","","Recommended","Description of Services received: Physical Therapy","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srpthours","String","25","Recommended","Description of Services received: PT how often","","888 = not applicable; 999 = missing",""
"srptwhere","Integer","","Recommended","Description of Services received: PT Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srptpay","Integer","","Recommended","Description of Services received: PT Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srptinc","Integer","","Recommended","Description of Services received: PT How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"sraba","Integer","","Recommended","Description of Services received: ABA","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srabahours","String","25","Recommended","Description of Services received: ABA how often","","888 = not applicable; 999 = missing",""
"srabawhere","Integer","","Recommended","Description of Services received: ABA Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srabapay","Integer","","Recommended","Description of Services received: ABA Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srabainc","Integer","","Recommended","Description of Services received: ABA How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"srit","Integer","","Recommended","Description of Services received: Individual Therapy","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srithours","String","25","Recommended","Description of Services received: IT how often","","888 = not applicable; 999 = missing",""
"sritwhere","Integer","","Recommended","Description of Services received: IT Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"sritpay","Integer","","Recommended","Description of Services received: IT Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"sritinc","Integer","","Recommended","Description of Services received: IT How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"srmed","Integer","","Recommended","Description of Services received: Medical","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srmedhours","String","25","Recommended","Description of Services received: MED how often","","888 = not applicable; 999 = missing",""
"srmedwhere","Integer","","Recommended","Description of Services received: MED Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srmedpay","Integer","","Recommended","Description of Services received: MED Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srmedinc","Integer","","Recommended","Description of Services received: MED How much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"sroth","Integer","","Recommended","Description of Services received: Other","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srothhours","String","25","Recommended","Description of Services received: Other how often","","888 = not applicable; 999 = missing",""
"srothwhere","Integer","","Recommended","Description of Services received: Other Where","1::6; 888; 999","1 = clinic; 2 = daycare; 3 = home; 4 = community; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srothpay","Integer","","Recommended","Description of Services received: Other Who pays","1::6; 888; 999","1 = insurance; 2 = Waiver (e.g.; Medicaid/ Michelle P); 3 = school; 4 = self-pay; 5 = combination; 6 = other; 888 = not applicable; 999 = missing",""
"srothinc","Integer","","Recommended","Description of Services received: Other how much included","1::5; 888; 999","1 = not at all; 5 = very much; 888 = not applicable; 999 = missing",""
"srout_mw_heard","Integer","","Recommended","Description of services received outside school system Medicaid Have you heard of this service?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_mw_applied","Integer","","Recommended","Description of services received outside school system Medicaid Have you applied for this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_mw_receive","Integer","","Recommended","Description of services received outside school system Medicaid Does your youth receive this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssi_heard","Integer","","Recommended","Description of services received outside school system SSI Have you heard of this service?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssi_applied","Integer","","Recommended","Description of services received outside school system SSI Have you applied for this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssi_receive","Integer","","Recommended","Description of services received outside school system SSI Does your youth receive this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssdi_heard","Integer","","Recommended","Description of services received outside school system SSDI Have you heard of this service?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssdi_applied","Integer","","Recommended","Description of services received outside school system SSDI Have you applied for this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ssdi_receive","Integer","","Recommended","Description of services received outside school system SSDI Does your youth receive this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_vr_heard","Integer","","Recommended","Description of services received outside school system VR Have you heard of this service?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_vr_applied","Integer","","Recommended","Description of services received outside school system VR Have you applied for this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_vri_receive","Integer","","Recommended","Description of services received outside school system VR Does your youth receive this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_cmhc_heard","Integer","","Recommended","Description of services received outside school system Community mental health centers Have you heard of this service?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_cmhc_applied","Integer","","Recommended","Description of services received outside school system Community mental health centers  Have you applied for this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_cmhc_receive","Integer","","Recommended","Description of services received outside school system Community mental health centers  Does your youth receive this service/ funding source?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ins_know","Integer","","Recommended","Description of services received outside school system health insurance Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_ins_more","Integer","","Recommended","Description of services received outside school system health insurance If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_estate_know","Integer","","Recommended","Description of services received outside school system estate planning Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_estate_more","Integer","","Recommended","Description of services received outside school system estate planning If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_advocacy_know","Integer","","Recommended","Description of services received outside school system advocating Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_advocacy_more","Integer","","Recommended","Description of services received outside school system advocating If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_guard_know","Integer","","Recommended","Description of services received outside school system guardianship Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_guard_more","Integer","","Recommended","Description of services received outside school system guardianship If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_hud_know","Integer","","Recommended","Description of services received outside school system HUD Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_hud_more","Integer","","Recommended","Description of services received outside school system HUD If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_snap_know","Integer","","Recommended","Description of services received outside school system SNAP Do you know about this area?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
"srout_snap_more","Integer","","Recommended","Description of services received outside school system SNAP If no, would you like more information?","0;1; 888; 999","0 = no; 1 = yes; 888 = not applicable; 999 = missing",""
